,corrosion protection,datasheet link,date assessed,general condition,geotechnical observation,infrastructure type,material,note,public or private pump station,site id,size ,system chainage new,system chainage old,watercourse
comments,0.275,0.1428571428571429,0.07692307692307687,0.11764705882352944,0.25,0.21052631578947367,0.0,0.1875,0.15000000000000002,0.125,0.125,0.1842105263157895,0.1578947368421053,0.045454545454545414
description,0.275,0.25,0.15384615384615385,0.32352941176470584,0.35416666666666663,0.1578947368421053,0.18181818181818177,0.09090909090909094,0.2666666666666667,0.18181818181818177,0.13636363636363635,0.1842105263157895,0.21052631578947367,0.09090909090909094
facilityid,0.15000000000000002,0.2142857142857143,0.11538461538461542,0.20588235294117652,0.125,0.21052631578947367,0.19999999999999996,0.09999999999999998,0.16666666666666663,0.25,0.09999999999999998,0.10526315789473684,0.13157894736842102,0.09090909090909094
house no,0.22499999999999998,0.1785714285714286,0.15384615384615385,0.08823529411764708,0.27083333333333337,0.1578947368421053,0.0,0.1875,0.16666666666666663,0.25,0.1875,0.26315789473684215,0.21052631578947367,0.045454545454545414
location,0.44999999999999996,0.1428571428571429,0.07692307692307687,0.32352941176470584,0.33333333333333337,0.1578947368421053,0.125,0.1875,0.31666666666666665,0.125,0.0,0.13157894736842102,0.1578947368421053,0.09090909090909094
maintenance responsibility,0.13461538461538458,0.21153846153846156,0.23076923076923073,0.28846153846153844,0.1923076923076923,0.15384615384615385,0.21153846153846156,0.07692307692307687,0.1333333333333333,0.15384615384615385,0.09615384615384615,0.15384615384615385,0.15384615384615385,0.1923076923076923
map page,0.125,0.1428571428571429,0.1923076923076923,0.11764705882352944,0.125,0.13157894736842102,0.3125,0.0625,0.23333333333333328,0.0,0.0,0.1842105263157895,0.1842105263157895,0.13636363636363635
operational responsibility,0.25,0.21153846153846156,0.21153846153846156,0.3076923076923077,0.23076923076923073,0.15384615384615385,0.15384615384615385,0.07692307692307687,0.1333333333333333,0.11538461538461542,0.07692307692307687,0.11538461538461542,0.11538461538461542,0.15384615384615385
park name,0.125,0.1428571428571429,0.1923076923076923,0.1470588235294118,0.14583333333333337,0.1578947368421053,0.2222222222222222,0.16666666666666663,0.25,0.11111111111111116,0.05555555555555558,0.1578947368421053,0.1578947368421053,0.18181818181818177
park ownership,0.19999999999999996,0.1428571428571429,0.2857142857142857,0.17647058823529416,0.20833333333333337,0.13157894736842102,0.2142857142857143,0.1071428571428571,0.21666666666666667,0.1428571428571429,0.0714285714285714,0.10526315789473684,0.10526315789473684,0.2142857142857143
road code,0.22499999999999998,0.1428571428571429,0.11538461538461542,0.2647058823529411,0.16666666666666663,0.13157894736842102,0.11111111111111116,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.05555555555555558,0.13157894736842102,0.13157894736842102,0.2272727272727273
service classification,0.2272727272727273,0.13636363636363635,0.20454545454545459,0.31818181818181823,0.33333333333333337,0.09090909090909094,0.11363636363636365,0.045454545454545414,0.2833333333333333,0.20454545454545459,0.15909090909090906,0.2272727272727273,0.2272727272727273,0.13636363636363635
status,0.17500000000000004,0.25,0.23076923076923073,0.11764705882352944,0.25,0.21052631578947367,0.125,0.16666666666666663,0.2833333333333333,0.2857142857142857,0.25,0.23684210526315785,0.23684210526315785,0.18181818181818177
status date,0.15000000000000002,0.2142857142857143,0.1923076923076923,0.17647058823529416,0.1875,0.2894736842105263,0.2727272727272727,0.13636363636363635,0.23333333333333328,0.31818181818181823,0.18181818181818177,0.26315789473684215,0.26315789473684215,0.13636363636363635
work assignment,0.22499999999999998,0.1333333333333333,0.33333333333333337,0.11764705882352944,0.125,0.13157894736842102,0.06666666666666665,0.09999999999999998,0.15000000000000002,0.1333333333333333,0.19999999999999996,0.1842105263157895,0.1578947368421053,0.1333333333333333
