,comments,description,facilityid,house no,location,maintenance responsibility,map page,operational responsibility,park name,park ownership,road code,service classification,status,status date,work assignment
comments,1.0,0.09090909090909094,0.09999999999999998,0.25,0.125,0.1923076923076923,0.0,0.15384615384615385,0.11111111111111116,0.1428571428571429,0.11111111111111116,0.13636363636363635,0.0625,0.09090909090909094,0.23333333333333328
description,0.09090909090909094,1.0,0.18181818181818177,0.045454545454545414,0.40909090909090906,0.17307692307692313,0.09090909090909094,0.28846153846153844,0.09090909090909094,0.0,0.0,0.2954545454545454,0.18181818181818177,0.0,0.09999999999999998
facilityid,0.09999999999999998,0.18181818181818177,1.0,0.0,0.19999999999999996,0.17307692307692313,0.09999999999999998,0.23076923076923073,0.09999999999999998,0.1428571428571429,0.0,0.18181818181818177,0.09999999999999998,0.09090909090909094,0.1333333333333333
house no,0.25,0.045454545454545414,0.0,1.0,0.125,0.1923076923076923,0.0,0.15384615384615385,0.11111111111111116,0.1428571428571429,0.16666666666666663,0.15909090909090906,0.0,0.18181818181818177,0.19999999999999996
location,0.125,0.40909090909090906,0.19999999999999996,0.125,1.0,0.17307692307692313,0.0,0.3076923076923077,0.0,0.0714285714285714,0.2222222222222222,0.34090909090909094,0.25,0.09090909090909094,0.23333333333333328
maintenance responsibility,0.11538461538461542,0.17307692307692313,0.13461538461538458,0.09615384615384615,0.09615384615384615,1.0,0.15384615384615385,0.5961538461538461,0.13461538461538458,0.17307692307692313,0.11538461538461542,0.23076923076923073,0.07692307692307687,0.13461538461538458,0.13461538461538458
map page,0.0,0.09090909090909094,0.09999999999999998,0.0,0.0,0.23076923076923073,1.0,0.15384615384615385,0.38888888888888884,0.1785714285714286,0.2777777777777778,0.11363636363636365,0.0,0.31818181818181823,0.1333333333333333
operational responsibility,0.11538461538461542,0.15384615384615385,0.15384615384615385,0.11538461538461542,0.17307692307692313,0.5961538461538461,0.09615384615384615,1.0,0.17307692307692313,0.23076923076923073,0.15384615384615385,0.23076923076923073,0.09615384615384615,0.15384615384615385,0.17307692307692313
park name,0.11111111111111116,0.09090909090909094,0.09999999999999998,0.11111111111111116,0.0,0.21153846153846156,0.38888888888888884,0.23076923076923073,1.0,0.4285714285714286,0.16666666666666663,0.13636363636363635,0.0,0.31818181818181823,0.30000000000000004
park ownership,0.1428571428571429,0.0,0.1428571428571429,0.1428571428571429,0.0714285714285714,0.17307692307692313,0.1785714285714286,0.23076923076923073,0.4285714285714286,1.0,0.1071428571428571,0.13636363636363635,0.0357142857142857,0.0357142857142857,0.19999999999999996
road code,0.11111111111111116,0.0,0.0,0.16666666666666663,0.2222222222222222,0.11538461538461542,0.2777777777777778,0.15384615384615385,0.16666666666666663,0.1071428571428571,1.0,0.18181818181818177,0.11111111111111116,0.2272727272727273,0.16666666666666663
service classification,0.09090909090909094,0.2954545454545454,0.18181818181818177,0.11363636363636365,0.2954545454545454,0.23076923076923073,0.09090909090909094,0.23076923076923073,0.13636363636363635,0.13636363636363635,0.13636363636363635,1.0,0.15909090909090906,0.20454545454545459,0.25
status,0.0625,0.18181818181818177,0.09999999999999998,0.0,0.25,0.17307692307692313,0.0,0.1923076923076923,0.0,0.0714285714285714,0.11111111111111116,0.2727272727272727,1.0,0.5909090909090908,0.09999999999999998
status date,0.09090909090909094,0.0,0.09090909090909094,0.18181818181818177,0.09090909090909094,0.17307692307692313,0.31818181818181823,0.1923076923076923,0.31818181818181823,0.0357142857142857,0.2272727272727273,0.20454545454545459,0.5454545454545454,1.0,0.09999999999999998
work assignment,0.23333333333333328,0.09999999999999998,0.1333333333333333,0.19999999999999996,0.23333333333333328,0.13461538461538458,0.1333333333333333,0.17307692307692313,0.30000000000000004,0.19999999999999996,0.16666666666666663,0.25,0.06666666666666665,0.09999999999999998,1.0
