,comments,ecological significance,hectares,id,name,type
comments,1.0,0.19565217391304346,0.0625,0.0,0.1875,0.0625
description,0.09090909090909094,0.15217391304347827,0.13636363636363635,0.09090909090909094,0.0,0.09090909090909094
facilityid,0.09999999999999998,0.17391304347826086,0.09999999999999998,0.15000000000000002,0.09999999999999998,0.19999999999999996
house no,0.25,0.13043478260869568,0.1875,0.0,0.0625,0.0625
location,0.125,0.28260869565217395,0.125,0.125,0.125,0.125
maintenance responsibility,0.11538461538461542,0.13461538461538458,0.15384615384615385,0.038461538461538436,0.09615384615384615,0.07692307692307687
map page,0.0,0.15217391304347827,0.0625,0.0,0.1875,0.125
operational responsibility,0.11538461538461542,0.23076923076923073,0.17307692307692313,0.038461538461538436,0.09615384615384615,0.07692307692307687
park name,0.11111111111111116,0.15217391304347827,0.05555555555555558,0.0,0.38888888888888884,0.05555555555555558
park ownership,0.1428571428571429,0.08695652173913049,0.0714285714285714,0.0714285714285714,0.1071428571428571,0.0357142857142857
road code,0.11111111111111116,0.19565217391304346,0.0,0.05555555555555558,0.16666666666666663,0.05555555555555558
service classification,0.09090909090909094,0.28260869565217395,0.11363636363636365,0.045454545454545414,0.045454545454545414,0.045454545454545414
status,0.0625,0.15217391304347827,0.3125,0.0,0.16666666666666663,0.16666666666666663
status date,0.09090909090909094,0.15217391304347827,0.09090909090909094,0.045454545454545414,0.13636363636363635,0.13636363636363635
work assignment,0.23333333333333328,0.30434782608695654,0.1333333333333333,0.06666666666666665,0.1333333333333333,0.033333333333333326
