,address,description,heritage neighbourhood,heritage register amended,heritage value,register resolution date,route type,site name,site no,type,weblink
comments,0.1875,0.09090909090909094,0.15909090909090906,0.21999999999999997,0.0714285714285714,0.1875,0.30000000000000004,0.11111111111111116,0.125,0.0625,0.125
description,0.09090909090909094,1.0,0.13636363636363635,0.16000000000000003,0.0714285714285714,0.25,0.09090909090909094,0.09090909090909094,0.13636363636363635,0.09090909090909094,0.18181818181818177
facilityid,0.09999999999999998,0.18181818181818177,0.11363636363636365,0.12,0.0714285714285714,0.14583333333333337,0.19999999999999996,0.0,0.09999999999999998,0.19999999999999996,0.19999999999999996
house no,0.125,0.045454545454545414,0.36363636363636365,0.21999999999999997,0.25,0.1875,0.4,0.2222222222222222,0.4375,0.0625,0.125
location,0.0,0.40909090909090906,0.20454545454545459,0.14,0.0714285714285714,0.27083333333333337,0.19999999999999996,0.0,0.0625,0.125,0.125
maintenance responsibility,0.15384615384615385,0.17307692307692313,0.17307692307692313,0.15384615384615385,0.17307692307692313,0.2692307692307693,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307687,0.11538461538461542
map page,0.125,0.09090909090909094,0.15909090909090906,0.19999999999999996,0.25,0.1875,0.15000000000000002,0.2777777777777778,0.0,0.125,0.0
operational responsibility,0.15384615384615385,0.15384615384615385,0.1923076923076923,0.17307692307692313,0.21153846153846156,0.2692307692307693,0.13461538461538458,0.13461538461538458,0.11538461538461542,0.07692307692307687,0.11538461538461542
park name,0.11111111111111116,0.09090909090909094,0.13636363636363635,0.19999999999999996,0.25,0.1875,0.15000000000000002,0.5,0.2222222222222222,0.05555555555555558,0.11111111111111116
park ownership,0.1785714285714286,0.0,0.18181818181818177,0.16000000000000003,0.0714285714285714,0.10416666666666663,0.1785714285714286,0.1071428571428571,0.1071428571428571,0.0357142857142857,0.1071428571428571
road code,0.2222222222222222,0.0,0.20454545454545459,0.26,0.25,0.20833333333333337,0.4,0.16666666666666663,0.16666666666666663,0.05555555555555558,0.0
service classification,0.09090909090909094,0.2954545454545454,0.18181818181818177,0.24,0.20454545454545459,0.16666666666666663,0.15909090909090906,0.2272727272727273,0.20454545454545459,0.045454545454545414,0.11363636363636365
status,0.0714285714285714,0.18181818181818177,0.18181818181818177,0.21999999999999997,0.2142857142857143,0.20833333333333337,0.19999999999999996,0.2222222222222222,0.2857142857142857,0.16666666666666663,0.0
status date,0.09090909090909094,0.0,0.09090909090909094,0.18000000000000005,0.25,0.3125,0.2272727272727273,0.4545454545454546,0.31818181818181823,0.13636363636363635,0.0
work assignment,0.1333333333333333,0.09999999999999998,0.18181818181818177,0.24,0.1333333333333333,0.1875,0.09999999999999998,0.16666666666666663,0.19999999999999996,0.033333333333333326,0.19999999999999996
