,adjacent land use rating,comments,dedicated urban forest,description,esa ranking,exposed edge length m,facilityid,forest age class,forest type,fragmentation rating,isolation rating,location,maintained edge length m,maintenance responsibility,natural area type,operating location,operating location type,operational responsibility,park name,park ownership,right of way,riparian area,service level,trail present,work assignment
comments,0.25,1.0,0.11363636363636365,0.09090909090909094,0.09090909090909094,0.16666666666666663,0.09999999999999998,0.15625,0.18181818181818177,0.30000000000000004,0.15625,0.125,0.1875,0.1923076923076923,0.11764705882352944,0.16666666666666663,0.19565217391304346,0.15384615384615385,0.11111111111111116,0.1428571428571429,0.0,0.07692307692307687,0.15384615384615385,0.11538461538461542,0.23333333333333328
description,0.25,0.09090909090909094,0.2272727272727273,1.0,0.2727272727272727,0.11904761904761907,0.18181818181818177,0.125,0.09090909090909094,0.19999999999999996,0.1875,0.40909090909090906,0.125,0.17307692307692313,0.11764705882352944,0.3055555555555556,0.23913043478260865,0.28846153846153844,0.09090909090909094,0.0,0.0,0.15384615384615385,0.15384615384615385,0.11538461538461542,0.09999999999999998
facilityid,0.16666666666666663,0.09999999999999998,0.18181818181818177,0.18181818181818177,0.09090909090909094,0.09523809523809523,1.0,0.125,0.31818181818181823,0.19999999999999996,0.1875,0.19999999999999996,0.1875,0.17307692307692313,0.23529411764705888,0.19444444444444442,0.21739130434782605,0.23076923076923073,0.09999999999999998,0.1428571428571429,0.0,0.15384615384615385,0.07692307692307687,0.15384615384615385,0.1333333333333333
house no,0.27083333333333337,0.25,0.11363636363636365,0.045454545454545414,0.09090909090909094,0.16666666666666663,0.0,0.21875,0.2727272727272727,0.19999999999999996,0.15625,0.125,0.14583333333333337,0.1923076923076923,0.1470588235294118,0.11111111111111116,0.15217391304347827,0.15384615384615385,0.11111111111111116,0.1428571428571429,0.16666666666666663,0.07692307692307687,0.15384615384615385,0.15384615384615385,0.19999999999999996
location,0.27083333333333337,0.125,0.18181818181818177,0.40909090909090906,0.18181818181818177,0.19047619047619047,0.19999999999999996,0.125,0.18181818181818177,0.30000000000000004,0.4375,1.0,0.1875,0.17307692307692313,0.1470588235294118,0.5833333333333333,0.4565217391304348,0.3076923076923077,0.0,0.0714285714285714,0.16666666666666663,0.1923076923076923,0.07692307692307687,0.11538461538461542,0.23333333333333328
maintenance responsibility,0.1923076923076923,0.11538461538461542,0.13461538461538458,0.17307692307692313,0.21153846153846156,0.15384615384615385,0.13461538461538458,0.15384615384615385,0.11538461538461542,0.1923076923076923,0.1923076923076923,0.09615384615384615,0.32692307692307687,1.0,0.17307692307692313,0.15384615384615385,0.11538461538461542,0.5961538461538461,0.13461538461538458,0.17307692307692313,0.11538461538461542,0.1923076923076923,0.21153846153846156,0.23076923076923073,0.13461538461538458
map page,0.20833333333333337,0.0,0.2272727272727273,0.09090909090909094,0.18181818181818177,0.16666666666666663,0.09999999999999998,0.1875,0.13636363636363635,0.17500000000000004,0.1875,0.0,0.29166666666666663,0.23076923076923073,0.23529411764705888,0.16666666666666663,0.21739130434782605,0.15384615384615385,0.38888888888888884,0.1785714285714286,0.08333333333333337,0.1923076923076923,0.11538461538461542,0.2692307692307693,0.1333333333333333
operational responsibility,0.15384615384615385,0.11538461538461542,0.13461538461538458,0.15384615384615385,0.21153846153846156,0.13461538461538458,0.15384615384615385,0.1923076923076923,0.13461538461538458,0.23076923076923073,0.28846153846153844,0.17307692307692313,0.13461538461538458,0.5961538461538461,0.21153846153846156,0.42307692307692313,0.40384615384615385,1.0,0.17307692307692313,0.23076923076923073,0.13461538461538458,0.1923076923076923,0.21153846153846156,0.25,0.17307692307692313
park name,0.16666666666666663,0.11111111111111116,0.15909090909090906,0.09090909090909094,0.18181818181818177,0.11904761904761907,0.09999999999999998,0.1875,0.2272727272727273,0.15000000000000002,0.1875,0.0,0.16666666666666663,0.21153846153846156,0.23529411764705888,0.2222222222222222,0.23913043478260865,0.23076923076923073,1.0,0.4285714285714286,0.08333333333333337,0.3846153846153846,0.1923076923076923,0.1923076923076923,0.30000000000000004
park ownership,0.20833333333333337,0.1428571428571429,0.13636363636363635,0.0,0.1428571428571429,0.19047619047619047,0.1428571428571429,0.125,0.0714285714285714,0.19999999999999996,0.1875,0.0714285714285714,0.16666666666666663,0.17307692307692313,0.17647058823529416,0.16666666666666663,0.17391304347826086,0.23076923076923073,0.4285714285714286,1.0,0.0714285714285714,0.1428571428571429,0.0714285714285714,0.1785714285714286,0.19999999999999996
