,comments,description,facilityid,location,maintenance responsibility,number of trees,operating location,operating location type,operational responsibility,park name,park ownership,screen tree no,stand makeup,tree genus,tree species,tree variety
comments,1.0,0.09090909090909094,0.09999999999999998,0.125,0.1923076923076923,0.19999999999999996,0.16666666666666663,0.19565217391304346,0.15384615384615385,0.11111111111111116,0.1428571428571429,0.1785714285714286,0.08333333333333337,0.25,0.125,0.08333333333333337
description,0.09090909090909094,1.0,0.18181818181818177,0.40909090909090906,0.17307692307692313,0.1333333333333333,0.3055555555555556,0.23913043478260865,0.28846153846153844,0.09090909090909094,0.0,0.1785714285714286,0.0,0.0,0.16666666666666663,0.16666666666666663
facilityid,0.09999999999999998,0.18181818181818177,1.0,0.19999999999999996,0.17307692307692313,0.06666666666666665,0.19444444444444442,0.21739130434782605,0.23076923076923073,0.09999999999999998,0.1428571428571429,0.0714285714285714,0.08333333333333337,0.0,0.08333333333333337,0.08333333333333337
house no,0.25,0.045454545454545414,0.0,0.125,0.1923076923076923,0.09999999999999998,0.11111111111111116,0.15217391304347827,0.15384615384615385,0.11111111111111116,0.1428571428571429,0.25,0.08333333333333337,0.15000000000000002,0.125,0.08333333333333337
location,0.125,0.40909090909090906,0.19999999999999996,1.0,0.17307692307692313,0.1333333333333333,0.5833333333333333,0.4565217391304348,0.3076923076923077,0.0,0.0714285714285714,0.1071428571428571,0.08333333333333337,0.050000000000000044,0.08333333333333337,0.16666666666666663
maintenance responsibility,0.11538461538461542,0.17307692307692313,0.13461538461538458,0.09615384615384615,1.0,0.13461538461538458,0.15384615384615385,0.11538461538461542,0.5961538461538461,0.13461538461538458,0.17307692307692313,0.1923076923076923,0.13461538461538458,0.17307692307692313,0.21153846153846156,0.21153846153846156
map page,0.0,0.09090909090909094,0.09999999999999998,0.0,0.23076923076923073,0.16666666666666663,0.16666666666666663,0.21739130434782605,0.15384615384615385,0.38888888888888884,0.1785714285714286,0.1071428571428571,0.29166666666666663,0.09999999999999998,0.16666666666666663,0.20833333333333337
operational responsibility,0.11538461538461542,0.15384615384615385,0.15384615384615385,0.17307692307692313,0.5961538461538461,0.13461538461538458,0.42307692307692313,0.40384615384615385,1.0,0.17307692307692313,0.23076923076923073,0.1923076923076923,0.13461538461538458,0.13461538461538458,0.17307692307692313,0.1923076923076923
park name,0.11111111111111116,0.09090909090909094,0.09999999999999998,0.0,0.21153846153846156,0.16666666666666663,0.2222222222222222,0.23913043478260865,0.23076923076923073,1.0,0.4285714285714286,0.1785714285714286,0.29166666666666663,0.09999999999999998,0.125,0.20833333333333337
park ownership,0.1428571428571429,0.0,0.1428571428571429,0.0714285714285714,0.17307692307692313,0.1333333333333333,0.16666666666666663,0.17391304347826086,0.23076923076923073,0.4285714285714286,1.0,0.0714285714285714,0.1785714285714286,0.1785714285714286,0.1428571428571429,0.1428571428571429
road code,0.11111111111111116,0.0,0.0,0.2222222222222222,0.11538461538461542,0.16666666666666663,0.16666666666666663,0.19565217391304346,0.15384615384615385,0.16666666666666663,0.1071428571428571,0.1785714285714286,0.25,0.09999999999999998,0.16666666666666663,0.125
service classification,0.09090909090909094,0.2954545454545454,0.18181818181818177,0.2954545454545454,0.23076923076923073,0.09090909090909094,0.36363636363636365,0.21739130434782605,0.23076923076923073,0.13636363636363635,0.13636363636363635,0.18181818181818177,0.15909090909090906,0.15909090909090906,0.2272727272727273,0.2727272727272727
status,0.0625,0.18181818181818177,0.09999999999999998,0.25,0.17307692307692313,0.16666666666666663,0.2777777777777778,0.21739130434782605,0.1923076923076923,0.0,0.0714285714285714,0.1785714285714286,0.375,0.15000000000000002,0.125,0.08333333333333337
status date,0.09090909090909094,0.0,0.09090909090909094,0.09090909090909094,0.17307692307692313,0.1333333333333333,0.2777777777777778,0.21739130434782605,0.1923076923076923,0.31818181818181823,0.0357142857142857,0.2142857142857143,0.41666666666666663,0.09090909090909094,0.125,0.125
work assignment,0.23333333333333328,0.09999999999999998,0.1333333333333333,0.23333333333333328,0.13461538461538458,0.06666666666666665,0.13888888888888884,0.17391304347826086,0.17307692307692313,0.30000000000000004,0.19999999999999996,0.1333333333333333,0.1333333333333333,0.16666666666666663,0.19999999999999996,0.16666666666666663
