,braces,cables,description,gift donation,height m,heritage significant tree,irrigation at base,location,maintenance responsibility,operational responsibility,overhead utility lines,park,park ownership,status,status date,tree,tree cable and brace,tree diameter cm,tree electrical system,tree genus,tree grate,tree guard,tree size classification,tree species,tree stake,tree type,tree variety,tree watering,tree well,tree well type
comments,0.125,0.3125,0.09090909090909094,0.11538461538461542,0.0,0.16000000000000003,0.11111111111111116,0.125,0.1923076923076923,0.15384615384615385,0.20454545454545459,0.0,0.1428571428571429,0.0625,0.09090909090909094,0.125,0.125,0.125,0.18181818181818177,0.25,0.09999999999999998,0.0,0.125,0.125,0.09999999999999998,0.11111111111111116,0.08333333333333337,0.07692307692307687,0.0,0.1428571428571429
description,0.09090909090909094,0.09090909090909094,1.0,0.2692307692307693,0.18181818181818177,0.16000000000000003,0.19444444444444442,0.40909090909090906,0.17307692307692313,0.28846153846153844,0.15909090909090906,0.09090909090909094,0.0,0.18181818181818177,0.0,0.09090909090909094,0.125,0.1875,0.15909090909090906,0.0,0.09090909090909094,0.0,0.27083333333333337,0.16666666666666663,0.09090909090909094,0.09090909090909094,0.16666666666666663,0.15384615384615385,0.0,0.1428571428571429
facilityid,0.09999999999999998,0.19999999999999996,0.18181818181818177,0.15384615384615385,0.19999999999999996,0.24,0.16666666666666663,0.19999999999999996,0.17307692307692313,0.23076923076923073,0.2954545454545454,0.09999999999999998,0.1428571428571429,0.09999999999999998,0.09090909090909094,0.09999999999999998,0.125,0.125,0.13636363636363635,0.0,0.0,0.050000000000000044,0.16666666666666663,0.08333333333333337,0.09999999999999998,0.19999999999999996,0.08333333333333337,0.15384615384615385,0.0,0.2142857142857143
house no,0.125,0.125,0.045454545454545414,0.07692307692307687,0.1875,0.21999999999999997,0.11111111111111116,0.125,0.1923076923076923,0.15384615384615385,0.15909090909090906,0.0,0.1428571428571429,0.0,0.18181818181818177,0.125,0.15000000000000002,0.125,0.13636363636363635,0.15000000000000002,0.09999999999999998,0.09999999999999998,0.16666666666666663,0.125,0.09999999999999998,0.11111111111111116,0.08333333333333337,0.15384615384615385,0.11111111111111116,0.1071428571428571
location,0.125,0.25,0.40909090909090906,0.42307692307692313,0.0,0.21999999999999997,0.25,1.0,0.17307692307692313,0.3076923076923077,0.13636363636363635,0.125,0.0714285714285714,0.25,0.09090909090909094,0.125,0.125,0.09375,0.13636363636363635,0.050000000000000044,0.0,0.0,0.35416666666666663,0.08333333333333337,0.09999999999999998,0.11111111111111116,0.16666666666666663,0.1923076923076923,0.0,0.0714285714285714
maintenance responsibility,0.11538461538461542,0.09615384615384615,0.17307692307692313,0.21153846153846156,0.07692307692307687,0.11538461538461542,0.15384615384615385,0.09615384615384615,1.0,0.5961538461538461,0.13461538461538458,0.05769230769230771,0.17307692307692313,0.07692307692307687,0.13461538461538458,0.09615384615384615,0.1923076923076923,0.11538461538461542,0.15384615384615385,0.17307692307692313,0.15384615384615385,0.11538461538461542,0.1923076923076923,0.21153846153846156,0.13461538461538458,0.15384615384615385,0.21153846153846156,0.15384615384615385,0.17307692307692313,0.17307692307692313
map page,0.0625,0.125,0.09090909090909094,0.15384615384615385,0.0,0.26,0.3055555555555556,0.0,0.23076923076923073,0.15384615384615385,0.15909090909090906,0.25,0.1785714285714286,0.0,0.31818181818181823,0.0625,0.275,0.15625,0.20454545454545459,0.09999999999999998,0.25,0.19999999999999996,0.1875,0.16666666666666663,0.25,0.16666666666666663,0.20833333333333337,0.1923076923076923,0.11111111111111116,0.1071428571428571
operational responsibility,0.13461538461538458,0.11538461538461542,0.15384615384615385,0.1923076923076923,0.09615384615384615,0.13461538461538458,0.21153846153846156,0.17307692307692313,0.5961538461538461,1.0,0.25,0.07692307692307687,0.23076923076923073,0.09615384615384615,0.15384615384615385,0.09615384615384615,0.1923076923076923,0.13461538461538458,0.11538461538461542,0.13461538461538458,0.13461538461538458,0.09615384615384615,0.1923076923076923,0.17307692307692313,0.13461538461538458,0.11538461538461542,0.1923076923076923,0.15384615384615385,0.13461538461538458,0.15384615384615385
park name,0.11111111111111116,0.11111111111111116,0.09090909090909094,0.1923076923076923,0.05555555555555558,0.21999999999999997,0.25,0.0,0.21153846153846156,0.23076923076923073,0.15909090909090906,0.4444444444444444,0.4285714285714286,0.0,0.31818181818181823,0.16666666666666663,0.275,0.21875,0.15909090909090906,0.09999999999999998,0.25,0.19999999999999996,0.1875,0.125,0.25,0.16666666666666663,0.20833333333333337,0.1923076923076923,0.11111111111111116,0.1071428571428571
park ownership,0.1428571428571429,0.1428571428571429,0.0,0.1428571428571429,0.0714285714285714,0.12,0.11111111111111116,0.0714285714285714,0.17307692307692313,0.23076923076923073,0.13636363636363635,0.2857142857142857,1.0,0.0357142857142857,0.0357142857142857,0.1071428571428571,0.09999999999999998,0.125,0.11363636363636365,0.1785714285714286,0.1428571428571429,0.1428571428571429,0.16666666666666663,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.2142857142857143,0.1785714285714286,0.1071428571428571
