,bench style,capacity,component type,description,dimension m2,gift donation,length m,location,material type,operating location,operating location type,park ownership,plaque detail,seating type,special features,structure detail type,structure type,structure type2,surface material,width m,winterized
comments,0.09090909090909094,0.3125,0.4642857142857143,0.09090909090909094,0.16666666666666663,0.11538461538461542,0.0,0.125,0.07692307692307687,0.16666666666666663,0.19565217391304346,0.1428571428571429,0.15384615384615385,0.125,0.1875,0.1428571428571429,0.2142857142857143,0.19999999999999996,0.1875,0.0,0.09999999999999998
description,0.2727272727272727,0.18181818181818177,0.0714285714285714,1.0,0.20833333333333337,0.2692307692307693,0.18181818181818177,0.40909090909090906,0.23076923076923073,0.3055555555555556,0.23913043478260865,0.0,0.07692307692307687,0.16666666666666663,0.125,0.19047619047619047,0.1785714285714286,0.16666666666666663,0.15625,0.18181818181818177,0.09090909090909094
facilityid,0.2727272727272727,0.35,0.1428571428571429,0.18181818181818177,0.08333333333333337,0.15384615384615385,0.09999999999999998,0.19999999999999996,0.34615384615384615,0.19444444444444442,0.21739130434782605,0.1428571428571429,0.23076923076923073,0.33333333333333337,0.21875,0.23809523809523814,0.2142857142857143,0.19999999999999996,0.3125,0.19999999999999996,0.050000000000000044
house no,0.09090909090909094,0.0,0.1785714285714286,0.045454545454545414,0.16666666666666663,0.07692307692307687,0.0,0.125,0.07692307692307687,0.11111111111111116,0.15217391304347827,0.1428571428571429,0.15384615384615385,0.08333333333333337,0.0625,0.1428571428571429,0.2142857142857143,0.19999999999999996,0.125,0.125,0.09999999999999998
location,0.18181818181818177,0.25,0.1428571428571429,0.40909090909090906,0.20833333333333337,0.42307692307692313,0.3125,1.0,0.11538461538461542,0.5833333333333333,0.4565217391304348,0.0714285714285714,0.15384615384615385,0.16666666666666663,0.1875,0.1428571428571429,0.1428571428571429,0.1333333333333333,0.1875,0.125,0.09999999999999998
maintenance responsibility,0.21153846153846156,0.17307692307692313,0.15384615384615385,0.17307692307692313,0.21153846153846156,0.21153846153846156,0.11538461538461542,0.09615384615384615,0.23076923076923073,0.15384615384615385,0.11538461538461542,0.17307692307692313,0.21153846153846156,0.15384615384615385,0.11538461538461542,0.21153846153846156,0.15384615384615385,0.15384615384615385,0.1923076923076923,0.11538461538461542,0.1923076923076923
map page,0.13636363636363635,0.25,0.1785714285714286,0.09090909090909094,0.08333333333333337,0.15384615384615385,0.0,0.0,0.3076923076923077,0.16666666666666663,0.21739130434782605,0.1785714285714286,0.23076923076923073,0.20833333333333337,0.21875,0.19047619047619047,0.1071428571428571,0.09999999999999998,0.21875,0.0,0.050000000000000044
operational responsibility,0.15384615384615385,0.17307692307692313,0.15384615384615385,0.15384615384615385,0.17307692307692313,0.1923076923076923,0.11538461538461542,0.17307692307692313,0.23076923076923073,0.42307692307692313,0.40384615384615385,0.23076923076923073,0.21153846153846156,0.23076923076923073,0.25,0.17307692307692313,0.11538461538461542,0.11538461538461542,0.17307692307692313,0.07692307692307687,0.13461538461538458
park name,0.13636363636363635,0.11111111111111116,0.1785714285714286,0.09090909090909094,0.16666666666666663,0.1923076923076923,0.05555555555555558,0.0,0.23076923076923073,0.2222222222222222,0.23913043478260865,0.4285714285714286,0.3076923076923077,0.20833333333333337,0.21875,0.23809523809523814,0.1785714285714286,0.16666666666666663,0.21875,0.05555555555555558,0.050000000000000044
park ownership,0.0,0.0714285714285714,0.0714285714285714,0.0,0.0,0.1428571428571429,0.1428571428571429,0.0714285714285714,0.0714285714285714,0.16666666666666663,0.17391304347826086,1.0,0.25,0.0714285714285714,0.125,0.1428571428571429,0.1428571428571429,0.1333333333333333,0.1875,0.1428571428571429,0.1428571428571429
road code,0.13636363636363635,0.2222222222222222,0.1785714285714286,0.0,0.08333333333333337,0.15384615384615385,0.0,0.2222222222222222,0.2692307692307693,0.16666666666666663,0.19565217391304346,0.1071428571428571,0.1923076923076923,0.20833333333333337,0.15625,0.19047619047619047,0.1785714285714286,0.16666666666666663,0.21875,0.11111111111111116,0.050000000000000044
service classification,0.18181818181818177,0.15909090909090906,0.09090909090909094,0.2954545454545454,0.18181818181818177,0.2954545454545454,0.09090909090909094,0.2954545454545454,0.13636363636363635,0.36363636363636365,0.21739130434782605,0.13636363636363635,0.15909090909090906,0.2272727272727273,0.2727272727272727,0.25,0.20454545454545459,0.15909090909090906,0.36363636363636365,0.09090909090909094,0.09090909090909094
status,0.09090909090909094,0.125,0.1428571428571429,0.18181818181818177,0.08333333333333337,0.1923076923076923,0.125,0.25,0.15384615384615385,0.2777777777777778,0.21739130434782605,0.0714285714285714,0.3076923076923077,0.29166666666666663,0.34375,0.38095238095238093,0.3214285714285714,0.3666666666666667,0.21875,0.1428571428571429,0.09999999999999998
status date,0.045454545454545414,0.18181818181818177,0.1071428571428571,0.0,0.08333333333333337,0.23076923076923073,0.09090909090909094,0.09090909090909094,0.1923076923076923,0.2777777777777778,0.21739130434782605,0.0357142857142857,0.3846153846153846,0.41666666666666663,0.28125,0.3571428571428571,0.4285714285714286,0.4,0.3125,0.18181818181818177,0.09090909090909094
work assignment,0.09999999999999998,0.1333333333333333,0.06666666666666665,0.09999999999999998,0.19999999999999996,0.09999999999999998,0.06666666666666665,0.23333333333333328,0.033333333333333326,0.13888888888888884,0.17391304347826086,0.19999999999999996,0.0,0.1333333333333333,0.0625,0.1428571428571429,0.06666666666666665,0.06666666666666665,0.125,0.1333333333333333,0.23333333333333328
