,area subtype,comments,description,facilityid,house no,location,maintenance responsibility,map page,operating location,operating location type,operational responsibility,park area type2,park ownership,reference no,road code,service level,status,status date,surface type,year added
comments,0.08333333333333337,1.0,0.09090909090909094,0.09999999999999998,0.25,0.125,0.1923076923076923,0.0,0.16666666666666663,0.19565217391304346,0.15384615384615385,0.1333333333333333,0.1428571428571429,0.16666666666666663,0.11111111111111116,0.15384615384615385,0.0625,0.09090909090909094,0.16666666666666663,0.0
description,0.16666666666666663,0.09090909090909094,1.0,0.18181818181818177,0.045454545454545414,0.40909090909090906,0.17307692307692313,0.09090909090909094,0.3055555555555556,0.23913043478260865,0.28846153846153844,0.1333333333333333,0.0,0.20833333333333337,0.0,0.15384615384615385,0.18181818181818177,0.0,0.08333333333333337,0.18181818181818177
facilityid,0.25,0.09999999999999998,0.18181818181818177,1.0,0.0,0.19999999999999996,0.17307692307692313,0.09999999999999998,0.19444444444444442,0.21739130434782605,0.23076923076923073,0.19999999999999996,0.1428571428571429,0.08333333333333337,0.0,0.07692307692307687,0.09999999999999998,0.09090909090909094,0.33333333333333337,0.050000000000000044
house no,0.08333333333333337,0.25,0.045454545454545414,0.0,1.0,0.125,0.1923076923076923,0.0,0.11111111111111116,0.15217391304347827,0.15384615384615385,0.09999999999999998,0.1428571428571429,0.29166666666666663,0.16666666666666663,0.15384615384615385,0.0,0.18181818181818177,0.16666666666666663,0.0
location,0.125,0.125,0.40909090909090906,0.19999999999999996,0.125,1.0,0.17307692307692313,0.0,0.5833333333333333,0.4565217391304348,0.3076923076923077,0.09999999999999998,0.0714285714285714,0.04166666666666663,0.2222222222222222,0.07692307692307687,0.25,0.09090909090909094,0.16666666666666663,0.09999999999999998
maintenance responsibility,0.17307692307692313,0.11538461538461542,0.17307692307692313,0.13461538461538458,0.09615384615384615,0.09615384615384615,1.0,0.15384615384615385,0.15384615384615385,0.11538461538461542,0.5961538461538461,0.15384615384615385,0.17307692307692313,0.21153846153846156,0.11538461538461542,0.21153846153846156,0.07692307692307687,0.13461538461538458,0.17307692307692313,0.09615384615384615
map page,0.125,0.0,0.09090909090909094,0.09999999999999998,0.0,0.0,0.23076923076923073,1.0,0.16666666666666663,0.21739130434782605,0.15384615384615385,0.23333333333333328,0.1785714285714286,0.04166666666666663,0.2777777777777778,0.11538461538461542,0.0,0.31818181818181823,0.20833333333333337,0.25
operational responsibility,0.17307692307692313,0.11538461538461542,0.15384615384615385,0.15384615384615385,0.11538461538461542,0.17307692307692313,0.5961538461538461,0.09615384615384615,0.42307692307692313,0.40384615384615385,1.0,0.17307692307692313,0.23076923076923073,0.15384615384615385,0.15384615384615385,0.21153846153846156,0.09615384615384615,0.15384615384615385,0.11538461538461542,0.13461538461538458
park name,0.20833333333333337,0.11111111111111116,0.09090909090909094,0.09999999999999998,0.11111111111111116,0.0,0.21153846153846156,0.38888888888888884,0.2222222222222222,0.23913043478260865,0.23076923076923073,0.4666666666666667,0.4285714285714286,0.08333333333333337,0.16666666666666663,0.1923076923076923,0.0,0.31818181818181823,0.20833333333333337,0.19999999999999996
park ownership,0.1428571428571429,0.1428571428571429,0.0,0.1428571428571429,0.1428571428571429,0.0714285714285714,0.17307692307692313,0.1785714285714286,0.16666666666666663,0.17391304347826086,0.23076923076923073,0.4,1.0,0.0714285714285714,0.1071428571428571,0.0714285714285714,0.0357142857142857,0.0357142857142857,0.1428571428571429,0.1785714285714286
road code,0.20833333333333337,0.11111111111111116,0.0,0.0,0.16666666666666663,0.2222222222222222,0.11538461538461542,0.2777777777777778,0.16666666666666663,0.19565217391304346,0.15384615384615385,0.23333333333333328,0.1071428571428571,0.20833333333333337,1.0,0.1923076923076923,0.11111111111111116,0.2272727272727273,0.29166666666666663,0.35
service classification,0.18181818181818177,0.09090909090909094,0.2954545454545454,0.18181818181818177,0.11363636363636365,0.2954545454545454,0.23076923076923073,0.09090909090909094,0.36363636363636365,0.21739130434782605,0.23076923076923073,0.11363636363636365,0.13636363636363635,0.15909090909090906,0.13636363636363635,0.40909090909090906,0.15909090909090906,0.20454545454545459,0.2727272727272727,0.11363636363636365
status,0.16666666666666663,0.0625,0.18181818181818177,0.09999999999999998,0.0,0.25,0.17307692307692313,0.0,0.2777777777777778,0.21739130434782605,0.1923076923076923,0.1333333333333333,0.0714285714285714,0.0,0.11111111111111116,0.11538461538461542,1.0,0.5909090909090908,0.25,0.09999999999999998
status date,0.125,0.09090909090909094,0.0,0.09090909090909094,0.18181818181818177,0.09090909090909094,0.17307692307692313,0.31818181818181823,0.2777777777777778,0.21739130434782605,0.1923076923076923,0.16666666666666663,0.0357142857142857,0.0,0.2272727272727273,0.23076923076923073,0.5454545454545454,1.0,0.25,0.18181818181818177
work assignment,0.19999999999999996,0.23333333333333328,0.09999999999999998,0.1333333333333333,0.19999999999999996,0.23333333333333328,0.13461538461538458,0.1333333333333333,0.13888888888888884,0.17391304347826086,0.17307692307692313,0.2666666666666667,0.19999999999999996,0.16666666666666663,0.16666666666666663,0.1333333333333333,0.06666666666666665,0.09999999999999998,0.16666666666666663,0.19999999999999996
