,account no,facilityid,folio,gps,house no,image,lotlink,status,street no
comments,0.19999999999999996,0.09999999999999998,0.125,0.0625,0.25,0.125,0.25,0.0625,0.11111111111111116
description,0.18181818181818177,0.18181818181818177,0.13636363636363635,0.09090909090909094,0.045454545454545414,0.09090909090909094,0.09090909090909094,0.18181818181818177,0.2727272727272727
facilityid,0.19999999999999996,1.0,0.35,0.0,0.0,0.09999999999999998,0.19999999999999996,0.09999999999999998,0.09999999999999998
house no,0.44999999999999996,0.0,0.1875,0.0625,1.0,0.0625,0.25,0.0,0.33333333333333337
location,0.19999999999999996,0.19999999999999996,0.3125,0.0,0.125,0.125,0.4375,0.25,0.11111111111111116
maintenance responsibility,0.13461538461538458,0.13461538461538458,0.09615384615384615,0.038461538461538436,0.09615384615384615,0.09615384615384615,0.11538461538461542,0.07692307692307687,0.13461538461538458
map page,0.0,0.09999999999999998,0.0,0.125,0.0,0.3125,0.0,0.0,0.0
operational responsibility,0.13461538461538458,0.15384615384615385,0.09615384615384615,0.038461538461538436,0.11538461538461542,0.09615384615384615,0.13461538461538458,0.09615384615384615,0.13461538461538458
park name,0.09999999999999998,0.09999999999999998,0.0,0.0,0.11111111111111116,0.16666666666666663,0.11111111111111116,0.0,0.11111111111111116
park ownership,0.2142857142857143,0.1428571428571429,0.1428571428571429,0.0357142857142857,0.1428571428571429,0.0357142857142857,0.0714285714285714,0.0357142857142857,0.1428571428571429
road code,0.050000000000000044,0.0,0.16666666666666663,0.0,0.16666666666666663,0.16666666666666663,0.11111111111111116,0.11111111111111116,0.05555555555555558
service classification,0.11363636363636365,0.18181818181818177,0.11363636363636365,0.022727272727272707,0.11363636363636365,0.09090909090909094,0.09090909090909094,0.15909090909090906,0.18181818181818177
status,0.09999999999999998,0.09999999999999998,0.0,0.08333333333333337,0.0,0.16666666666666663,0.1428571428571429,1.0,0.38888888888888884
status date,0.09090909090909094,0.09090909090909094,0.0,0.045454545454545414,0.18181818181818177,0.13636363636363635,0.09090909090909094,0.5454545454545454,0.31818181818181823
work assignment,0.19999999999999996,0.1333333333333333,0.1333333333333333,0.06666666666666665,0.19999999999999996,0.09999999999999998,0.16666666666666663,0.06666666666666665,0.1333333333333333
