,comments,ecological significance,hectares,id,name,type
comments,1.0,0.09782608695652167,0.020833333333333315,0.5,0.0625,0.020833333333333315
description,0.04545454545454547,0.057971014492753714,0.06818181818181818,0.5,0.0,0.04545454545454547
facilityid,0.04999999999999999,0.08695652173913043,0.04999999999999999,0.5,0.058333333333333404,0.09999999999999998
house no,0.13541666666666669,0.06521739130434784,0.11458333333333337,0.5,0.020833333333333315,0.020833333333333315
location,0.07291666666666669,0.11594202898550732,0.0625,0.5,0.0625,0.062499999999999944
maintenance responsibility,0.044871794871794934,0.06410256410256415,0.06410256410256415,0.5,0.038461538461538436,0.02564102564102566
map page,0.0,0.06521739130434773,0.020833333333333315,0.5,0.09375000000000006,0.041666666666666685
operational responsibility,0.044871794871794934,0.10256410256410253,0.06410256410256415,0.5,0.038461538461538436,0.02564102564102566
park name,0.05555555555555558,0.06521739130434773,0.018518518518518434,0.5,0.16666666666666669,0.018518518518518545
park ownership,0.07142857142857145,0.0434782608695653,0.035714285714285754,0.5,0.041666666666666685,0.011904761904761918
road code,0.06481481481481483,0.09420289855072461,0.0,0.5,0.05555555555555558,0.018518518518518545
service classification,0.037878787878787845,0.1340579710144928,0.05681818181818182,0.5,0.5132034632034632,0.5227272727272727
status,0.020833333333333315,0.07246376811594202,0.14583333333333331,0.5,0.08333333333333331,0.09722222222222227
status date,0.03030303030303033,0.06521739130434784,0.04545454545454547,0.5,0.06060606060606061,0.06818181818181829
work assignment,0.09444444444444444,0.1376811594202899,0.04444444444444445,0.5,0.0444444444444444,0.011111111111111127
