,comments,condition,conditiondate,facilityid,gis entry stage,location,name,owner,project no,sensitivity,status,warrantydate,water body type,yr
comments,0.5,0.16666666666666669,0.15384615384615385,0.04999999999999999,0.5888888888888889,0.07291666666666669,0.0625,0.11458333333333337,0.08333333333333331,0.5303030303030303,0.020833333333333315,0.06944444444444448,0.033333333333333326,0.5
description,0.04545454545454547,0.1515151515151515,0.05128205128205121,0.09090909090909088,0.09999999999999998,0.16666666666666669,0.0,0.015151515151515083,0.04545454545454547,0.5984848484848486,0.09090909090909088,0.041666666666666574,0.06666666666666671,0.5
facilityid,0.04999999999999999,0.09999999999999998,0.07692307692307693,0.5,0.04444444444444445,0.09999999999999998,0.058333333333333404,0.0,0.04999999999999999,0.09090909090909088,0.04999999999999999,0.13194444444444448,0.10555555555555557,0.5
house no,0.13541666666666669,0.08333333333333331,0.07051282051282054,0.0,0.04444444444444445,0.07291666666666669,0.020833333333333315,0.11458333333333337,0.15000000000000002,0.04545454545454547,0.0,0.0,0.0444444444444444,0.5
location,0.07291666666666669,0.2314814814814815,0.1602564102564103,0.09999999999999998,0.03333333333333338,1.0,0.0625,0.07291666666666669,0.09999999999999998,0.590909090909091,0.125,0.055555555555555525,0.06666666666666671,0.5
maintenance responsibility,0.044871794871794934,0.08333333333333337,0.07051282051282048,0.06089743589743579,0.08974358974358981,0.038461538461538436,0.038461538461538436,0.019230769230769218,0.044871794871794934,0.1282051282051283,0.03205128205128205,0.07371794871794868,0.07371794871794879,0.5
map page,0.0,0.0,0.05128205128205132,0.058333333333333404,0.0888888888888889,0.0,0.09375000000000006,0.0,0.0,0.0,0.0,0.10416666666666669,0.0722222222222223,0.5
operational responsibility,0.044871794871794934,0.07692307692307693,0.09294871794871795,0.0641025641025641,0.05769230769230771,0.07692307692307693,0.038461538461538436,0.04807692307692307,0.060897435897436014,0.1282051282051283,0.038461538461538436,0.05769230769230771,0.0705128205128206,0.5
park name,0.05555555555555558,0.0,0.06410256410256415,0.058333333333333404,0.09999999999999998,2.4569970612844355e-77,0.16666666666666669,0.05555555555555558,0.09166666666666667,0.0,0.0,0.15972222222222227,0.5833333333333335,0.5
park ownership,0.07142857142857145,0.047619047619047616,5.551115123125783e-17,0.06547619047619058,0.03333333333333338,0.0357142857142857,0.041666666666666685,0.14285714285714285,0.11309523809523808,0.0,0.011904761904761918,0.11309523809523808,0.07222222222222219,0.5
road code,0.06481481481481483,0.1203703703703704,0.12179487179487175,0.0,0.04444444444444451,0.10185185185185186,0.05555555555555558,0.06481481481481483,0.10833333333333334,0.0,0.05555555555555558,0.09722222222222227,0.08888888888888896,0.5
service classification,0.17397888181470267,0.09848484848484862,0.08333333333333337,0.0757575757575758,0.5606060606060606,0.28135661799416456,0.10518784894658204,0.5151515151515151,0.10730295273814718,0.14393939393939398,0.5795454545454546,0.07575757575757591,0.5454545454545453,0.5
status,0.020833333333333315,0.05555555555555558,0.0641025641025641,0.04999999999999999,0.13333333333333336,0.125,0.08333333333333331,0.0,0.04999999999999999,0.12878787878787873,0.5,0.06944444444444442,0.10000000000000003,0.5
status date,0.03030303030303033,0.0,0.15384615384615385,0.04545454545454547,0.13333333333333336,0.04545454545454547,0.06060606060606061,0.0,0.0,0.11363636363636365,0.2727272727272727,0.125,0.0888888888888889,0.5
work assignment,0.09444444444444444,0.08333333333333337,0.10555555555555557,0.05555555555555558,0.0,0.09444444444444439,0.0444444444444444,0.06111111111111117,0.05555555555555558,0.06666666666666665,0.033333333333333326,0.12777777777777782,0.061111111111111116,0.5
