,adjacent to school,base path length ft,comments,community,description,drainage upgrade,facilityid,infield type,inservice date,irrigated,joint use agreement,last surface replacement,location,maintenance responsibility,operational responsibility,overlap,park,park ownership,primary use,reference no,runout length m,runout width m,secondary use,service level,sports field type2,status,status date,subsurface drainage,surface length ft,surface type,surface width ft,work assignment
comments,0.16666666666666663,0.13157894736842102,1.0,0.6666666666666667,0.09090909090909094,0.0625,0.09999999999999998,0.16666666666666663,0.1428571428571429,0.11111111111111116,0.26315789473684215,0.1875,0.125,0.1923076923076923,0.15384615384615385,0.125,0.0,0.1428571428571429,0.13636363636363635,0.16666666666666663,0.23333333333333328,0.1428571428571429,0.1923076923076923,0.15384615384615385,0.16666666666666663,0.0625,0.09090909090909094,0.10526315789473684,0.20588235294117652,0.16666666666666663,0.125,0.23333333333333328
description,0.2222222222222222,0.13157894736842102,0.09090909090909094,0.09090909090909094,1.0,0.15625,0.18181818181818177,0.08333333333333337,0.1785714285714286,0.18181818181818177,0.10526315789473684,0.14583333333333337,0.40909090909090906,0.17307692307692313,0.28846153846153844,0.09090909090909094,0.09090909090909094,0.0,0.0,0.20833333333333337,0.06666666666666665,0.1428571428571429,0.07692307692307687,0.15384615384615385,0.16666666666666663,0.18181818181818177,0.0,0.1578947368421053,0.11764705882352944,0.08333333333333337,0.1875,0.09999999999999998
facilityid,0.16666666666666663,0.1578947368421053,0.09999999999999998,0.15000000000000002,0.18181818181818177,0.09375,1.0,0.29166666666666663,0.1071428571428571,0.25,0.052631578947368474,0.16666666666666663,0.19999999999999996,0.17307692307692313,0.23076923076923073,0.09999999999999998,0.09999999999999998,0.1428571428571429,0.09090909090909094,0.08333333333333337,0.1333333333333333,0.1071428571428571,0.15384615384615385,0.07692307692307687,0.19444444444444442,0.09999999999999998,0.09090909090909094,0.21052631578947367,0.2941176470588235,0.33333333333333337,0.28125,0.1333333333333333
house no,0.19444444444444442,0.21052631578947367,0.25,0.11111111111111116,0.045454545454545414,0.125,0.0,0.125,0.1428571428571429,0.0,0.26315789473684215,0.1875,0.125,0.1923076923076923,0.15384615384615385,0.125,0.0,0.1428571428571429,0.09090909090909094,0.29166666666666663,0.19999999999999996,0.1428571428571429,0.15384615384615385,0.15384615384615385,0.16666666666666663,0.0,0.18181818181818177,0.1842105263157895,0.1470588235294118,0.16666666666666663,0.125,0.19999999999999996
location,0.19444444444444442,0.1578947368421053,0.125,0.2222222222222222,0.40909090909090906,0.0625,0.19999999999999996,0.08333333333333337,0.0714285714285714,0.11111111111111116,0.1842105263157895,0.22916666666666663,1.0,0.17307692307692313,0.3076923076923077,0.125,0.125,0.0714285714285714,0.09090909090909094,0.04166666666666663,0.1333333333333333,0.1428571428571429,0.15384615384615385,0.07692307692307687,0.16666666666666663,0.25,0.09090909090909094,0.10526315789473684,0.11764705882352944,0.16666666666666663,0.125,0.23333333333333328
maintenance responsibility,0.21153846153846156,0.1923076923076923,0.11538461538461542,0.15384615384615385,0.17307692307692313,0.23076923076923073,0.13461538461538458,0.15384615384615385,0.2692307692307693,0.11538461538461542,0.23076923076923073,0.23076923076923073,0.09615384615384615,1.0,0.5961538461538461,0.07692307692307687,0.05769230769230771,0.17307692307692313,0.15384615384615385,0.21153846153846156,0.13461538461538458,0.11538461538461542,0.15384615384615385,0.21153846153846156,0.07692307692307687,0.07692307692307687,0.13461538461538458,0.17307692307692313,0.21153846153846156,0.17307692307692313,0.17307692307692313,0.13461538461538458
map page,0.13888888888888884,0.26315789473684215,0.0,0.0,0.09090909090909094,0.28125,0.09999999999999998,0.125,0.1785714285714286,0.16666666666666663,0.1578947368421053,0.22916666666666663,0.0,0.23076923076923073,0.15384615384615385,0.125,0.25,0.1785714285714286,0.2272727272727273,0.04166666666666663,0.1333333333333333,0.0714285714285714,0.11538461538461542,0.11538461538461542,0.13888888888888884,0.0,0.31818181818181823,0.26315789473684215,0.17647058823529416,0.20833333333333337,0.125,0.1333333333333333
operational responsibility,0.1923076923076923,0.15384615384615385,0.11538461538461542,0.15384615384615385,0.15384615384615385,0.1923076923076923,0.15384615384615385,0.11538461538461542,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.17307692307692313,0.5961538461538461,1.0,0.17307692307692313,0.07692307692307687,0.23076923076923073,0.17307692307692313,0.15384615384615385,0.17307692307692313,0.15384615384615385,0.1923076923076923,0.21153846153846156,0.15384615384615385,0.09615384615384615,0.15384615384615385,0.11538461538461542,0.17307692307692313,0.11538461538461542,0.15384615384615385,0.17307692307692313
park name,0.11111111111111116,0.1842105263157895,0.11111111111111116,0.11111111111111116,0.09090909090909094,0.21875,0.09999999999999998,0.125,0.25,0.16666666666666663,0.1578947368421053,0.25,0.0,0.21153846153846156,0.23076923076923073,0.11111111111111116,0.4444444444444444,0.4285714285714286,0.31818181818181823,0.08333333333333337,0.09999999999999998,0.0714285714285714,0.1923076923076923,0.1923076923076923,0.19444444444444442,0.0,0.31818181818181823,0.23684210526315785,0.1470588235294118,0.20833333333333337,0.125,0.30000000000000004
park ownership,0.13888888888888884,0.21052631578947367,0.1428571428571429,0.0714285714285714,0.0,0.0625,0.1428571428571429,0.0,0.0714285714285714,0.1428571428571429,0.10526315789473684,0.14583333333333337,0.0714285714285714,0.17307692307692313,0.23076923076923073,0.25,0.2857142857142857,1.0,0.2142857142857143,0.0714285714285714,0.1333333333333333,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.19444444444444442,0.0357142857142857,0.0357142857142857,0.10526315789473684,0.17647058823529416,0.1428571428571429,0.125,0.19999999999999996
