,comments,description,facilityid,house no,location,maintenance responsibility,map page,operational responsibility,park name,park ownership,road code,service classification,status,status date,work assignment
comments,1.0,0.04545454545454547,0.04999999999999999,0.125,0.0625,0.09615384615384615,0.0,0.07692307692307693,0.05555555555555558,0.07142857142857145,0.05555555555555558,0.5681818181818181,0.03125,0.04545454545454547,0.11666666666666664
description,0.04545454545454547,1.0,0.09090909090909088,0.022727272727272707,0.20454545454545453,0.08653846153846156,0.04545454545454547,0.14423076923076922,0.04545454545454547,0.0,0.0,0.6477272727272727,0.09090909090909088,0.0,0.04999999999999999
facilityid,0.04999999999999999,0.09090909090909088,0.5,0.0,0.09999999999999998,0.08653846153846156,0.04999999999999999,0.11538461538461536,0.04999999999999999,0.07142857142857145,0.0,0.09090909090909088,0.04999999999999999,0.04545454545454547,0.06666666666666665
house no,0.125,0.022727272727272707,0.0,0.5,0.0625,0.09615384615384615,0.0,0.07692307692307693,0.05555555555555558,0.07142857142857145,0.08333333333333331,0.07954545454545453,0.0,0.09090909090909088,0.09999999999999998
location,0.0625,0.20454545454545453,0.09999999999999998,0.0625,1.0,0.08653846153846156,0.0,0.15384615384615385,0.0,0.0357142857142857,0.1111111111111111,0.6704545454545454,0.125,0.04545454545454547,0.11666666666666664
maintenance responsibility,0.05769230769230771,0.08653846153846156,0.06730769230769229,0.04807692307692307,0.04807692307692307,1.0,0.07692307692307693,0.7980769230769231,0.06730769230769229,0.08653846153846156,0.05769230769230771,0.6153846153846154,0.038461538461538436,0.06730769230769229,0.06730769230769229
map page,0.0,0.04545454545454547,0.04999999999999999,0.0,0.0,0.11538461538461536,0.5,0.07692307692307693,0.19444444444444442,0.0892857142857143,0.1388888888888889,0.05681818181818182,0.0,0.15909090909090912,0.06666666666666665
operational responsibility,0.05769230769230771,0.07692307692307693,0.07692307692307693,0.05769230769230771,0.08653846153846156,0.2980769230769231,0.04807692307692307,0.5,0.08653846153846156,0.11538461538461536,0.07692307692307693,0.11538461538461536,0.04807692307692307,0.07692307692307693,0.08653846153846156
park name,0.05555555555555558,0.04545454545454547,0.04999999999999999,0.05555555555555558,0.0,0.10576923076923078,0.19444444444444442,0.11538461538461536,1.0,0.2142857142857143,0.08333333333333331,0.06818181818181818,0.0,0.15909090909090912,0.15000000000000002
park ownership,0.07142857142857145,0.0,0.07142857142857145,0.07142857142857145,0.0357142857142857,0.08653846153846156,0.0892857142857143,0.11538461538461536,0.2142857142857143,0.5,0.05357142857142855,0.06818181818181818,0.01785714285714285,0.01785714285714285,0.09999999999999998
road code,0.05555555555555558,0.0,0.0,0.08333333333333331,0.1111111111111111,0.05769230769230771,0.1388888888888889,0.07692307692307693,0.08333333333333331,0.05357142857142855,0.5,0.09090909090909088,0.05555555555555558,0.11363636363636365,0.08333333333333331
service classification,0.04545454545454547,0.1477272727272727,0.09090909090909088,0.05681818181818182,0.1477272727272727,0.11538461538461536,0.04545454545454547,0.11538461538461536,0.06818181818181818,0.06818181818181818,0.06818181818181818,0.5,0.5795454545454546,0.10227272727272729,0.125
status,0.03125,0.09090909090909088,0.04999999999999999,0.0,0.125,0.08653846153846156,0.0,0.09615384615384615,0.0,0.0357142857142857,0.05555555555555558,0.13636363636363635,0.6666666666666666,0.2954545454545454,0.04999999999999999
status date,0.04545454545454547,0.0,0.04545454545454547,0.09090909090909088,0.04545454545454547,0.08653846153846156,0.15909090909090912,0.09615384615384615,0.15909090909090912,0.01785714285714285,0.11363636363636365,0.10227272727272729,0.2727272727272727,0.5,0.04999999999999999
work assignment,0.11666666666666664,0.04999999999999999,0.06666666666666665,0.09999999999999998,0.11666666666666664,0.06730769230769229,0.06666666666666665,0.08653846153846156,0.15000000000000002,0.09999999999999998,0.08333333333333331,0.125,0.033333333333333326,0.04999999999999999,0.5
