,concept,score,trees,parks,parkland,park,fields,sites,subdivision
0,item,0.1509157509157509,0.13333333333333333,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385
1,community,0.14030612244897958,0.125,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2,ethnic origin and visible minorities,0.22647566718995288,0.23499999999999996,0.22505494505494505,0.22505494505494505,0.22505494505494505,0.22505494505494505,0.22505494505494505,0.22505494505494505
3,monitoring,0.10383100608664518,0.09523809523809523,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684
4,artwork,0.1509157509157509,0.13333333333333333,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385
5,fraser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,terrestrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,citizenship,0.1310924369747899,0.11764705882352941,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
8,lift,0.12301587301587302,0.1111111111111111,0.125,0.125,0.125,0.125,0.125,0.125
9,students,0.4116541353383459,0.631578947368421,0.375,0.375,0.375,0.375,0.375,0.375
10,goods,0.1310924369747899,0.11764705882352941,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
11,economic indicators,0.06554621848739495,0.058823529411764705,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
12,pm2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,fire,0.14030612244897958,0.125,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
14,parking station,0.2751950780312125,0.2977941176470588,0.27142857142857146,0.27142857142857146,0.27142857142857146,0.27142857142857146,0.27142857142857146,0.27142857142857146
15,tank,0.34285714285714286,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
16,volume,0.16326530612244897,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
17,energy dissipater,0.1310924369747899,0.11764705882352941,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
18,drainage lateral,0.09870129870129869,0.09090909090909091,0.1,0.1,0.1,0.1,0.1,0.1
19,canada,0.519047619047619,0.3,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
20,catalogued print,0.07545787545787545,0.06666666666666667,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
21,structures,0.4387755102040816,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
22,structural type of dwelling and collectives,0.10425614690320573,0.11034858387799563,0.10324074074074074,0.10324074074074074,0.10324074074074074,0.10324074074074074,0.10324074074074074,0.10324074074074074
23,projection,0.10952380952380951,0.1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
24,average,0.12301587301587302,0.1111111111111111,0.125,0.125,0.125,0.125,0.125,0.125
25,land use,0.1310924369747899,0.11764705882352941,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
26,drainage mains,0.20026640026640025,0.17878787878787877,0.20384615384615384,0.20384615384615384,0.20384615384615384,0.20384615384615384,0.20384615384615384,0.20384615384615384
27,douglas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,dyke,0.38823529411764707,0.6,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826
29,corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,orthophoto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,district energy,0.4640006002400961,0.30514705882352944,0.4904761904761905,0.4904761904761905,0.4904761904761905,0.4904761904761905,0.4904761904761905,0.4904761904761905
32,highway,0.38492063492063494,0.4444444444444444,0.375,0.375,0.375,0.375,0.375,0.375
33,early copy,0.06150793650793651,0.05555555555555555,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
34,zone,0.5075630252100839,0.35294117647058826,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333
35,crime,0.11587793011941619,0.10526315789473684,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941
36,containment,0.10952380952380951,0.1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
37,rainfall,0.21904761904761902,0.2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
38,slope,0.45274725274725286,0.4,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156
39,city facilities,0.5444651544828457,0.40789473684210525,0.5672268907563025,0.5672268907563025,0.5672268907563025,0.5672268907563025,0.5672268907563025,0.5672268907563025
40,jobs,0.1310924369747899,0.11764705882352941,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
41,families,0.1310924369747899,0.11764705882352941,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
42,attraction,0.24603174603174605,0.2222222222222222,0.25,0.25,0.25,0.25,0.25,0.25
43,swimming,0.10952380952380951,0.1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
44,finance,0.11587793011941619,0.10526315789473684,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941
45,hubs,0.45274725274725286,0.4,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156
46,translation,0.12301587301587302,0.1111111111111111,0.125,0.125,0.125,0.125,0.125,0.125
47,growth,0.3018315018315018,0.26666666666666666,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077
48,right of ways,0.08893122701172239,0.07953216374269005,0.0904977375565611,0.0904977375565611,0.0904977375565611,0.0904977375565611,0.0904977375565611,0.0904977375565611
49,corridor,0.36267138434321106,0.42105263157894735,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826
50,expense,0.12301587301587302,0.1111111111111111,0.125,0.125,0.125,0.125,0.125,0.125
51,service areas,0.39441609977324266,0.24305555555555555,0.41964285714285715,0.41964285714285715,0.41964285714285715,0.41964285714285715,0.41964285714285715,0.41964285714285715
52,reservoir,0.14030612244897958,0.125,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
53,drainage service connections,0.1283274926132069,0.11495911495911497,0.13055555555555556,0.13055555555555556,0.13055555555555556,0.13055555555555556,0.13055555555555556,0.13055555555555556
54,sustainability indicator,0.1410040939452704,0.12549019607843137,0.14358974358974358,0.14358974358974358,0.14358974358974358,0.14358974358974358,0.14358974358974358,0.14358974358974358
55,artist,0.4116541353383459,0.631578947368421,0.375,0.375,0.375,0.375,0.375,0.375
56,placemaking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,garden,0.7509951348960636,0.3157894736842105,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058
58,loop,0.34285714285714286,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
59,legal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,in service,0.12705415499533146,0.11437908496732026,0.12916666666666665,0.12916666666666665,0.12916666666666665,0.12916666666666665,0.12916666666666665,0.12916666666666665
61,pressure zones,0.3848739495798319,0.29411764705882354,0.4,0.4,0.4,0.4,0.4,0.4
62,traffic volume,0.15709052851909996,0.1380952380952381,0.16025641025641024,0.16025641025641024,0.16025641025641024,0.16025641025641024,0.16025641025641024,0.16025641025641024
63,fleetwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,movie,0.38492063492063494,0.4444444444444444,0.375,0.375,0.375,0.375,0.375,0.375
65,sampling,0.12301587301587302,0.1111111111111111,0.125,0.125,0.125,0.125,0.125,0.125
66,theft,0.10383100608664518,0.09523809523809523,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684
67,west newton,0.5270258103241295,0.4875,0.5336134453781513,0.5336134453781513,0.5336134453781513,0.5336134453781513,0.5336134453781513,0.5336134453781513
68,activity,0.14030612244897958,0.125,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
69,business sector,0.1310924369747899,0.11764705882352941,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
70,alr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,green buildings,0.2665499533146592,0.29084967320261434,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625
72,highway 10,0.25396825396825395,0.2777777777777778,0.25,0.25,0.25,0.25,0.25,0.25
73,housing and shelter costs,0.2378151260504202,0.2647058823529412,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334
74,easement,0.10383100608664518,0.09523809523809523,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684
75,neighbourhood enhancement grants,0.26957835765885296,0.17953216374269007,0.2845860566448802,0.2845860566448802,0.2845860566448802,0.2845860566448802,0.2845860566448802,0.2845860566448802
76,aboriginal peoples,0.275750300120048,0.37142857142857144,0.25980392156862747,0.25980392156862747,0.25980392156862747,0.25980392156862747,0.25980392156862747,0.25980392156862747
77,hall,0.34285714285714286,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
78,pole,0.36267138434321106,0.42105263157894735,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826
79,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,chamber,0.36267138434321106,0.42105263157894735,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826
81,company,0.1310924369747899,0.11764705882352941,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
82,owners,0.36734693877551017,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
83,easements,0.10383100608664518,0.09523809523809523,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684
84,school,0.12301587301587302,0.1111111111111111,0.125,0.125,0.125,0.125,0.125,0.125
85,pressure,0.2621848739495798,0.23529411764705882,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666
86,headwall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,valve,0.2621848739495798,0.23529411764705882,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666
88,supplier,0.38823529411764707,0.6,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826
89,skytrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,density,0.12301587301587302,0.1111111111111111,0.125,0.125,0.125,0.125,0.125,0.125
91,exercise,0.10952380952380951,0.1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
92,counts,0.14030612244897958,0.125,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
93,cadastre,0.11587793011941619,0.10526315789473684,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941
94,infrastructure,0.1310924369747899,0.11764705882352941,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
95,folio,0.14030612244897958,0.125,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
96,internet connectivity,0.2468864468864469,0.26666666666666666,0.24358974358974358,0.24358974358974358,0.24358974358974358,0.24358974358974358,0.24358974358974358,0.24358974358974358
97,property,0.1509157509157509,0.13333333333333333,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385
98,government,0.1310924369747899,0.11764705882352941,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
99,200 year flood plain,0.21380956228645306,0.1900735294117647,0.21776556776556777,0.21776556776556777,0.21776556776556777,0.21776556776556777,0.21776556776556777,0.21776556776556777
100,labour,0.14030612244897958,0.125,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
101,class,0.1509157509157509,0.13333333333333333,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385
102,siphon,0.34285714285714286,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
103,bleachers,0.4116541353383459,0.631578947368421,0.375,0.375,0.375,0.375,0.375,0.375
104,ecosystem,0.1509157509157509,0.13333333333333333,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385
105,earning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,holdings,0.11587793011941619,0.10526315789473684,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941
107,justice,0.1310924369747899,0.11764705882352941,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
108,depth,0.1310924369747899,0.11764705882352941,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
109,heritage,0.14030612244897958,0.125,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
110,campbell heights,0.2596638655462185,0.3588235294117647,0.2431372549019608,0.2431372549019608,0.2431372549019608,0.2431372549019608,0.2431372549019608,0.2431372549019608
111,community garden,0.44565062867252164,0.22039473684210525,0.4831932773109243,0.4831932773109243,0.4831932773109243,0.4831932773109243,0.4831932773109243,0.4831932773109243
