,AAS_ID,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DATE_CLOSED,DATE_CONSTRUCTED,DESCRIPTION,DESIGNATION,DISASTER_RESPONSE_ROUTE,FACILITYID,GCNAME,GCPREDIR,GCROADS,GCSUFDIR,GCTYPE,GIS_ENTRY_STAGE,GREENWAY,INSERVICE_COST,INSERVICE_DATE,LEFTFROM,LEFTTO,LEGACYID,LIFECYCLE_COST,LOCATION,MAINTENANCE_RESPONSIBILITY,MAJOR_ROAD_NETWORK,MAP_PAGE,MATERIAL,MOD_DATE,NO_LANE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OWNER,PARK_LEGACY_ID,PARK_OWNERSHIP,PAVING_DATE,PROJECT_NO,RD_CLASS,RIGHTFROM,RIGHTTO,ROADCODE,ROAD_CENTRELINE_TYPE,ROAD_CENTRELINE_TYPE2,ROAD_NAME,ROW_WIDTH,SPEED,STATUS,STATUS_DATE,STATUS_PARKS,STREETSWEEPING_ROUTE,STRUCTURES_INSPECTION_ROUTE,TRUCK_ROUTE,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YR,YRS_LIFE_EXPECTANCY,YTD_COST
0,304,,,,19960703,,,,,None,1000979895,BOUNDARY,,BOUNDARY DR N,N,DR,,,,,12215,12233,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,12208,12246,06305,0,Road,Boundary Dr N,,50,Open,,,,,,,,,1988,,
1,38,,,,19870917,,,,Translink,None,1000983679,120,,120 ST,,ST,,,,,9351,9599,,,,Engineering,Yes,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,9352,9598,12000,0,Road,120 St,34,60,Open,,,TRANSLINK - T1 CURBS,,Truck Routes,,,,1973,,
2,529,,,,19870917,,,,,None,1000982665,99,,99 AVE,,AVE,,,,,12001,12049,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,12002,12048,09900,0,Road,99 Ave,24,50,Open,,,,,,,,,1974,,
3,529,,,,19870917,,,,,None,1000981458,99,,99 AVE,,AVE,,,,,12101,12149,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,12102,12148,09900,0,Road,99 Ave,24,50,Open,,,,,,,,,1974,,
4,529,,,,19870917,,,,,None,1000980201,99,,99 AVE,,AVE,,,,,12151,12199,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,12152,12198,09900,0,Road,99 Ave,24,50,Open,,,,,,,,,1966,,
5,251,,,,19870818,,,,,None,1000981723,NEW MCLELLAN,,NEW MCLELLAN RD,,RD,,,,,12301,12399,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,12302,12398,05525,0,Road,New Mclellan Rd,20,50,Open,,,,,,,,,1993,,
6,304,,,,19870901,,,,,None,1000972493,BOUNDARY,,BOUNDARY DR S,S,DR,,,,,12305,12365,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,12308,12368,05925,0,Road,Boundary Dr S,,50,Open,,,,,,,,,1986,,
7,221,,,,19880714,,,,,None,1000984082,PARKTREE,,PARKTREE CRT,,CRT,,,,,6203,6253,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,6214,6252,12280,0,Road,Parktree Crt,,50,Open,,,,,,,,,1988,,
8,596,,,,20030509,,,,,None,1000982037,122,,122 ST,,ST,,,,,6551,6599,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,6552,6598,12200,0,Road,122 St,,50,Open,,,,,,,,,1992,,
9,365,,,,19870903,,,,,None,1000984150,77A,,77A AVE,,AVE,,,,,12251,12299,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,12252,12298,07750,0,Road,77A Ave,,50,Open,,,,,,,,,1986,,
10,365,,,,19870904,,,,,None,1000978918,123,,123 ST,,ST,,,,,7711,7751,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,7706,7752,12300,0,Road,123 St,,50,Open,,,,,,,,,1986,,
11,365,,,,20020703,,,,,None,1000981073,,,,,,,,,,,,,,,Engineering,No,,Asphalt,20171206,1,,,Engineering,Surrey,,,,,Local,,,,4,Access Lane,,,,Open,,,,,,,,,1986,,
12,488,,,,19870904,,,,,None,1000978529,81A,,81A AVE,,AVE,,,,,12201,12249,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,12202,12270,08150,0,Road,81A Ave,,50,Open,,,,,,,,,1978,,
13,410,,,,19870904,,,,,None,1000982064,82,,82 AVE,,AVE,,,,,12301,12399,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,12302,12398,08200,0,Road,82 Ave,24,50,Open,,,,,No Heavy Truck Routes,,,,1975,,
14,382,,,,19891003,,,,,None,1000977136,81,,81 AVE,,AVE,,,,,12333,12399,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,12332,12398,08100,0,Road,81 Ave,,50,Open,,,,,,,,,1990,,
15,345,,,,19870917,,,,,None,1000974636,100,,100 AVE,,AVE,,,,,12211,12299,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,12222,12298,10000,0,Road,100 Ave,,50,Open,,,,,,,,,1974,,
16,499,,,,19870928,,,,,None,1000976894,LARSON,,LARSON RD,,RD,,,,,10891,10909,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,10890,10910,12380,0,Road,Larson Rd,,50,Open,,,,,,,,,1978,,
17,500,,,,19870814,,,,,None,1000973759,20,,20 AVE,,AVE,,,,,12557,12693,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,12550,12706,02000,0,Road,20 Ave,24,50,Open,,,,,,,,,1979,,
18,304,,,,19870901,20050915,20061030,,,None,1000981897,BOUNDARY,,BOUNDARY DR E,E,DR,,,,,6051,6139,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,6052,6138,12405,0,Road,Boundary Dr E,24,50,Open,,,,,,,,,2016,,
19,304,,,,19880921,,,,,None,1000977558,BOUNDARY,,BOUNDARY DR E,E,DR,,,,,6251,6321,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,6252,6320,12405,0,Road,Boundary Dr E,24,50,Open,,,,,,,,,1988,,
20,266,,,,19900423,,,,,None,1000974939,75A,,75A AVE,,AVE,,,,,12415,12499,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,12416,12498,07550,0,Road,75A Ave,,50,Open,,,,,,,,,1990,,
21,266,,,,19900423,,,,,None,1000984928,76,,76 AVE,,AVE,,,,,12485,12499,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,12494,12494,07600,0,Road,76 Ave,,50,Open,,,,,,,,,1978,,
22,266,,,,20030820,,,,,None,1000981130,76A,,76A AVE,,AVE,,,,,12519,12579,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,12532,12580,07650,0,Road,76A Ave,,50,Open,,,,,,,,,1978,,
23,531,,,,19870903,,,,,None,1000975066,79,,79 AVE,,AVE,,,,,12461,12499,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,12460,12498,07900,0,Road,79 Ave,,50,Open,,,,,,,,,1981,,
24,410,,,,19870904,,,,,None,1000979228,82,,82 AVE,,AVE,,,,,12401,12799,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,12402,12798,08200,0,Road,82 Ave,24,50,Open,,,,,No Heavy Truck Routes,,,,1975,,
25,339,,,,19870917,,,,,None,1000976989,124,,124 ST,,ST,,,,,9101,9149,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,9102,9148,12400,0,Road,124 St,24,50,Open,,,,,,,,,1991,,
26,679,,,,19870918,,,,,None,1000977058,96A,,96A AVE,,AVE,,,,,12501,12599,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,12502,12598,09650,0,Road,96A Ave,,50,Open,,,,,,,,,1964,,
27,79,,,,19870918,,,,,None,1000975117,124A,,124A ST,,ST,,,,,10201,10299,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,10202,10298,12450,0,Road,124A St,,50,Open,,,,,,,,,1963,,
