,BARCODE,BARRIER_TYPE,BARRIER_TYPE2,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,ENGINEERED,FACILITYID,GIS_ENTRY_STAGE,HEIGHT_M,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LIFECYCLE_COST,LOCATED_ON,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MATERIAL,MODEL,MOD_DATE,NO_OF_BARRIERS,NO_OF_BULLNOSE,NO_OF_HWY_NOPOST,NO_OF_NOPOST,NO_OF_TRANSITION,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OWNER,PAINTED,PARK_FENCE_TYPE,PARK_LEGACY_ID,PARK_OWNERSHIP,PROJECT_NO,QUANTITY,REFERENCE_NO,RETAINING_WALL_TYPE,ROAD_CODE,SERIAL_NO,SPECIAL_FEATURES,STATUS,STATUS_DATE,STATUS_PARKS,STRUCTURES_INSPECTION_ROUTE,TEMP,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WIDTH_M,WORK_ASSIGNMENT,YR,YRS_LIFE_EXPECTANCY,YTD_COST
0,,2,Fencing,,,,20120209,,,1001360246,Final AB,,,,,,,Walkway,,Engineering,,,Chain Link,,20120402,,,,,,,,Engineering,Surrey,Black,,,,7808-0082-00,,,,,,,In Service,,,,,,,,,,2012,,
1,,5,No Post Guardrail,,,,20120322,,,1001406086,,,,,,,,Multi-use Pathway,,Engineering,,,Concrete,,20120322,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,,,
2,,5,No Post Guardrail,,,,20120322,,,1001406087,,,,,,1001406086,,Multi-use Pathway,,Engineering,,,Concrete,,20120322,,,,,,,,Engineering,Surrey,Yellow,,,,,,,,,,,In Service,,,,,,,,,,,,
3,,5,No Post Guardrail,,,,20120322,,,1001406088,,,,,,,,Multi-use Pathway,,Engineering,,,Concrete,,20120322,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,,,
4,,5,No Post Guardrail,,,,20120322,,,1001406089,,,,,,,,Multi-use Pathway,,Engineering,,,Concrete,,20120322,,,,,,,,Engineering,Surrey,Yellow,,,,,,,,,,,In Service,,,,,,,,,,,,
5,,5,No Post Guardrail,,,,20120322,,,1001406090,,,,,,,,Multi-use Pathway,,Engineering,,,Concrete,,20120322,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,,,
6,,5,No Post Guardrail,,,,20120322,,,1001406091,,,,,,,,Multi-use Pathway,,Engineering,,,Concrete,,20120322,,,,,,,,Engineering,Surrey,Yellow,,,,,,,,,,,In Service,,,,,,,,,,,,
7,,5,No Post Guardrail,,,,20120322,,,1001406131,Final AB,,,,,,,Lane,,Engineering,,,Concrete,,20120322,,,,,,,,Engineering,Surrey,Yellow,,,,7805-0265-00,,,,,,,In Service,,,,,,,,,,2007,,
8,,6,Retaining Wall,,,,20120503,,,1001411328,,,,,,,,Road,,Engineering,,,Block,,20120503,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,,,
9,,2,Fencing,,,,20120328,,,1001406725,Final AB,,,,,,,,,Engineering,,,Log Rail,,20120328,,,,,,,,Engineering,Surrey,,,,,7809-0204-00,,,,,,,In Service,,,,,,,,,,2012,,
10,,5,No Post Guardrail,,,,20120328,,,1001214841,Final AB,,,,,,,Lane,,Engineering,,,Concrete,,20120328,1,,,,,,,Engineering,Surrey,Yellow,,,,7809-0204-00,,,,,,,In Service,,,,,,,,,,2012,,
11,,2,Fencing,,,,20120209,,,1001360247,Final AB,,,,,,,Walkway,,Engineering,,,Chain Link,,20120402,,,,,,,,Engineering,Surrey,Black,,,,7808-0082-00,,,,,,,In Service,,,,,,,,,,2012,,
12,,2,Fencing,,,,20120326,,,1001406441,Final AB,,,,,,,Other,,Engineering,,,Log Rail,,20120405,,,,,,,,Engineering,Surrey,Not Painted,,,,7805-0367-00,,,,,,,In Service,,,,,,,,,,2012,,
13,,2,Fencing,,,,20120328,,,1001406724,Final AB,,,,,,,Sidewalk,,Engineering,,,Log Rail,,20120410,,,,,,,,Engineering,Surrey,Not Painted,,,,7809-0204-00,,,,,,,In Service,,,,,,,,,,2012,,
14,,2,Fencing,,,,20120413,,,1001408009,Final AB,,,,,,,Walkway,,Engineering,,,Chain Link,,20120413,,,,,,,,Engineering,Surrey,Not Painted,,,,7896-0080-00+,,,,,,,In Service,,,,,,,,,,2005,,
15,,5,No Post Guardrail,,,,20120504,,,1001411783,,,,,,,,Other,,Engineering,,,Concrete,,20120504,,,,,,,,Engineering,Surrey,Yellow,,,,,,,,,,,In Service,,,,,,,,,,,,
16,,2,Fencing,,,,20120413,,,1001408008,Final AB,,,,,,,Walkway,,Engineering,,,Chain Link,,20120413,,,,,,,,Engineering,Surrey,Not Painted,,,,7896-0080-00+,,,,,,,In Service,,,,,,,,,,2005,,
17,,5,No Post Guardrail,,,,20120504,,,1001411743,,,,,,,,Road,,Engineering,,,Concrete,,20120504,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,,,
18,,6,Retaining Wall,,,,20120504,,,1001411772,Final AB,,,,,,,Other,,Engineering,,,Block,,20120504,,,,,,,,Engineering,Surrey,Not Painted,,,,1703-3180-00,,,,,,,In Service,,,,,,,,,,2008,,
19,,3,Handrail,,,,20120504,,,1001411780,Final AB,,,,,,,Retaining Wall,,Engineering,,,Metal Tube,,20120504,,,,,,,,Engineering,Surrey,Not Painted,,,,1703-3180-00,,,,,,,In Service,,,,,,,,,,2008,,
20,,5,No Post Guardrail,,,,20091210,,,1001143230,,,,,,,,,,Engineering,,,,,20120911,,,,,,,,Engineering,Surrey,,,,,,,,,,,,In Service,,,,,,,,,,,,
21,,1,Deflector Guardrail,1 WDGR,,,20091013,,,1001134360,Initial AB,,,,,,,Road,,Engineering,,,Wooden,,20091206,,,,,,,,Engineering,Surrey,White,,,,,,,,,,,In Service,,,,,,,,,,2009,,
22,,1,Deflector Guardrail,,,,20091210,,,1001143245,,,,,,,,,,Engineering,,,,,20120911,,,,,,,,Engineering,Surrey,,,,,,,,,,,,In Service,,,,,,,,,,,,
23,,5,No Post Guardrail,14 HNPG,,,20091206,,,1001142678,Initial AB,,,,,1001134316,,Road,,Engineering,,,Concrete,,20091207,,,,,,,,Engineering,Surrey,Yellow,,,,,,,,,,,In Service,,,,,,,,,,2009,,
24,,5,No Post Guardrail,,,,20091210,,,1001143228,,,,,,,,,,Engineering,,,,,20120911,,,,,,,,Engineering,Surrey,,,,,,,,,,,,In Service,,,,,,,,,,,,
25,,5,No Post Guardrail,3 NPGR,,,20091207,,,1001142696,Initial AB,,,,,1001134702,,Road,,Engineering,,,Concrete,,20091207,,,,,,,,Engineering,Surrey,Yellow,,,,,,,,,,,In Service,,,,,,,,,,2009,,
26,,5,No Post Guardrail,,,,20091206,,,1001142670,,,,,,,,,,Engineering,,,,,20120911,,,,,,,,Engineering,Surrey,,,,,,,,,,,,In Service,,,,,,,,,,,,
27,,5,No Post Guardrail,,,,20091206,,,1001142667,,,,,,,,,,Engineering,,,,,20120911,,,,,,,,Engineering,Surrey,,,,,,,,,,,,In Service,,,,,,,,,,,,
28,,5,No Post Guardrail,12 NPGR,,,20091016,,,1001134824,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20091016,,,,,,,,Engineering,Surrey,Yellow,,,,,,,,,,,In Service,,,,,,,,,,2009,,
