,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
1,,,,,,,,,Business Park,20180228,Campbell Heights,Approved,Local Area Plan,2000
2,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
3,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
4,20160608,Amended From Open Space Corridors/Buffers to Business Park,,20160616,,,,13-0127-00,Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
5,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
6,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
7,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
8,,,,,,,,,Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
9,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
10,,,,20161102,,,,,Tree Preservation Opportunities,,Campbell Heights,Approved,Local Area Plan,2000
11,,,,,,,,,Open Space Corridors/Buffers,20161102,Campbell Heights,Approved,Local Area Plan,2000
12,,,,,,,,,Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
13,,,,,,,,,Commercial,20161102,Campbell Heights,Approved,Local Area Plan,2000
14,,,,20161102,,,,,Tree Preservation Opportunities,,Campbell Heights,Approved,Local Area Plan,2000
15,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
16,,,,20161102,,,,,Tree Preservation Opportunities,,Campbell Heights,Approved,Local Area Plan,2000
17,,,,,,,,,Technology Park or Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
18,20170529,Amended From Business Park to Open Space Corridors/Buffers,RES.R17-1624,20180228,,,,7916-0052-00,Open Space Corridors/Buffers,20180228,Campbell Heights,Approved,Local Area Plan,2000
19,,,,20121210,,,,,Open Space Corridors/Buffers,20161102,Campbell Heights,Approved,Local Area Plan,2000
20,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
21,,,,,,,,,Open Space Corridors/Buffers,20161102,Campbell Heights,Approved,Local Area Plan,2000
22,20160608,Amended From Stormwater Management Facilities to Business Park,,,,,,13-0127-00,Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
