,AREA_NAME,DESCRIPTION,LAND_USE,OVERLAY_TYPE
0,City Centre,5.5 FAR,Central Business District,Density
1,City Centre,3.5 FAR,Central Business District,Density
2,City Centre,5.5 FAR,Central Business District,Density
3,City Centre,5.5 FAR,Central Business District,Density
4,City Centre,3.5 FAR,Central Business District,Density
5,City Centre,7.5 FAR,Central Business District,Density
6,City Centre,5.5 FAR,Central Business District,Density
7,City Centre,3.5 FAR,Central Business District,Density
8,City Centre,3.5 FAR,Central Business District,Density
9,City Centre,5.5 FAR,Central Business District,Density
10,City Centre,3.5 FAR,Central Business District,Density
