,CRE_DATE,MOD_DATE,NAME
0,20121011,20121018,1501
1,20121011,20121012,1503
2,20121011,20121012,1504
3,20121011,20121018,1507
4,20121011,20121018,1502
5,20121011,20121018,1506
6,20121011,20121018,1509
7,20121011,20121023,1515
8,20121011,20121023,1510
9,20121011,20121012,1512
10,20121011,20121018,1518
11,20121011,20121012,1514
12,20121011,20121012,1517
13,20121012,20121012,1505
14,20121012,20121018,1511
15,20121012,20121012,1516
16,20121012,20121012,1513
17,20121012,20121018,1508
18,20121015,20121015,2509
19,20121015,20121018,2501
20,20121015,20121018,2506
21,20121015,20121015,2503
22,20121015,20121015,2502
23,20121015,20121015,2511
24,20121015,20121015,2505
25,20121015,20121015,2507
26,20121015,20121015,2510
27,20121015,20121018,2512
28,20121015,20121018,2516
29,20121015,20121018,2517
30,20121015,20121015,2514
31,20121015,20121015,2508
32,20121015,20121015,2518
33,20121015,20121015,2515
34,20121015,20121015,2513
35,20121015,20121015,2504
36,20121015,20121018,3501
37,20121015,20121015,3504
38,20121015,20121015,3508
39,20121015,20121018,3502
40,20121015,20121015,3505
41,20121016,20121016,3512
42,20121016,20121016,3511
43,20121016,20121018,3518
44,20121016,20121016,3513
45,20121016,20121016,3515
46,20121016,20121018,3517
47,20121016,20121018,3516
48,20121016,20121016,3514
49,20121016,20121018,3509
50,20121016,20121018,3510
51,20121016,20121018,3506
52,20121016,20121018,3507
53,20121016,20121018,3503
54,20121017,20121017,4501
55,20121017,20121018,4502
56,20121017,20121018,4507
57,20121017,20121018,4510
58,20121017,20121018,4505
59,20121017,20121018,4503
60,20121017,20121018,4506
61,20121017,20121018,4504
62,20121017,20121018,4509
63,20121017,20121018,4508
64,20121017,20121018,4511
65,20121017,20121017,4514
66,20121017,20121018,4513
67,20121017,20121018,4512
68,20121017,20121017,4517
69,20121017,20121017,4516
70,20121017,20121017,4515
71,20121017,20121018,4518
72,20121017,20121018,5518
73,20121017,20121017,5514
74,20121017,20121017,5513
75,20121017,20121019,5515
76,20121017,20121017,5509
77,20121017,20121019,5510
78,20121017,20121017,5512
79,20121017,20121019,5516
80,20121017,20121019,5508
81,20121017,20121017,5505
82,20121017,20121019,5506
83,20121017,20121019,5503
84,20121017,20121019,5504
85,20121017,20121018,5507
86,20121017,20121017,5502
87,20121017,20121017,5501
88,20121017,20180102,5511
89,20121017,20180102,5517
