,TEMPEST_ACCOUNT_NO,HOUSE_NO,STREET,CRE_DATE,MOD_DATE,Latitude,Longitude
0,356844,12866,63B AVE,,,49.118159,-122.866129
1,356845,13111,60 AVE,,,49.112015,-122.858775
2,356846,6071,132 ST,,,49.113085,-122.856879
3,356849,6229,129 ST,,,49.115940,-122.865289
4,356852,13044,64 AVE,,,49.118860,-122.861123
5,356853,12836,63B AVE,,,49.118158,-122.866841
6,356854,6218,128A ST,,,49.115891,-122.866165
7,356857,12938,64 AVE,,,49.118918,-122.863983
8,356860,12886,64 AVE,,,49.118915,-122.865354
9,356861,12848,63B AVE,,,49.118163,-122.866529
10,356863,12877,63B AVE,,,49.118364,-122.866103
11,356864,6028,131 ST,,,49.112410,-122.858682
12,356869,12878,64 AVE,,,49.118919,-122.865583
13,356870,12869,63B AVE,,,49.118422,-122.866270
14,356875,6363,129A ST,,,49.118322,-122.863947
15,356877,12839,63B AVE,,,49.118383,-122.866800
16,356878,6246,128A ST,,,49.116296,-122.866164
17,356879,12862,64 AVE,,,49.118957,-122.866378
18,356880,6265,132 ST,,,49.116438,-122.856811
19,356886,12868,64 AVE,,,49.118956,-122.866107
20,356893,12817,63B AVE,,,49.118381,-122.867302
21,356895,6283,132 ST,,,49.116791,-122.856804
22,356898,6283,129 ST,,,49.116853,-122.865289
23,356905,6009,131 ST,,,49.112100,-122.859237
24,356906,6301,132 ST,,,49.117143,-122.856797
25,356907,6323,129A ST,,,49.117477,-122.863947
26,356910,6300,128A ST,,,49.116973,-122.866164
27,356913,6315,129A ST,,,49.117308,-122.863947
28,356915,12844,64 AVE,,,49.118952,-122.866921
29,356916,6308,128A ST,,,49.117108,-122.866164
30,356917,12974,64 AVE,,,49.118890,-122.863164
31,356919,12876,63A AVE,,,49.117503,-122.865828
32,356924,6384,129A ST,,,49.118518,-122.863453
33,356929,12865,63A AVE,,,49.117701,-122.866191
34,356931,6364,129A ST,,,49.118186,-122.863453
35,356936,6324,129A ST,,,49.117528,-122.863452
36,356937,6314,129A ST,,,49.117363,-122.863452
37,356938,6298,129A ST,,,49.117198,-122.863456
38,356940,6270,129A ST,,,49.116706,-122.863453
39,356942,6240,129A ST,,,49.116212,-122.863455
40,356944,12912,62 AVE,,,49.115296,-122.864673
41,356947,6230,129A ST,,,49.116048,-122.863455
42,356950,6149,129A ST,,,49.114554,-122.864732
43,356952,6131,129A ST,,,49.114256,-122.864553
44,356968,13049,61 AVE,,,49.113355,-122.861160
45,356970,6211,129A ST,,,49.115632,-122.863951
46,356978,6221,129A ST,,,49.115799,-122.863950
47,357015,6271,129A ST,,,49.116638,-122.863948
48,357016,6238,129 ST,,,49.116115,-122.864796
49,357018,6268,129 ST,,,49.116601,-122.864796
50,357020,6304,129 ST,,,49.117302,-122.864795
51,357025,6350,129 ST,,,49.118236,-122.864745
52,357027,12908,64 AVE,,,49.118910,-122.864833
53,357032,6299,129A ST,,,49.117140,-122.863947
54,357036,6249,130 ST,,,49.116206,-122.862607
55,357047,12984,64 AVE,,,49.118887,-122.862897
56,357050,6141,132 ST,,,49.114240,-122.856884
57,357058,6288,131A ST,,,49.117239,-122.857884
58,357079,13128,61 AVE,,,49.113093,-122.858456
59,357085,13058,61 AVE,,,49.113017,-122.860672
60,357099,13054,61A AVE,,,49.113744,-122.860871
61,357101,6145,130B ST,,,49.114450,-122.860628
62,357102,6153,130B ST,,,49.114616,-122.860615
63,357104,6185,130B ST,,,49.115148,-122.860682
64,357109,6146,130B ST,,,49.114427,-122.860198
65,357110,6138,130B ST,,,49.114243,-122.860221
66,357129,13138,62B AVE,,,49.116444,-122.858777
67,357136,6283,131A ST,,,49.117209,-122.858345
68,357148,13052,64 AVE,,,49.118866,-122.860884
69,357152,13067,63A AVE,,,49.118250,-122.860567
70,357157,13050,63A AVE,,,49.117939,-122.861032
71,357177,13027,62 AVE,,,49.115617,-122.861541
72,357184,6288,130B ST,,,49.117034,-122.860068
73,357193,6058,128 ST,,,49.112872,-122.867570
74,357198,13134,64 AVE,,,49.118861,-122.858571
75,357200,13016,64 AVE,,,49.118894,-122.861820
76,357201,13193,60 AVE,,,49.112067,-122.856989
77,365265,7959,127 ST,,,49.147489,-122.871006
78,365268,7664,126A ST,,,49.142130,-122.871942
79,365274,7944,127 ST,,,49.147146,-122.870568
80,365276,7933,127 ST,,,49.146985,-122.871009
81,365277,7936,127 ST,,,49.146978,-122.870569
82,365279,7923,127 ST,,,49.146817,-122.871010
83,365280,7928,127 ST,,,49.146810,-122.870569
84,365284,7710,126A ST,,,49.142961,-122.871950
85,365287,7719,127 ST,,,49.143122,-122.871038
86,365289,7727,127 ST,,,49.143288,-122.871039
87,365294,7875,127 ST,,,49.145976,-122.871013
88,365296,7865,127 ST,,,49.145808,-122.871014
89,365297,7866,127 ST,,,49.145802,-122.870574
90,365299,7855,127 ST,,,49.145640,-122.871015
91,361856,6836,CLEVEDON DR,,,49.127097,-122.860774
92,361857,6834,CLEVEDON DR,,,49.127107,-122.861033
93,361858,6846,130 ST,,,49.127346,-122.861963
94,361860,13015,68 AVE,,,49.126653,-122.861922
95,338625,12483,PINEWOOD CR,,,49.181522,-122.876527
96,338629,12473,PINEWOOD CR,,,49.181823,-122.876865
97,338630,12515,96 AVE,,,49.177334,-122.876017
98,338636,12479,96 AVE,,,49.177334,-122.877064
99,338638,12469,96 AVE,,,49.177334,-122.877325
100,338642,12439,96 AVE,,,49.177334,-122.878110
101,338644,12533,PINEWOOD CR,,,49.181026,-122.875329
102,338651,12562,GROVE CR,,,49.181498,-122.874500
103,338658,12610,99 AVE,,,49.182130,-122.873014
104,338661,12600,GROVE CR,,,49.181451,-122.873394
105,338662,9639,128 ST,,,49.177866,-122.868183
106,338664,12658,100 AVE,,,49.184313,-122.871580
107,338668,9991,125 ST,,,49.184341,-122.875559
108,339440,13272,98A AVE,,,49.181872,-122.854589
109,339443,13248,98A AVE,,,49.181823,-122.855442
110,339444,13232,98A AVE,,,49.182035,-122.855603
111,339446,9897,132A ST,,,49.182539,-122.855455
112,339448,9913,132A ST,,,49.182857,-122.855444
113,339450,9928,132 ST,,,49.183069,-122.856328
114,339455,9896,132 ST,,,49.182449,-122.856354
115,339461,13546,98A AVE,,,49.181370,-122.846984
116,339462,13431,98A AVE,,,49.181645,-122.850272
117,339807,9985,138A ST,,,49.183957,-122.838427
118,339810,13988,LAUREL DR,,,49.177550,-122.835009
119,339814,9611,140 ST,,,49.177209,-122.834824
120,339825,13683,97A AVE,,,49.179396,-122.843340
121,339834,9926,138 ST,,,49.182934,-122.839365
122,339841,9647,137 ST,,,49.177939,-122.843598
123,339857,9710,137 ST,,,49.179071,-122.843028
124,339861,13823,FRASER HWY,,,49.180899,-122.839458
125,339863,9700,137 ST,,,49.178914,-122.843051
126,339867,9692,137 ST,,,49.178743,-122.843073
127,339872,9671,137A ST,,,49.178430,-122.842263
128,339881,9711,137B ST,,,49.179092,-122.840948
129,339882,9699,137B ST,,,49.178928,-122.840957
130,339903,9891,140 ST,,,49.182331,-122.834529
131,339924,9610,139 ST,,,49.177395,-122.837201
132,339932,9935,138 ST,,,49.183115,-122.839773
133,339934,13977,LAUREL DR,,,49.177839,-122.835195
134,339943,9921,138 ST,,,49.182828,-122.839812
135,340531,10928,TIMBERLAND RD,,,49.201127,-122.890202
136,340543,11805,RIVER RD,,,49.186262,-122.895848
137,340544,11751,RIVER RD,,,49.185738,-122.897080
138,340547,11739,RIVER RD,,,49.185634,-122.897303
139,340548,11797,RIVER RD,,,49.186173,-122.896053
140,340549,10027,117 ST,,,49.184648,-122.898977
141,340550,11807,100 AVE,,,49.184638,-122.895472
142,340552,11733,RIVER RD,,,49.185559,-122.897542
143,340553,11785,RIVER RD,,,49.186084,-122.896259
144,340557,11725,RIVER RD,,,49.185495,-122.897775
145,340558,11777,RIVER RD,,,49.185996,-122.896464
146,340560,10011,117 ST,,,49.184669,-122.899443
147,340562,11719,RIVER RD,,,49.185429,-122.898000
148,340567,10056,117 ST,,,49.185468,-122.898341
149,340571,11695,RIVER RD,,,49.185217,-122.898781
150,340572,11671,RIVER RD,,,49.185162,-122.899324
151,340573,11665,RIVER RD,,,49.185131,-122.899586
152,340580,10012,117 ST,,,49.184631,-122.898328
153,340581,11819,RIVER RD,,,49.186480,-122.895265
154,340582,10107,120 ST,,,49.186405,-122.890323
155,340583,10109,120 ST,,,49.186405,-122.890326
156,340584,10089,120 ST,,,49.186071,-122.890705
157,340585,10091,120 ST,,,49.186071,-122.890705
158,341104,11897,97 AVE,,,49.179183,-122.893022
159,341107,11680,97 AVE,,,49.178905,-122.899001
160,341108,11920,96A AVE,,,49.178007,-122.892357
161,341114,9639,120 ST,,,49.177855,-122.890414
162,341118,11905,96A AVE,,,49.178296,-122.892810
163,341120,11623,96 AVE,,,49.177292,-122.900344
164,341121,11609,96 AVE,,,49.177263,-122.900748
165,341130,9780,118B ST,,,49.180499,-122.893260
166,341131,11737,96 AVE,,,49.177297,-122.897408
167,341133,11908,97 AVE,,,49.178907,-122.892639
168,341134,11918,97 AVE,,,49.178912,-122.892366
169,341135,11714,96A AVE,,,49.178002,-122.898073
170,341136,11938,97 AVE,,,49.178912,-122.891814
171,341137,9718,117B ST,,,49.179313,-122.896412
172,341141,11775,99 AVE,,,49.182819,-122.896244
173,341142,11815,97 AVE,,,49.179202,-122.895299
174,341143,11739,97 AVE,,,49.179199,-122.897366
175,341144,11751,97 AVE,,,49.179200,-122.897102
176,341147,11848,99 AVE,,,49.182524,-122.894308
177,341152,11670,99A AVE,,,49.183036,-122.899203
178,341163,11663,99A AVE,,,49.183418,-122.899634
179,363641,6666,HAMPTON BLVD E,,,49.124317,-122.871758
180,361450,13090,66A AVE,,,49.123144,-122.859642
181,361451,12891,64 AVE,,,49.119272,-122.865191
182,361453,12861,64 AVE,,,49.119290,-122.865914
183,361454,12851,64 AVE,,,49.119296,-122.866227
184,361455,12845,64 AVE,,,49.119299,-122.866488
185,361456,12831,64 AVE,,,49.119301,-122.866749
186,361461,6722,128 ST,,,49.125077,-122.867580
187,361477,13143,66A AVE,,,49.123390,-122.857943
188,361487,6721,132 ST,,,49.124937,-122.856873
189,361488,6713,132 ST,,,49.124768,-122.856871
190,361490,6667,132 ST,,,49.124079,-122.856860
191,361493,6643,132 ST,,,49.123563,-122.856853
192,361510,6790,128A ST,,,49.126184,-122.866826
193,361512,12846,68 AVE,,,49.126450,-122.866465
194,361526,12981,66 AVE,,,49.123052,-122.862671
195,361528,12957,66 AVE,,,49.123077,-122.863368
196,361536,12942,65A AVE,,,49.121510,-122.863776
197,361537,12958,65A AVE,,,49.121432,-122.863388
198,361538,12966,65A AVE,,,49.121447,-122.863158
199,361541,12967,65A AVE,,,49.121740,-122.863247
200,361544,12991,65A AVE,,,49.121731,-122.862467
201,361549,12968,66 AVE,,,49.122761,-122.862984
202,361551,6568,129A ST,,,49.122182,-122.863270
203,361554,6481,132 ST,,,49.120618,-122.856809
204,361577,13027,65 AVE,,,49.120928,-122.861394
205,361586,6457,130A ST,,,49.120123,-122.861157
206,361591,6454,130 ST,,,49.120149,-122.861928
207,361592,6446,130 ST,,,49.119978,-122.861927
208,361596,13025,64 AVE,,,49.119236,-122.861415
209,361598,13055,64 AVE,,,49.119227,-122.860593
210,361599,13063,64 AVE,,,49.119224,-122.860347
211,361600,13071,64 AVE,,,49.119222,-122.860100
212,361601,13079,64 AVE,,,49.119219,-122.859852
213,361615,6598,130 ST,,,49.122839,-122.861979
214,361618,6588,130 ST,,,49.122667,-122.861978
215,361620,13191,68A AVE,,,49.127226,-122.856954
216,361622,7072,131A ST,,,49.131400,-122.857950
217,361623,7048,130 ST,,,49.131013,-122.862003
218,361624,13160,ENGLISH PL,,,49.132666,-122.858080
219,361626,12987,HELSTON CR,,,49.128607,-122.862877
220,361627,13109,68 AVE,,,49.126566,-122.859293
221,361632,7080,131A ST,,,49.131563,-122.857950
222,360694,13216,66A AVE,,,49.123108,-122.855910
223,360695,6752,133 ST,,,49.125350,-122.854250
224,360698,13228,66A AVE,,,49.123084,-122.855758
225,360703,13208,66A AVE,,,49.123179,-122.855972
226,360707,13396,64A AVE,,,49.120024,-122.851430
227,360713,6766,133 ST,,,49.125602,-122.854210
228,360715,6494,134 ST,,,49.120656,-122.850777
229,360717,6443,135A ST,,,49.119963,-122.847164
230,360718,6775,133 ST,,,49.125719,-122.854738
231,360720,6776,133 ST,,,49.125714,-122.854252
232,360725,6433,135A ST,,,49.119825,-122.847175
233,360728,6788,133 ST,,,49.125732,-122.854381
234,360742,13266,68 AVE,,,49.126231,-122.854825
235,360743,13296,68 AVE,,,49.126230,-122.854037
236,360744,13268,65A AVE,,,49.120996,-122.854614
237,360749,13258,68 AVE,,,49.126235,-122.855075
238,360755,6442,135A ST,,,49.120003,-122.846750
239,360759,13490,68 AVE,,,49.126121,-122.848607
240,360761,13450,67 AVE,,,49.124101,-122.849682
241,360764,6769,135 ST,,,49.125749,-122.848590
242,360765,13245,67B AVE,,,49.125740,-122.855561
243,360767,13470,65A AVE,,,49.121002,-122.849094
244,360770,13248,67B AVE,,,49.125626,-122.855543
245,360774,13240,67B AVE,,,49.125535,-122.855639
246,360782,13232,67B AVE,,,49.125520,-122.855846
247,360787,13330,67A AVE,,,49.124523,-122.853015
248,360788,13547,66A AVE,,,49.123404,-122.847042
249,360790,13537,66A AVE,,,49.123404,-122.847292
250,360792,13469,66A AVE,,,49.123402,-122.849126
251,360794,13527,66A AVE,,,49.123403,-122.847542
252,360805,13470,68 AVE,,,49.126122,-122.849188
253,360811,6719,135B ST,,,49.124900,-122.846795
254,360823,13201,67 AVE,,,49.124675,-122.856331
255,360824,13549,67 AVE,,,49.124415,-122.847055
256,360825,13555,67 AVE,,,49.124415,-122.846850
257,360862,13287,65A AVE,,,49.121274,-122.854145
258,360867,6526,132A ST,,,49.121798,-122.855524
259,360871,6525,132A ST,,,49.121726,-122.855913
260,360873,13210,65B AVE,,,49.122060,-122.856052
261,360878,6608,133 ST,,,49.122859,-122.854260
262,360883,13392,68 AVE,,,49.126154,-122.851410
263,360890,13214,66B AVE,,,49.123769,-122.856290
