,ADDRESS,COLLECTION_DAY,COMPLEX_NAME,CRE_DATE,MOD_DATE,NO_OF_UNITS
0,12778-66 ave,Tuesday,Hathaway Village,,,98
1,12683-72 Ave,Tuesday,Unknown 2,,20131021,6
2,13886 62 Ave,Tuesday,Fusion,20161229,20161229,
3,7518-138 St,Tuesday,Greyhawk,,,69
4,1711-140 St,Monday,Oceanwood,,,31
5,9959-140 St,Thursday,Timberlane,,20131022,62
6,14453-72 Ave,Tuesday,Sequoia Green at Chnimney Height,,20131021,42
7,14888&14968-24 Ave,Monday,Meridian Park Estates & Meridian Pointe,,,92
8,2925 King George Blvd,Monday,Keystone,20121008,20121008,42
9,15068-58 Ave,Tuesday,Summer Ridge,,20130912,38
10,14955 - 60 Ave,Tuesday,Cambridge Park,20130912,20130912,58
11,2168-150A St,Monday,Southhampton Estates,,,15
12,15065-Panorama Drive,Tuesday,Springhill,,20130912,62
13,3363-Rosemary Heights Cr.,Monday,Rockwell,,,55
14,15237-36 Ave,Monday,Rosemary Walk,,,33
15,2955 156 St,Monday,Arista,20121008,20121008,65
16,15588 32 Ave,Monday,The Woods,20161229,20161229,
17,15918 Mountain View Dr,Monday,Wills Brook,20161229,20161229,
18,15288-36 Ave,Monday,Deer Run,,20131023,80
19,16128-86 Ave,Wednesday,Parc Seville Townhomes,,20131023,69
20,16155-82 Ave,Wednesday,Fleetwood Oaks,,,40
21,16318-82 Ave,Wednesday,Hazelwood Lane,,,89
22,8155-164 St,Wednesday,Sequoia Ridge Townhouses,,,32
23,16760-61 Ave,Friday,Harvest Landing,,20130912,64
24,6195-168 St,Friday,Poet's Trail,,20130912,39
25,16995-64 Ave,Friday,Lexington ,,,131
26,7780/7848 - 170 St,Friday,Vantage,20130912,20130912,96
27,7067-189 St,Friday,Claytonbrook,,,27
28,18983-72A Ave,Friday,KEW,,,97
29,19250-65 Ave,Friday,Sunberry Court,,,93
30,19330-69 Ave,Friday,Montebello,,,32
31,5811-122 St,Tuesday,Lakebridge Townhomes,,20130912,77
32,6211-Boundary Dr. W. & 6227/6287-Boundary Dr. W.,Tuesday,Lakewood Heights,,20131021,51
33,12110-75A Ave,Tuesday,Manadalay Village,,,96
34,12751-16 Ave,Monday,Court Yards of Ocean Park,,,32
35,9580-Prince Charles Boulevard,Wednesday,Brittany Lane,,20130912,27
36,6123 - 138 St,Tuesday,Panorama Woods,20130912,20130912,91
37,13713-72A Ave & 13706-74 Ave,Tuesday,Ashlea Gate,,,74
38,13918-58 Ave,Tuesday,Alder Park ,,,74
39,13900-Hyland Grove,Tuesday,Hyland Grove ,,,73
40,7251 - 7349 - 140 St,Tuesday,Newton Park,20121012,20131021,71
41,10265 - 141 St,Thursday,Grand Heights,20130912,20130912,21
42,14271-18A Ave,Monday,Ocean Bluff Court,,20131023,28
43,7250-144 St,Tuesday,Chimney Ridge,,20130912,62
