,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
1,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
2,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
3,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
4,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
5,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
6,,,,,,,,,Park/Open Space,,Crescent Beach,Approved,Local Area Plan,1999
7,,,,,,,,,Park/Open Space,,Crescent Beach,Approved,Local Area Plan,1999
8,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
9,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
10,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
11,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
12,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
13,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
14,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
15,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
16,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
17,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
18,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
19,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
20,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
21,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
22,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
23,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
24,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
25,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
26,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
27,,,,,,,,,Village Commercial,,Crescent Beach,Approved,Local Area Plan,1999
28,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
29,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
30,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
31,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
32,,,,,,,,,Village Commercial,,Crescent Beach,Approved,Local Area Plan,1999
33,,,,,,,,,Village Commercial,,Crescent Beach,Approved,Local Area Plan,1999
34,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
35,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
36,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
37,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
38,,,,,,,,,Conservation,,Crescent Beach,Approved,Local Area Plan,1999
39,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
40,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
41,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
42,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
43,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
44,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
45,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
46,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
47,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
48,,,,,,,,,Park/Open Space,,Crescent Beach,Approved,Local Area Plan,1999
49,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
50,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
51,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
52,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
53,,,,,,,,,Park/Open Space,,Crescent Beach,Approved,Local Area Plan,1999
54,,,,,,,,,Park/Open Space,,Crescent Beach,Approved,Local Area Plan,1999
55,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
56,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
57,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
58,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
59,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
60,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
61,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
62,,,,,,,,,Park/Open Space,,Crescent Beach,Approved,Local Area Plan,1999
63,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
64,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
65,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
66,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
67,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
68,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
69,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
70,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
71,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
72,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
73,,,,,,,,,Park/Open Space,,Crescent Beach,Approved,Local Area Plan,1999
74,,,,,,,,,Institutional,,Crescent Beach,Approved,Local Area Plan,1999
75,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
76,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
77,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
78,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
79,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
80,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
81,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
82,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
83,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
84,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
85,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
