,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,CURB_TYPE,CURB_TYPE2,FACILITYID,GIS_ENTRY_STAGE,LEGACYID,LIFECYCLE_COST,LOCATION,MATERIAL,MOD_DATE,OWNER,PROFILE,PROJECT_NO,STATUS,WARRANTYDATE,YR,YTD_COST
0,,,,20160105,3,Pavement Edge,1001852035,,,,,Asphalt,20160105,Private,,,In Service,,,
1,,,,20160105,3,Pavement Edge,1001852034,,,,,Asphalt,20160105,Private,,,In Service,,,
2,,,,20160105,3,Pavement Edge,1001852114,Final AB,,,,Asphalt,20160105,Provincial,,SFPR Seg. 5,In Service,,2014,
3,,,,20160105,0,Barrier,1001851979,Final AB,1001851978,0,,Concrete,20160105,Surrey,,SFPR Seg. 5,In Service,,2014,0
4,Digitized Via 2013 Air Photo,,,20130620,3,Pavement Edge,1001603188,,,,,Asphalt,20150525,Surrey,,,In Service,,,
5,Temporary,,,20131205,0,Extruded,1001563015,Initial AB,,,,Asphalt,20131205,Surrey,,7807-0190-00,In Service,,2013,
6,,,,20130114,0,Extruded,1001563006,Initial AB,,,,Asphalt,20150728,Surrey,,7811-0132-00,In Service,,2015,
7,,,,20160106,3,Pavement Edge,1001852321,Final AB,,,,Asphalt,20160106,Provincial,,SFPR Seg. 6,In Service,,2014,
8,,,,20160106,3,Pavement Edge,1001852337,Final AB,1001852312,0,,Asphalt,20160107,Provincial,,SFPR Seg. 6,In Service,,2014,0
9,,,,20160114,0,Barrier,1001853838,,,,,Concrete,,Surrey,,,In Service,,,
10,Digitized Via 2013 Air Photo,,,20130620,0,Barrier,1001603210,,,,,Concrete,20130808,Surrey,,,In Service,,,
11,,,,20160114,0,Barrier,1001853828,,,,,Concrete,20160114,Private,,,In Service,,,
12,,,,20160115,0,Barrier,1001853869,Final AB,,,,Concrete,20160115,Surrey,,SFPR Seg. 6,In Service,,2014,
13,,,,20160115,3,Pavement Edge,1001853893,Final AB,1001853892,0,,Concrete,20160115,Surrey,,SFPR Seg. 6,In Service,,2014,0
14,,,,20160115,0,Barrier,1001853892,Final AB,,,,Concrete,20160115,Surrey,,SFPR Seg. 6,In Service,,2014,
