,PLAN_NO,PLAN_TYPE,YR
0,10002,Subdivision,1948
1,100041E,Title,1932
2,10007,Reference Plan,1946
3,10020,Explanatory,1946
4,10028,Subdivision,1948
5,10033,Explanatory,1946
6,10040,Explanatory,1946
7,10052,Explanatory,1946
8,10058,Reference Plan,1946
9,1006,Subdivision,1907
10,1006,Subdivision,1907
11,10067,Reference Plan,1946
12,10067,Subdivision,1948
13,10070,Subdivision,1948
14,10071,Subdivision,1948
15,10071,Subdivision,1948
16,10089,Explanatory,1948
17,10110,Subdivision,1948
18,10114,Explanatory,1946
19,10132,Subdivision,1948
20,10132,Subdivision,1948
21,10140,Subdivision,1948
22,10143,Reference Plan,1946
23,10161,Reference Plan,1946
24,10162,Explanatory,1946
25,10178,Subdivision,1948
26,10178,Subdivision,1948
27,10181,Subdivision,1948
28,10194,Subdivision,1948
29,101962E,Title,1984
30,1020,Subdivision,1907
31,1020,Subdivision,1907
32,10207,Reference Plan,1946
33,10208,Subdivision,1948
34,10208,Subdivision,1948
35,10209,Subdivision,1948
36,10212,Subdivision,1948
37,10212,Subdivision,1948
38,10227,Explanatory,1946
39,10231,Subdivision,1948
40,10244,Subdivision,1948
41,10244,Subdivision,1948
42,10249,Subdivision,1948
43,10250,Subdivision,1948
44,10250,Subdivision,1948
45,10256,Subdivision,1948
46,10256,Subdivision,1948
47,10256,Subdivision,1948
48,10263,Subdivision,1948
49,10263,Subdivision,1948
50,10270,Subdivision,1948
51,10274,Subdivision,1948
52,10276,Subdivision,1948
53,10278,Subdivision,1948
54,10286,Reference Plan,1946
55,10292,Subdivision,1948
56,10298,Reference Plan,1947
57,10319,Explanatory,1946
58,10320,Subdivision,1948
59,10320,Subdivision,1948
60,10324,Subdivision,1948
61,10331,Explanatory,1947
62,10339,Subdivision,1948
63,10345,Explanatory,1947
64,10356,Explanatory,1947
65,10357,Explanatory,1947
66,10360,Explanatory,1947
67,10367,Subdivision,1948
68,10372,Subdivision,1948
69,10377,Subdivision,1948
70,10377,Subdivision,1948
71,10384,Subdivision,1948
72,10392,Subdivision,1948
73,10432,Explanatory,1947
74,10434,Explanatory,1946
75,10438,Explanatory,1947
76,10449,Explanatory,1947
77,10450,Subdivision,1948
78,10453,Subdivision,1948
79,10458,Subdivision,1948
80,10458,Subdivision,1948
81,10460,Subdivision,1948
82,10484,Subdivision,1948
83,10489,Subdivision,1948
84,10490,Subdivision,1948
85,10494,Subdivision,1948
