,AMANDA_ROWID,DESCRIPTION,PROJECT_NO,STATUS,WEBLINK
0,2,To create 2 RF lots.,97-0002-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0002
1,5,subdivide into 2 lots,97-0003-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0003
2,8,"To rezone from RA to CHI to eliminate the split-zoning of the site. Development Permit to permit construction of a 6,036 sq.ft building for boat repair. Variance to relax the sideyard setback.",97-0005-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0005
3,10,Rezone  from RF to CD in order to facilitate the construction of a house that is 206 sq.ft larger than what is permitted under the RF zone,97-0006-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0006
4,15,rezoning to permit a body shop in an existing building ,97-0008-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0008
5,29,To subdivide into 5 lots,97-0014-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0014
6,36,"To amend exisiting DP (89-0602-00) to allow the development of a 13,430 sq.ft two-storey retail/office building (building C)",97-0013-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0013
7,37,To rezone from CD to CD in order to permit one licensed secondary suite,97-0016-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0016
8,52,"In order to retain the Latimer residence as a second dwelling on the property, in 
accordance with the Heritage Revitalization Agreement",97-0017-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0017
9,54,Relax pavement widths,97-0018-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0018
10,55,"To amend LUC 227 to increase the maximum allowable floor area from 1,700 sq.ft to 2,478 sq.ft to raise an existing single family dwelling and add a second storey.",97-0019-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0019
11,56,To rezone to RF to allow development of 5 Single Family lots,97-0020-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0020
12,60,To operate a used car lot or car rental business with a detail shop to clean the cars & detail them,97-0021-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0021
13,62,To broaden the use base for future leased tenants,97-0023-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0023
14,65,rezone to from CHI to CD to permit a pharmaceutical & optical dispensary,97-0024-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0024
15,72,To rezone from RA to RH to create 5 half-acre residential lots.,97-0026-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0026
16,75,To rezone from RA to RH to subdivide into approx 4 lots and vary the side yard setback on proposed Lot 4.,97-0027-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0027
17,79,"An additional property (18655 - 52 Avenue) was added to this application on March 17, 2004.  The new owner is proposing to subdivide the site consisting of two lots into a total of four lots.SEE SUB FOLDER DESCRIPTION OR FILE",97-0028-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0028
18,80,"To replace existing wood fascia with stucco material, install a separate door at the north side of building to facilitate access to the proposed theatre, and proposed signage incorporated within the gable canopy that leads to the theatre area.",97-0029-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0029
19,87,Development Permit application for approx. 3000 sq. ft. addition to Cantel Vanaxe II Warehouse in order to accomodate hoods for switchroom expansion.,97-0033-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0033
20,89,to relax the sideyard setbacks,97-0035-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0035
21,90,To rezone and subdivide into 20 single family lots (RF),97-0036-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0036
22,91,Subdivide into 2 lots,97-0037-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0037
23,99,To rezone from  A-1 to CD to construct an independent  500-student high school.,97-0039-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0039
24,101,To subdivide into 2 RF lots ,97-0040-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0040
25,102,To rezone to CD to allow for the retail sale of produce and dry foods brought onto the site in bulk quanitities and repackaged on site or sold from bulk containers.,97-0041-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0041
26,103,to construct two warehouse/office buildings ,97-0042-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0042
27,106,To build a 3520 sq ft home in addition to a 830 sq ft existing workshop on this property,97-0034-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0034
28,107,To adjust lot lines between two parcels and to rezone the vacant lot to permit the construction of a duplex,97-0043-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0043
29,111,To rezone from RA to IL to allow construction of an industrial/office building and vary the rear yard setback.,97-0046-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0046
30,114,To allow construction of of seven-storey hotel containing 85 rooms. ,97-0048-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0048
31,122,To permit development of a mixed use industrial/commercial complex,97-0049-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0049
32,123,"To construct a 66 unit, four storey wood frame residential building with underground parking and vary the building footprint.",97-0050-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0050
33,129,"To renovate and expand an existing maintenance building, and construct a used truck sales building to accommodate a new and ussed commercila truck dealership and truck service facility in Port Kells.",97-0052-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0052
34,130,Rezone from CH and RF(R) to CHI to facilitate the development of a McDonald's drive-through restaurant,97-0053-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0053
35,133,To rezone to RM-10 & RF to create 35 multi-family units and subdivision of one single family lot and vary the south and west yard setbacks.,97-0051-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0051
36,134,to develop approximately 13 single family residential lots,97-0054-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0054
37,135,Rezone from RF and RA to RM-15 and vary parking requirements,97-0055-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0055
38,144,"to relax the road widening, curb, gutter, sidewalk and streetlight required under the Works & Services provision of the Subdivision Bylaw",97-0057-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0057
39,147,"To rezone from CD to CD to allow development of a 33-unit, three-storey apartment building.",97-0058-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0058
40,158,To construct 70 unit townhouse project and vary the setbacks and allow for tandem parking.,97-0060-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0060
41,159,"To develop 25 single family lots
Change in scope - see new file 98-0267-00",97-0061-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0061
42,162,To create a townhouse site and 6 single family lots.,97-0062-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0062
43,164,Subdivide into 3 single family lots,97-0063-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0063
44,165,to rezone to CD to permit a wider range of uses in the light industrial park currently under construction,97-0064-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0064
45,169,To develop an industrial building to accommodate a kayak paddle assembly and repackaging enterprise.,97-0065-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0065
46,172,To rezone to CD in order to develop 25 compact lots.  Approx. 100 multi-family units will follow under future phase. This is a change in scope from original application.,97-0067-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0067
47,177,"To rezone from CD(BL12720) to CD in order to allow construction of a 2,811 sq.m (30,258 sq.ft) building",97-0068-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=97&seq=0068
48,1667,,87-0522-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=87&seq=0522
49,2383,,88-0587-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=88&seq=0587
50,2473,,89-0002-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0002
51,2474,,89-0003-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0003
52,2475,,89-0004-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0004
53,2476,,89-0005-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0005
54,2477,,89-0006-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0006
55,2478,,89-0007-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0007
56,2479,,89-0008-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0008
57,2480,,89-0009-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0009
58,2481,,89-0010-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0010
