,ANCILLARYROLE,ENABLED,DETENTION_POND_TYPE,DETENTION_POND_TYPE2,FACILITYID,LEGACYID,NODE_NO,LIVE_STORAGE_CAPACITY,MAX_STORAGE_DEPTH,PEAK_DISCHARGE,STATUS,OPERATING_STATUS,YR,OWNER,PROJECT_NO,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,LAST_INSP_DATE,OPS_POND_TYPE,SPILLWAY,FENCE,CRE_DATE,MOD_DATE,LEGACY_POND_NO,LEGACY_DETAIL_REPORT,Latitude,Longitude
0,,1,1,Above Ground Private,1000429559,229304,1384607025,,,,In Service,Open,1987,Private,7885-2890,,,Final AB,,,,,,,,20060629,20101026,0455,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0455.pdf,49.130135,-122.838312
1,,1,3,Below Ground Private,1001147375,,1955206125,,,,In Service,Open,2009,Private,7806-0377-00,,BRENTWOOD RAINWATER CHAMBER,Final AB,,,,,,,,20100121,20101026,,,49.113506,-122.681076
2,,1,2,Below Ground Municipal,1001408235,,1420808939,,,,In Service,Open,1988,Surrey,7886-0225-00,,1050 RCP,Final AB,,,,,,,,20120416,20140514,1061,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/1061.pdf,49.164740,-122.828205
3,,0,2,Below Ground Municipal,1000429393,370751,1397705663,,,,Abandoned,Closed,2000,Surrey,7893-0479-00,,,Final AB,,,,,,,,20031125,20100913,,,49.105468,-122.834763
4,,0,2,Below Ground Municipal,1001172253,1000429393,1397805665,,,,Abandoned,Closed,2000,Surrey,7893-0479-00,,,Final AB,,,,,,,,20100913,20100913,,,49.105504,-122.834735
5,,1,0,Above Ground Municipal,1001180801,,1604402718,,,,In Service,Open,2010,Surrey,7805-0126-00,,,Final AB,,,,,,,,20101105,20101105,,,49.052083,-122.778046
6,,1,1,Above Ground Private,1001155352,,1689606604,,,,In Service,Open,2010,Private,7802-0040-00,,,Final AB,,,,,,,,20100414,20100414,,,49.122354,-122.754232
7,,1,1,Above Ground Private,1001148374,,1837209790,,3368,0.284,In Service,Open,2009,Translink,1R03,,,Final AB,,,,,,,,20100128,20100128,,,49.179919,-122.713224
8,,1,0,Above Ground Municipal,1001180236,,1615502542,,,,In Service,Open,2010,Surrey,7805-0126-00,Morgan Heights,,Final AB,,,,,,,,20101103,20101103,,,49.048905,-122.774991
9,,1,0,Above Ground Municipal,1001180237,,1616102596,,,,In Service,Open,2010,Surrey,7805-0126-00,Morgan Heights,,Final AB,,,,,,,,20101103,20101103,,,49.049881,-122.774842
10,,1,3,Below Ground Private,1001217188,,1310710847,,18.4,,In Service,Open,2011,Private,7807-0227-00,,600 Conc,Final AB,,,,,,,,20111027,20111027,,,49.199314,-122.858492
11,,1,0,Above Ground Municipal,1000429331,246157,1204306038,,,,In Service,Open,1988,Surrey,7883-077,,,Final AB,,,,,,,,20060629,,0290,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0290.pdf,49.112324,-122.888049
12,,1,0,Above Ground Municipal,1000429342,108634,1378009406,,,,In Service,Open,1981,Surrey,A420,,,Final AB,,,,,,,,20060629,20140515,0651,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0651.pdf,49.173208,-122.839988
13,,1,0,Above Ground Municipal,1000429337,355526,1553301924,,,,In Service,Open,1984,Surrey,7883-038,,,Final AB,,,,,,,,20060629,,0050,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0050.pdf,49.037737,-122.792182
14,,1,0,Above Ground Municipal,1000429350,108643,1361209094,,,,In Service,Open,1990,Surrey,7887-0439-00,,,Final AB,,,,,,,,20060629,20140515,0650,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0650.pdf,49.167583,-122.844629
15,,1,0,Above Ground Municipal,1000429340,370784,1945502034,1000,,,In Service,Open,2006,Surrey,4805-6010-00,,,Final AB,,,,,,,,20060530,,no_id1p129,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/no_id1p129.pdf,49.039497,-122.684202
16,,1,0,Above Ground Municipal,1001408359,,1398508923,,,,In Service,Open,1980,Surrey,9404,,,Final AB,,,,,,,,20120417,20140515,1110,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/1110.pdf,49.164473,-122.834345
17,,1,0,Above Ground Municipal,1001408363,,1398408883,,,,In Service,Open,1980,Surrey,9404,,,Final AB,,,,,,,,20120417,20140515,1111,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/1111.pdf,49.163750,-122.834384
18,,1,2,Below Ground Municipal,1001843977,,1898003621,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180209,20180215,,,49.068238,-122.697105
19,,1,2,Below Ground Municipal,1001843981,,1899003681,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180215,,,49.069331,-122.696825
20,,1,2,Below Ground Municipal,1001843982,,1899103681,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180215,,,49.069331,-122.696798
21,,1,2,Below Ground Municipal,1001843983,,1897903728,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180215,,,49.070179,-122.697121
22,,1,3,Below Ground Private,1001719478,,1581408064,,,,In Service,Open,2013,Private,7812-0141-00,,,Final AB,,,,,,,,20131121,20160128,,,49.148834,-122.783950
23,,1,3,Below Ground Private,1001719480,,1580408065,,,,In Service,Open,2013,Private,7812-0141-00,,,Final AB,,,,,,,,20131121,20160128,,,49.148861,-122.784235
24,,1,1,Above Ground Private,1001861523,,1756010389,,,,In Service,Open,2013,Provincial,SFPR Seg. F1,SE Corner 104 Ave & 176 St,,Final AB,,,,,,,,20160224,20160224,,,49.190820,-122.735560
25,,1,1,Above Ground Private,1001872467,,1536310835,,,,In Service,Open,2015,Surrey,Gateway E1,,,Final AB,,,,,,,,20160422,20160422,,,49.199001,-122.796200
26,,1,0,Above Ground Municipal,1000429424,38674,1580710569,,,,In Service,Open,1987,Surrey,7887-3361-00,,,Final AB,,,,,,,,20060629,20160426,0646,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0646.pdf,49.194173,-122.783956
27,,1,2,Below Ground Municipal,1001816252,,1910103473,,,,In Service,Open,2015,Surrey,7812-0159-00,,,Final AB,,,,,,,,20160704,20160704,,,49.065550,-122.693793
28,,1,2,Below Ground Municipal,1001816251,,1910003473,,,,In Service,Open,2015,Surrey,7812-0159-00,,,Final AB,,,,,,,,20160704,20160704,,,49.065549,-122.693821
29,,1,2,Below Ground Municipal,1001843984,,1898003728,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180215,,,49.070179,-122.697093
30,,1,2,Below Ground Municipal,1001843988,,1898803768,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180215,,,49.070908,-122.696882
31,,1,2,Below Ground Municipal,1001843994,,1900103766,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180215,,,49.070868,-122.696509
32,,1,2,Below Ground Municipal,1001843993,,1900103767,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180215,,,49.070883,-122.696525
33,,1,2,Below Ground Municipal,1001843989,,1899503761,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180215,,,49.070775,-122.696691
34,,1,2,Below Ground Municipal,1001843990,,1899503760,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180215,,,49.070764,-122.696667
35,,1,2,Below Ground Municipal,1001843991,,1899303775,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180215,,,49.071027,-122.696737
36,,1,2,Below Ground Municipal,1001843992,,1899303774,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180215,,,49.071013,-122.696721
37,,1,2,Below Ground Municipal,1001843995,,1902603783,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180215,,,49.071168,-122.695829
38,,1,2,Below Ground Municipal,1001843996,,1902603782,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180215,,,49.071150,-122.695829
39,,1,2,Below Ground Municipal,1001843999,,1902603771,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180215,,,49.070952,-122.695826
40,,1,2,Below Ground Municipal,1001843998,,1902603772,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180215,,,49.070971,-122.695826
41,,1,2,Below Ground Municipal,1001844001,,1907103783,,,,In Service,Open,2017,Surrey,7814-0294-00,2017,,Initial AB,,,,,,,,20180213,20180215,,,49.071175,-122.694581
42,,1,1,Above Ground Private,1001408138,,1864806020,,,,,,,Surrey,,,,,,,,,,,,20120416,,0095,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0095.pdf,49.111680,-122.705990
43,,1,1,Above Ground Private,1001408431,,1218708173,,,,,,,Surrey,,,,,,,,,,,,20120417,,0976,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0976.pdf,49.150964,-122.884008
44,,1,0,Above Ground Municipal,1000429507,370746,1391703594,1000,,,In Service,Open,2002,Surrey,4898-3170-00,,,Final AB,,,,,,,,20030211,,no_id1p102,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/no_id1p102.pdf,49.068047,-122.836538
45,,1,0,Above Ground Municipal,1000429461,370744,1591603759,,,,In Service,Open,1996,Surrey,7899-0248-00,,,Final AB,,,,,,,,20021016,20111115,no_id1p104,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/no_id1p104.pdf,49.070942,-122.781487
46,,1,1,Above Ground Private,1001408089,,1812501995,,,,,,,Surrey,,,,,,,,,,,,20120413,,no_id1p127,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/no_id1p127.pdf,49.038884,-122.720812
47,,1,1,Above Ground Private,1001408066,,1767300075,,,,In Service,,,Surrey,,,,,,,,,,,,20120413,20120413,no_id1p147,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/no_id1p147.pdf,49.004166,-122.733438
48,,1,0,Above Ground Municipal,1000429374,370752,1660308318,,,,In Service,Open,2000,Surrey,7893-0064-00,,,Final AB,,,,,,,,20040119,,no_id1p45,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/no_id1p45.pdf,49.153384,-122.762166
49,,1,0,Above Ground Municipal,1001408495,,1702508786,,,,,,,Surrey,,,,,,,,,,,,20120417,,no_id1p46,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/no_id1p46.pdf,49.161829,-122.750475
