,CHAINAGE_FROM,CHAINAGE_TO,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,FACILITYID,FLOOD_CONTROL_TYPE,FLOOD_CONTROL_TYPE2,GIS_ENTRY_STAGE,LEGACYID,LIFECYCLE_COST,LOCATION,MAINTAINED_BY,MATERIAL,MINIMUM_ELEVATION,MOD_DATE,NAME,OWNER,PROJECT_NO,PROTECTION_AREA,STATUS,WARRANTYDATE,YR,YTD_COST
0,,,,,,20140922,1001718235,3,Groyne,Final AB,,,Crescent Beach - Sullivan St to Maple St,Surrey,Concrete,,20140922,Groyne 13,Surrey,4812-3250-00,,In Service,,2014,
1,,,,,,20140922,1001718231,3,Groyne,Final AB,,,Crescent Beach - Sullivan St to Maple St,Surrey,Concrete,,20140922,Groyne 15,Surrey,4812-3250-00,,In Service,,2014,
2,,,,,,20140922,1001718237,3,Groyne,Final AB,,,Crescent Beach - Sullivan St to Maple St,Surrey,Concrete,,20140922,Groyne 12,Surrey,4812-3250-00,,In Service,,2014,
3,,,,,,20140922,1001787454,3,Groyne,Final AB,,,Crescent Beach - Wickson Rd to Target St,Surrey,,,20140922,Groyne 2,Surrey,4812-3250-00,,In Service,,2014,
4,,,,,,20140922,1001718229,3,Groyne,Final AB,,,Crescent Beach - Sullivan St to Maple St,Surrey,Concrete,,20140922,Groyne 16,Surrey,4812-3250-00,,In Service,,2014,
5,,,,,,20140922,1001787461,3,Groyne,Final AB,,,Crescent Beach - Wickson Rd to Target St,Surrey,,,20140922,Groyne 9,Surrey,4812-3250-00,,In Service,,2014,
6,,,,,,20140922,1001787456,3,Groyne,Final AB,,,Crescent Beach - Wickson Rd to Target St,Surrey,,,20140922,Groyne 4,Surrey,4812-3250-00,,In Service,,2014,
7,,,,,,20160209,1001858189,0,Retaining Wall,Final AB,,,Lower Serpentine,Surrey,Lock Block,,20160209,,Surrey,4800-4040-00,,In Service,,2009,
8,,,,,,20160209,1001858186,0,Retaining Wall,,,,Anderson Creek,Surrey,Lock Block,,20160209,,Surrey,7803-0210-00,,In Service,,2008,
9,,,,,,20160209,1001858184,0,Retaining Wall,Final AB,,,,Surrey,Galvanized Steel,,20160209,,Surrey,4800-5060-00,,In Service,,2010,
10,,,,,,20160209,1001858172,0,Retaining Wall,Final AB,,,,Surrey,Lock Block,,20160209,,Surrey,4804-3200-00,,In Service,,2006,
11,,,,,,20160209,1001858191,4,Retaining Wall,Final AB,,,Eugene Creek,Surrey,Galvanized Steel,,20160209,,Surrey,4800-5060-00,,In Service,,2010,
12,,,,,,20160209,1001858194,4,Retaining Wall,Final AB,,,,Surrey,Lock Block,,20160209,,Surrey,4811-1120-00,,In Service,,2011,
13,,,,,,20160209,1001858192,4,Retaining Wall,Final AB,,,,Surrey,Lock Block,,20160209,,Surrey,4811-1120-00,,In Service,,2011,
14,,,,,,20160209,1001858201,4,Retaining Wall,Final AB,,,Robson Crk,Surrey,,,20160209,,Surrey,4800-3050-00,,In Service,,2007,
15,,,,,,20160209,1001858200,4,Retaining Wall,Final AB,,,Robson Crk,Surrey,Lock Block,,20160209,,Surrey,4800-3050-00,,In Service,,2007,
16,,,,,,20160209,1001858199,4,Retaining Wall,Final AB,,,Robson Crk,Surrey,Lock Block,,20160209,,Surrey,4800-3050-00,,In Service,,2007,
17,,,,,,20160209,1001858198,4,Retaining Wall,Final AB,,,Terasen Gas R/W - 84 Ave @ 180 St,Surrey,Concrete,,20160209,,Surrey,4898-4170-00,,In Service,,2008,
18,,,,,,20160209,1001858197,4,Retaining Wall,Final AB,,,Terasen Gas R/W - 84 Ave @ 180 St,Surrey,Concrete,,20160209,,Surrey,4898-4170-00,,In Service,,2008,
19,,,,,,20160209,1001858203,4,Retaining Wall,Final AB,,,Guildford Brook,Surrey,Lock Block,,20160209,,Surrey,4802-3140-00,,In Service,,2007,
20,,,,,,20160209,1001858202,4,Retaining Wall,Final AB,,,Guildford Brook,Surrey,Lock Block,,20160209,,Surrey,4802-3140-00,,In Service,,2007,
