,CATCHMENT_TYPE,CATCHMENT_TYPE_2,COMMENTS,CRE_DATE,MOD_DATE,NAME
0,0,Major Catchments,South Rainfall Area,,20111202,Semiahmoo Bay
1,0,Major Catchments,North Rainfall Area,,20101102,124th Street
2,0,Major Catchments,North Rainfall Area,,20101102,Bolivar
3,0,Major Catchments,Central Rainfall Area,,20111201,Elgin
4,0,Major Catchments,North Rainfall Area,,20101102,Upper Serpentine
5,0,Major Catchments,Central Rainfall Area,,20111202,Unwin
6,0,Major Catchments,North Rainfall Area,,20101102,164th Street
7,0,Major Catchments,North Rainfall Area,,20101102,Manson
8,0,Major Catchments,Central Rainfall Area,,20101102,Chantrel
9,0,Major Catchments,North Rainfall Area,,20101102,Cruikshank/Mahood
10,0,Major Catchments,North Rainfall Area,,20101102,Old Yale
11,0,Major Catchments,North Rainfall Area,,20101102,Lower Bear
12,0,Major Catchments,North Rainfall Area,,20101102,East Fleetwood
13,0,Major Catchments,North Rainfall Area,,20101102,Bedford
14,0,Major Catchments,North Rainfall Area,,20101102,N. West Cloverdale
15,0,Major Catchments,North Rainfall Area,,20101102,Upper Serpentine
16,0,Major Catchments,North Rainfall Area,,20101102,Fraser Heights
17,0,Major Catchments,North Rainfall Area,,20111202,McLellan
18,0,Major Catchments,North Rainfall Area,,20101102,Latimer
19,0,Major Catchments,North Rainfall Area,,20101102,Port Kells
20,0,Major Catchments,North Rainfall Area,,20101102,Manson
21,0,Major Catchments,Central Rainfall Area,,20101102,Panorama West
22,0,Major Catchments,North Rainfall Area,,20101102,128th Street
23,0,Major Catchments,Central Rainfall Area,,20111201,Old Logging
24,0,Major Catchments,Central Rainfall Area,,20101102,Inter-River North
25,0,Major Catchments,Central Rainfall Area,,20101102,Hook Brook
26,0,Major Catchments,North Rainfall Area,,20101102,Upper Serpentine
27,0,Major Catchments,North Rainfall Area,,20101102,Upper Serpentine
28,0,Major Catchments,South Rainfall Area,20111013,20160526,Campbell
29,0,Major Catchments,North Rainfall Area,,20101102,West Cloverdale
30,0,Major Catchments,North Rainfall Area,,20101102,Quibble Creek
31,0,Major Catchments,North Rainfall Area,,20101102,North Tributaries
32,0,Major Catchments,North Rainfall Area,,20140422,BonAccord
33,0,Major Catchments,North Rainfall Area,20111006,20111006,Cloverdale
34,0,Major Catchments,North Rainfall Area,,20111202,East Cloverdale
35,0,Major Catchments,Central Rainfall Area,,20101102,Mud Bay
36,0,Major Catchments,North Rainfall Area,,20101102,Cruikshank/Mahood
37,0,Major Catchments,North Rainfall Area,,20101102,Manson
38,0,Major Catchments,North Rainfall Area,,20130726,Pattullo
39,0,Major Catchments,South Rainfall Area,20111201,20160526,McNally
40,0,Major Catchments,North Rainfall Area,,20101102,Clayton
41,0,Major Catchments,North Rainfall Area,,20101102,Manson
42,0,Major Catchments,Central Rainfall Area,,20111202,Crescent Beach
43,0,Major Catchments,Central Rainfall Area,,20101102,Eugene
44,0,Major Catchments,Central Rainfall Area,,20160429,Cougar
45,0,Major Catchments,North Rainfall Area,,20101102,Royal City
46,0,Major Catchments,South Rainfall Area,,20160526,Fergus
47,0,Major Catchments,Central Rainfall Area,,20101102,Inter-River South
48,0,Major Catchments,North Rainfall Area,,20140422,157th Street
49,0,Major Catchments,North Rainfall Area,,20101102,Greenway
50,0,Major Catchments,North Rainfall Area,,20101102,Big Bend
51,0,Major Catchments,Central Rainfall Area,,20160429,Boundary Park
52,0,Major Catchments,Central Rainfall Area,,20101102,Panorama
53,0,Major Catchments,North Rainfall Area,,20101102,137A Street
54,0,Major Catchments,North Rainfall Area,,20101102,Middle Serpentine
55,0,Major Catchments,Central Rainfall Area,,20111202,Erickson
56,0,Major Catchments,North Rainfall Area,,20101102,Sunrise
57,0,Major Catchments,Central Rainfall Area,,20101102,Hyland
58,0,Major Catchments,North Rainfall Area,,20101102,Grenville
59,0,Major Catchments,North Rainfall Area,,20101102,South Tributaries
60,0,Major Catchments,Central Rainfall Area,,20101102,Gray Creek
61,0,Major Catchments,North Rainfall Area,,20101102,Upper Serpentine
62,0,Major Catchments,Central Rainfall Area,,20170523,Burrow's
63,0,Major Catchments,North Rainfall Area,,20101102,Upper Serpentine
64,0,Major Catchments,North Rainfall Area,,20101102,160th Street
