,ARDSA_DITCH,CHANNEL_TYPE,CHANNEL_TYPE2,COMMENTS,CRE_DATE,DOWN_ELEVATION,ENABLED,FACILITYID,GIS_ENTRY_STAGE,LEGACYID,MOD_DATE,NAME,OWNER,PROJECT_NO,SENSITIVITY,SLOPE,STATUS,UP_ELEVATION,YR
0,,0,Creek,Updated to SHIM 2009,20120522,,1,1001413638,,1000778914,20120629,Shadow Brk,Surrey,,A,0,In Service,,
1,,1,Ditch,,20060629,,1,1000778925,,408202,20100401,,Surrey,,C,0,In Service,,
2,,1,Ditch,Updated to SHIM 2009,20060629,,1,1000778923,Final AB,408200,20120629,,Surrey,R-0516,A,0,In Service,,
3,,1,Ditch,,20060629,,1,1000778927,,408204,20120522,,Surrey,,C,0,In Service,,
4,,0,Creek,Updated to SHIM 2009,20120522,,1,1001413642,,1000771166,20120629,Armstrong Crk,Surrey,,B,0,In Service,,
5,,0,Creek,Updated to SHIM 2009,20120522,,1,1001413641,,1001413639,20120629,Armstrong Crk,Surrey,,B,0,In Service,,
6,,1,Ditch,,20070619,,1,1000827352,Final AB,,20111013,,Surrey,,C,,In Service,,2007
7,,1,Ditch,,20031126,,1,1000779002,,408178,20100401,,Surrey,,AO,0,In Service,,
8,,1,Ditch,,20060629,,1,1000778907,,408182,20100401,,Surrey,,AO,0,In Service,,
9,,1,Ditch,,20150407,,1,1001815852,Final AB,1001815850,20150407,,Provincial,SFPR Seg. 6,C,,In Service,,2014
10,,1,Ditch,Updated to SHIM 2009,20150330,,1,1001814718,,1000784561,20150330,Colliers Canal,Surrey,,A,0,In Service,,
11,,1,Ditch,Updated to SHIM 2009,20060629,,1,1000783898,,10004566,20120629,,Surrey,,A,0,In Service,,
12,,1,Ditch,Updated to SHIM 2009,20150407,,1,1001815859,Final AB,1001815858,20150407,Colliers Canal,Surrey,4802-3040-00,A,,In Service,,2005
13,,1,Ditch,Updated to SHIM 2009,20060629,,1,1000784513,,408255,20150407,,Surrey,,B,0,In Service,,
14,,1,Ditch,,20020731,,1,1000785175,,379324,20100713,,Surrey,,AO,,In Service,,
15,,1,Ditch,,20020731,,1,1000785176,,379325,20100713,,Surrey,,AO,,In Service,,
16,,0,Creek,,20100713,,1,1001167210,Final AB,1001167135,20120508,,Surrey,,A,,In Service,,
17,,0,Creek,,20100713,,1,1001167138,Final AB,1001167135,20120508,,Surrey,,A,,In Service,,
18,,1,Ditch,,20060629,,1,1000785357,,402362,20100401,,Surrey,,C,0,In Service,,
19,,0,Creek,,20051125,,1,1000771651,,403838,20100401,Cougar Crk,Surrey,,A,0,In Service,,
20,,1,Ditch,"As Per May 16, 2012 Engineering ERC",20030307,,1,1000771721,,403821,20151008,,Surrey,,B,0,In Service,,
21,,1,Ditch,,20060629,,1,1000784462,,408338,20100401,,Surrey,,C,0,In Service,,
22,,0,Creek,Updated to SHIM 2009,20060629,,1,1000784559,,408313,20120629,Delta Crk,Surrey,,A,0,In Service,,
23,,0,Creek,Updated to SHIM 2009,20060629,,1,1000784452,,408328,20120629,Delta Crk,Surrey,,A,0,In Service,,
24,,1,Ditch,,20060629,,1,1000783912,,408334,20100401,,Surrey,,C,0,In Service,,
25,,1,Ditch,,20060629,,1,1000784543,,408294,20100406,,Surrey,,C,0,In Service,,
26,,1,Ditch,,20041217,,1,1000784415,Final AB,10004384,20100406,,Surrey,7802-0233-00,UN,0,In Service,,2004
27,,0,Creek,Updated to SHIM 2009,20031201,,1,1000784538,,408287,20130522,Scott Crk,Surrey,,A,0,In Service,,
28,,1,Ditch,,20060629,,1,1000784541,,408291,20100406,,Surrey,,B,0,In Service,,
29,,0,Creek,Updated to SHIM 2009,20060629,,1,1000784267,,408465,20130522,Scott Crk,Surrey,,A,0,In Service,,
30,,1,Ditch,,20060629,,1,1000784148,,10004387,20100401,,Surrey,,C,0,In Service,,
31,,1,Ditch,Updated to SHIM 2009,20050902,,1,1000784498,Final AB,10002648,20120629,Colliers Canal,Surrey,4802-3040-00,A,0,In Service,,2005
32,,1,Ditch,DEBRIS BASIN,20060629,,1,1000784518,,408260,20140527,,Surrey,,A,0,In Service,,
33,,1,Ditch,Updated to SHIM 2009,20050902,,1,1000784499,Final AB,10002649,20120629,Colliers Canal,Surrey,4802-3040-00,A,0,In Service,,2005
34,,1,Ditch,Updated to SHIM 2009,20060629,,1,1000784500,,10002650,20120629,,Surrey,,B,0,In Service,,
35,,0,Creek,,20040604,,1,1000772027,,10002085,20150407,,Surrey,,B,0,In Service,,
36,,1,Ditch,Updated to SHIM 2009,20150408,,1,1001816172,,1001816171,20150408,,Surrey,,AO,0,In Service,,
37,,0,Creek,,20060316,,1,1000783906,Final AB,10001828,20100406,Delta Crk,Surrey,4897-3030-00,A,0,In Service,,1999
38,,1,Ditch,Updated to SHIM 2009,20060629,,1,1000784494,,408251,20150408,,Surrey,,AO,0,In Service,,
39,,0,Creek,Updated to SHIM 2009,20090129,,1,1000784495,Initial AB,408279,20150407,Scott Crk,Surrey,4804-3030-00,A,0,In Service,,2007
40,,1,Ditch,,20060629,,1,1000784459,,408335,20100401,,Surrey,,C,0,In Service,,
41,,0,Creek,Updated to SHIM 2009,20060629,,1,1000784535,,408283,20130522,Scott Crk,Surrey,,A,0,In Service,,
42,,1,Ditch,"BAFFLE CHUTE SPILLWAY, SEE ALSO SS-019-556,558",20060629,6,1,1000784489,Final AB,10001830,20120522,,Surrey,48995120-00,UN,24.91,In Service,15.5,2002
43,,0,Creek,,20040608,,1,1000771926,,10002109,20120522,Manson Canal,Surrey,,A,0,In Service,,
44,,1,Ditch,Updated to SHIM 2009,20060629,,1,1000784435,,408389,20120629,,Surrey,,B,0,In Service,,
45,,1,Ditch,,20090625,,1,1001126605,,10001977,20130227,,Surrey,,C,0,In Service,,
46,,1,Ditch,Updated to SHIM 2009,20020802,,1,1000772672,,383526,20120629,,Surrey,,A,,In Service,,
47,,2,River,,20051129,,1,1000771984,,10000597,20100406,Fraser River,Surrey,,A,0,In Service,,
48,,2,River,,20051129,,1,1000771981,,10000594,20100406,Fraser River,Surrey,,A,0,In Service,,
49,,2,River,,20051129,,1,1000771980,,10000593,20100406,Fraser River,Surrey,,A,0,In Service,,
50,,2,River,,20051129,,1,1000772000,,10000613,20100406,Fraser River,Surrey,,A,0,In Service,,
