,ANCILLARYROLE,ENABLED,FACILITYID,LEGACYID,NODE_NO,DEBRIS_BOOM,INTEGRATED_FLAPGATE,INTEGRATED_SLUICEGATE,IRRIGATION,RIVER_MONITOR,WS_PUMP_LEVEL_ON,WS_PUMP_LEVEL_OFF,GS_PUMP_LEVEL_ON,GS_PUMP_LEVEL_OFF,MAX_DISCHARGE_PUMPS,DISCHARGES_TO,STATUS,OPERATING_STATUS,YR,OWNER,PROJECT_NO,NAME,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CAPACITY,CONTRACTOR_ID,CRE_DATE,MOD_DATE,Latitude,Longitude
0,,1,1001925204,,1581106180,Yes,No,Yes,,,,,,,,Serpentine River,In Service,Open,2017,Surrey,4815-4060-00,HARVEST DS,6176 156 ST,Previously known as Finlay,Initial AB,,,,,,,,20170330,20180321,49.114745,-122.784197
1,0,1,1000609400,398748,1800004717,,,,,No,,,,,,,In Service,Open,1995,Surrey,4894-4020-00,HALLS PRAIRIE DS OLD,4750 180 ST,ORIGINAL PUMP 1967,Final AB,,,,,,,,20000101,20171025,49.088148,-122.723989
2,0,1,1000609404,455669,1478604808,,,,,No,,,,,,,In Service,Open,1995,Surrey,7892-0609-00,PANORAMA DS OLD,48 AVE & 148 ST,,Final AB,,,,,,,,20031201,20171025,49.089968,-122.812535
3,0,1,1000609419,455626,1632104381,,,,,Yes,,,,,,,In Service,Open,1980,Surrey,D-030,LOGGING DITCH DS,16300 44 AVE,"3 PUMPS, SCREW PUMPS ADDED 2006",Final AB,,,,,,,,20000101,20171025,49.082175,-122.770287
4,,1,1001950529,,1800204723,Yes,,,,,,,,,,Nicomekl River,In Service,Open,2017,Surrey,4815-4140-00,HALLS PRAIRIE DS,180 St  &  4720blk,,Final AB,,,,,,,,20171010,20171025,49.088246,-122.723933
5,,1,1001950632,,1478304813,Yes,,,,,,,,,,Serpentine River,In Service,Open,2017,Surrey,4815-4130-00,PANORAMA DS,148 St  &  48 Ave,,Final AB,,,,,,,,20171010,20171025,49.090052,-122.812603
6,0,1,1000609412,455657,1636406780,,,,,,,,,,,,In Service,Open,,Private,D-845-2,CENTRAL SURREY DS (PRIVATE),NORTHVIEW GOLF COURSE,"OLD NAME ""BROWN ROAD""",Final AB,,,,,,,,20040721,20170413,49.125572,-122.768900
7,0,1,1000609423,455646,1617006399,,,,,Yes,,,,,,,In Service,Open,1990,Surrey,D-845-2,64 AVENUE DS,16280 64 AVE,,Final AB,,,,,,,,20040813,20170413,49.118700,-122.774262
8,,1,1001150988,,1200311225,,,,,,,,,,,,In Service,Open,2014,Surrey,4809-3090-00,PATTULLO DS,11933 OLD YALE RD - PATTULLO BRIDGE,,Initial AB,,,,,,,,20100224,20170413,49.206181,-122.888969
9,,1,1001196511,,1789508334,,,,,,,,,,,,In Service,Open,,Private,,83 AVE DS (PRIVATE),8352 176 ST,Private Field Discharge,,,,,,,,,20110502,20170413,49.153608,-122.726531
10,,1,1001411920,,1256602951,Yes,Yes,Yes,,,,,,,,Mud Bay,In Service,Open,2013,Surrey,4810-3020-00,MAPLE STREET DS,12345 SULLIVAN ST,New Maple Street Drainage Station,Final AB,,New,20130419,,,,,20120507,20170413,49.056442,-122.873779
11,,1,1001565749,,1747607538,,,,,,,,,,,Serpentine River,In Service,Open,,Private,,LIVINGSTON DS (PRIVATE),FRASER HWY & HWY 15 (SOUTHWEST CORNER),EAST OF SERPENTINE,,,,,,,,,20130130,20170413,49.139234,-122.738143
12,,1,1001565775,,1745207559,,,,,,,,,,,,In Service,Open,,Private,,SURREY GOLF COURSE DS (PRIVATE),FRASER HWY & HWY 15 (SOUTHWEST CORNER),WEST OF SERPENTINE,,,,,,,,,20130130,20170413,49.139600,-122.738828
13,,1,1001566275,,1620906394,,,,,,,,,,,,In Service,Open,,Private,,64 AVE DS (PRIVATE),16280 64 AVE (EAST OF CHANNEL),,,,,,,,,,20130204,20170413,49.118593,-122.773208
14,,1,1001816554,,1214911172,,,,,,,,,,,,In Service,Open,2014,Provincial,SFPR Seg. 6,BRIDGE ROAD DS (PROVINCIAL),11147 BRIDGE RD,,Final AB,,,,,,,,20150409,20170413,49.205229,-122.884921
15,0,1,1000609415,455676,1782408644,,,,,Yes,,,,,,,In Service,Open,2001,Surrey,4899-4040-00,UPPER SERPENTINE DS,17800 86 AVE,,Final AB,,,,,,,,20031201,20170412,49.159216,-122.728459
16,,1,1000960423,,1368002370,,,,,,,,,,,,In Service,Open,1997,Surrey,4895-6020-00,CHANTRELL CREEK DS,13705 24 AVE,,Final AB,,,,,,,,20081209,20170412,49.045892,-122.843161
17,0,1,1000609396,455658,1189011093,,,,,,,,,,,,In Service,Open,1991,Surrey,D-754,OLD YALE ROAD DS,11920 OLD YALE RD,,Final AB,,,,,,,,20040607,20170412,49.203811,-122.892078
18,0,1,1000609397,455990,1719903578,,,,,,,,,,,,In Service,Open,,Surrey,,BURROWS II DS,17300 36 AVE,,,,,,,,,,20031208,20170412,49.067589,-122.746164
19,0,1,1000609422,462218,1537204078,,,,,No,,,,,,,In Service,Open,2003,Surrey,4802-4040-02,40 AVENUE DS,15350 41 AVE,SEE SS-094-420 TO 422,Final AB,,,,,,,,20040415,20170412,49.076740,-122.796437
20,0,1,1000609399,455685,1719304516,,,,,Yes,,,,,,,In Service,Open,1984,Surrey,5425,BURROWS I DS,4550 172 ST,,,,,,,,,,20031201,20170412,49.084562,-122.746252
21,0,1,1000609414,456155,1756407635,,,,,Yes,,,,,,,In Service,Open,2000,Surrey,4899-0009-11,FRYS CORNER DS,7701 176 ST,SEE ALSO SS-056-416 TO 440,Final AB,,,,,,,,20040429,20170412,49.140974,-122.735716
22,0,1,1000845872,,1558506825,,,,,Yes,,,,,,,In Service,Open,2004,Surrey,4800-4030-00,EAST NEWTON DS,15600 68 AVE,,Final AB,,,,,,,,20080229,20170412,49.126430,-122.790374
23,0,1,1000609405,462194,1570005094,,,,,No,,,,,,,In Service,Open,2003,Surrey,4800-4050-02,GRAY CREEK DS,5100 157 ST,SEE SS-084-420 TO 438,Final AB,,,,,,,,20040415,20170412,49.095106,-122.787334
24,0,1,1000609395,13972,1159310704,,,,,,,,,,,,In Service,Open,1995,Surrey,D-751,MANSON CANAL DS,10676 DYKE RD,SEE ALSO SS-009-483 TO 503,Final AB,,,,,,,,20040608,20170412,49.196771,-122.900290
