,CATCHMENT_TYPE,CATCHMENT_TYPE_2,COMMENTS,CRE_DATE,MOD_DATE,NAME
0,1,Sub Catchments,,,,364
1,1,Sub Catchments,,,,184
2,1,Sub Catchments,,,,80
3,1,Sub Catchments,,,,82
4,1,Sub Catchments,,,,164
5,1,Sub Catchments,,,,523
6,1,Sub Catchments,,,,315
7,1,Sub Catchments,,,,298
8,1,Sub Catchments,,,,301
9,1,Sub Catchments,,,,334
10,1,Sub Catchments,,,,329
11,1,Sub Catchments,,,,371
12,1,Sub Catchments,,,,366
13,1,Sub Catchments,,,,369
14,1,Sub Catchments,,,,120
15,1,Sub Catchments,,,,382
16,1,Sub Catchments,,,,379
17,1,Sub Catchments,,,,484
18,1,Sub Catchments,,,,67
19,1,Sub Catchments,,,,522
20,1,Sub Catchments,,,,93
21,1,Sub Catchments,,,,88
22,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,170
23,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,260
24,1,Sub Catchments,,,,147
25,1,Sub Catchments,,,,282
26,1,Sub Catchments,,,,543
27,1,Sub Catchments,,,,143
28,1,Sub Catchments,,,,131
29,1,Sub Catchments,,,,126
30,1,Sub Catchments,,,,551
31,1,Sub Catchments,,,,135
32,1,Sub Catchments,,,,290
33,1,Sub Catchments,,,,137
34,1,Sub Catchments,,,,124
35,1,Sub Catchments,,,,115
36,1,Sub Catchments,,,,440
37,1,Sub Catchments,,,,113
38,1,Sub Catchments,,,,467
39,1,Sub Catchments,,,,415
40,1,Sub Catchments,,,,491
41,1,Sub Catchments,,,,489
42,1,Sub Catchments,,,,490
43,1,Sub Catchments,,,,474
44,1,Sub Catchments,,,,468
45,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,20111201,20160526,LCR13 North
46,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,20111201,20160526,LCR13 South
47,1,Sub Catchments,,,,167
48,1,Sub Catchments,,,,172
49,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,173
50,1,Sub Catchments,,,,264
51,1,Sub Catchments,,,,496
52,1,Sub Catchments,,,,407
53,1,Sub Catchments,,,,386
54,1,Sub Catchments,,,,507
55,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,20111202,20111202,LCR10 West
56,1,Sub Catchments,,20111006,20111006,552
57,1,Sub Catchments,,,,219
58,1,Sub Catchments,,,,223
59,1,Sub Catchments,,,,218
60,1,Sub Catchments,,,,237
61,1,Sub Catchments,,,,411
62,1,Sub Catchments,,,,98
63,1,Sub Catchments,,,,245
64,1,Sub Catchments,,,,257
65,1,Sub Catchments,,,,253
66,1,Sub Catchments,,,,79
67,1,Sub Catchments,,,,192
68,1,Sub Catchments,,,,185
69,1,Sub Catchments,,,,319
70,1,Sub Catchments,,,,317
71,1,Sub Catchments,,,,324
72,1,Sub Catchments,,,,325
73,1,Sub Catchments,,,,326
74,1,Sub Catchments,,,,345
75,1,Sub Catchments,,,,349
76,1,Sub Catchments,,,,350
77,1,Sub Catchments,,,,303
78,1,Sub Catchments,,,,342
79,1,Sub Catchments,,,,434
80,1,Sub Catchments,,,,352
81,1,Sub Catchments,,,,448
82,1,Sub Catchments,,,,378
83,1,Sub Catchments,,,,91
84,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,187
85,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,87
86,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,200
87,1,Sub Catchments,,,,151
88,1,Sub Catchments,,,,146
89,1,Sub Catchments,,,,529
90,1,Sub Catchments,,,,286
91,1,Sub Catchments,,,,547
92,1,Sub Catchments,,,,435
93,1,Sub Catchments,,,,437
94,1,Sub Catchments,,,,427
95,1,Sub Catchments,,,,480
96,1,Sub Catchments,,,,127
97,1,Sub Catchments,,,,136
98,1,Sub Catchments,,,,439
99,1,Sub Catchments,,,,423
100,1,Sub Catchments,,,,417
101,1,Sub Catchments,,,,458
102,1,Sub Catchments,,,,471
103,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,20111202,20160526,LCR11 North
104,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,20111202,20111202,LCR11 South
105,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,518
106,1,Sub Catchments,,,,275
107,1,Sub Catchments,,,,400
108,1,Sub Catchments,,,,395
109,1,Sub Catchments,,,,397
110,1,Sub Catchments,,,,394
111,1,Sub Catchments,,,,408
112,1,Sub Catchments,,,,410
113,1,Sub Catchments,,,,390
114,1,Sub Catchments,,,,460
115,1,Sub Catchments,,,,500
