,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,FACILITYID,GIS_ENTRY_STAGE,LEGACYID,LOCATION,MAP_NO,MOD_DATE,NAME,OWNER,PROJECT_NO,SENSITIVITY,STATUS,WARRANTYDATE,WATER_BODY_TYPE,YR
0,SW of Serpentine Sea Dam,,,20111114,1001220117,Final AB,1001220093,"Bounded by Hwy 99, KGB, Serpentine River",092,,Farmland Pond,Private,,A,In Service,,Lake,2011
1,,,,20170315,1001913305,Initial AB,,,115,20170510,,Surrey,7811-0223-00,,In Service,,Wet Detention Pond,2016
2,"As Per July 20, 2011 Engineering ERC",,,20111114,1001219711,Final AB,,,068,20111114,McLellan Crk,Private,,B,In Service,,Lake,2011
3,,,,20110615,1001201208,,,,080,20110615,,Surrey,,B,In Service,,Lake,
4,,,,20111110,1001219507,Final AB,,17127 Fraser Hwy,056,20111110,Detention Pond,Private,,C,In Service,,Lake,2011
5,,,,20111110,1001219521,Final AB,,Surrey Bend Park,006,,Surrey Bend Pond,Surrey,,A,In Service,,Lake,2011
6,Dam,,,20111110,1001219522,Final AB,,9019 164 St,035,20111110,Godwin Lake,Surrey,,A,In Service,,Lake,2011
7,,,,20110607,1001200240,,,,,20111114,,Private,,B,In Service,,Lake,
8,Updated to SHIM 2011,,,20120510,1001412148,,,,049,20120510,,Surrey,,B,In Service,,Lake,
9,Updated to SHIM 2011,,,20111110,1001219523,Final AB,,8431 188 St,048,20120510,Latimer Rearing Pond,Private,4898-4170-00,A,In Service,,Lake,2008
10,,,,20160329,1001866905,,,,,20160329,,Surrey,,B,In Service,,Wetlands,
11,,,,20160329,1001866906,,,,,20160329,,Surrey,,A,In Service,,Wetlands,
12,,,,20160329,1001866907,,,,,20160329,,Surrey,,C,In Service,,Wetlands,
13,KGB & Boliver Rd,,,20111110,1001219506,Final AB,,13338 King George Blvd,011,20180117,Ravine Rd Pond,Surrey,,B,In Service,,Lake,2011
14,SW of Serpentine Sea Dam,,,20111114,1001220120,Final AB,1001220096,"Bounded by Hwy 99, KGB, Serpentine River",092,,Farmland Pond,Private,,A,In Service,,Lake,2011
15,SW of Serpentine Sea Dam,,,20111114,1001220121,Final AB,1001220097,"Bounded by Hwy 99, KGB, Serpentine River",092,,Farmland Pond,Private,,A,In Service,,Lake,2011
16,SW of Serpentine Sea Dam,,,20111114,1001220122,Final AB,1001220098,"Bounded by Hwy 99, KGB, Serpentine River",092,,Farmland Pond,Private,,A,In Service,,Lake,2011
17,,,,20111114,1001220266,Final AB,,18167 12 Ave,137,20180117,Private Pond,Private,,A,In Service,,Lake,
18,,,,20111114,1001220316,Final AB,,,148,20180117,Private Pond,Private,,A,In Service,,Lake,
19,,,,20111128,1001221982,,,,,20180117,,Surrey,,B,In Service,,Lake,
20,,,,20140602,1001751886,Final AB,,,072,20180111,McLeod Pond,Surrey,7812-0328-00,B,In Service,,Wet Detention Pond,2014
21,,,,20150416,1001818430,Final AB,,,002,20150416,,Provincial,SFPR Seg. 7,B,In Service,,Wet Detention Pond,2014
22,,,,20180613,1002066442,Final AB,,,058,20180613,,Private,7811-0263-00,,In Service,,Dry Detention Pond,2018
23,,,,20111115,1001220453,Initial AB,,,114,20111115,Above Ground Municipal,Surrey,7806-0250-00,B,In Service,,Dry Detention Pond,2009
24,,,,20111110,1001219535,Final AB,,9185 168 St,035,20111110,Kurtenacker DP,Private,,C,In Service,,Wet Detention Pond,2011
25,,,,20111110,1001219537,Final AB,,"North of Greenbelt, South of 164 St & 77 Ave",055,20111110,Private Drainage Ponds,Surrey,,B,In Service,,Lake,2001
26,,,,20111110,1001219538,Final AB,,"North of Greenbelt, South of 164 St & 77 Ave",055,20111110,Private Drainage Ponds,Surrey,,B,In Service,,Lake,2001
27,,,,20111110,1001219539,Final AB,,"North of Greenbelt, South of 164 St & 77 Ave",055,20111110,Private Drainage Ponds,Surrey,,B,In Service,,Lake,2001
28,,,,20111110,1001219540,Final AB,,"North of Greenbelt, South of 164 St & 77 Ave",055,20111110,Private Drainage Ponds,Surrey,,B,In Service,,Lake,2011
29,"As Per July 20, 2011 Engineering ERC",,,20111110,1001219674,Final AB,,Fraser Hwy & 192 St NW Lots,068,20111110,McLellan Crk Ponds,Private,,B,In Service,,Lake,2011
30,,,,20111114,1001220125,Final AB,1001220101,,098,,Gary Brk,Surrey,,B,In Service,,Lake,2011
31,,,,20111114,1001220127,Final AB,1001220103,,098,,Gary Brk,Surrey,,B,In Service,,Lake,2011
32,,,,20111114,1001220144,Final AB,,,101,,,Surrey,,A,In Service,,Lake,2011
33,,,,20111114,1001220145,Final AB,,,101,,,Surrey,,B,In Service,,Lake,2011
34,,,,20111114,1001220147,Final AB,,,101,,,Surrey,,A,In Service,,Lake,2011
35,,,,20111114,1001220150,Final AB,,,103,,,Surrey,,A,In Service,,Lake,2011
36,,,,20100728,1001168652,Final AB,,,102,20111114,Nico Wynd GC Pond,Private,,C,In Service,,Wet Detention Pond,
