,DESCRIPTION,PLAN_NO,PROJECT_NO,PURPOSE,ROW_NO,ROW_TYPE2,STATUS,WIDTH,YR
0,"PTN LTS 3,4 & 6-8 PL LMP27818",LMP28709,7894-0099,3rd Party Agreement,E019-0015,Municipal Right of Way,Registered,0,1996
1,PTN LTS 1-5 PL LMP42200,LMP42202,7894-0212,3rd Party Agreement,E019-0016,Municipal Right of Way,Registered,0,1999
2,PTN LTS 11 & 12 PL BCP31641,BCP31656,7805-0143-00,3rd Party Agreement,E009-0008,Municipal Right of Way,Registered,11.842,2007
3,PTN LTS 13 & 14 PL BCP31641,BCP31658,7805-0143-00,3rd Party Agreement,E009-0010,Municipal Right of Way,Registered,9.718,2007
4,OVER ALL LT 21 BK 5 PL 2200,,2054-002,3rd Party Agreement,E110-0003,Municipal Right of Way,Registered,15.24,1977
5,PTN LTS 11 & 13-15 PL LMP30205,LMP30206,7892-0633,3rd Party Agreement,E070-0032,Municipal Right of Way,Registered,0,1996
6,PTN LTS A & B PL LMP5385,LMP5388,7890-0158,3rd Party Agreement,E080-0057,Municipal Right of Way,Registered,0,1992
7,PTN LTS 13-15 & 25-27 PL LMP25008,LMP25009,7893-0071,3rd Party Agreement,E070-0026,Municipal Right of Way,Registered,3,1995
8,PTN LT 7 PL LMP2761 PL LMP2762,1992,7890-0259,3rd Party Agreement,E060-0090,Municipal Right of Way,Registered,0,1992
9,PTN LTS 1 & 2 PL LMP13440,LMP13441,7892-0227,3rd Party Agreement,E060-0062,Municipal Right of Way,Registered,1.8,1993
10,PTN LTS 10-12 PL LMP28732,LMP28733,7894-0145,3rd Party Agreement,E060-0072,Municipal Right of Way,Registered,0,1996
11,OVER LT A PL 76496 (Rem NW2768),,7887-3600,Restrictive Covenant,E060-0009,Municipal Right of Way,Registered,0,1987
12,PTN S 5m LTS 22 & 23 PL 87047,,7889-0266,3rd Party Agreement,E060-0021,Municipal Right of Way,Registered,5,1990
13,PTN LTS 24 & 33 PL 78375,,7887-3551,3rd Party Agreement,E060-0010,Municipal Right of Way,Registered,0,1988
14,PTN LT 22 PL 82688,82689,7880-0390,3rd Party Agreement,E060-0014,Municipal Right of Way,Registered,1.8,1989
15,PTN STRATA PL NW3457,88368,7890-0068,3rd Party Agreement,E050-0057,Municipal Right of Way,Registered,0,1991
16,PTN LT 11 PL LMP3710,LMP3765,7889-0497,3rd Party Agreement,E050-0059,Municipal Right of Way,Registered,1.8,1992
17,PTN LTS 12-15 PL LMP3710,LMP3765,7889-0497,3rd Party Agreement,E050-0059,Municipal Right of Way,Registered,1.8,1992
18,LT 19 PL 456 (PL NW2079),,A442,Restrictive Covenant,E040-0007,Municipal Right of Way,Registered,0,1983
19,PTN LT 28 BLK 3 PL 529A,LMP52857,1797-316,Restrictive Covenant,E019-0020,Municipal Right of Way,Registered,11.5,2002
20,PTN LT 27 BLK 3 PL 529A,LMP52857,1797-316,Restrictive Covenant,E019-0019,Municipal Right of Way,Registered,11.5,2002
21,PTN LTS 87 & 88 PL 529A,BCP3445,1799-316,Restrictive Covenant,E019-0029,Municipal Right of Way,Registered,11.5,2003
22,PTN LT 6 PL BCP31641,BCP31653,7805-0143-00,3rd Party Agreement,E009-0005,Municipal Right of Way,Registered,4.32,2007
23,PTN LT 1 PL BCP50197,BCP50198,7811-0128-00,3rd Party Agreement,E019-0033,Municipal Right of Way,Registered,VAR,2012
24,PTN LTS B & C PL LMP17285,LMP17286,7892-0407,3rd Party Agreement,E020-0010,Municipal Right of Way,Registered,1.8,1994
25,PTN LTS 1-3 PL LMP4117,LMP4118,7890-0417,3rd Party Agreement,E020-0017,Municipal Right of Way,Registered,3,1992
26,PTN LT 2 PL BCP03195,BCP03196,7800-0212-00,3rd Party Agreement,E130-0006,Municipal Right of Way,Registered,3.0,2003
27,PTN LT 7 PL LMP25910 (LT 3 PL LMP32629),LMP25911,7894-0343,3rd Party Agreement,E120-0006,Municipal Right of Way,Registered,3,1996
28,PTN LT 11 PL LMP53206,LMP53207,7899-0124,3rd Party Agreement,E120-0010,Municipal Right of Way,Registered,1.8,2003
29,PTNS LTS 403-405 PL 60057,60069,2054-002,3rd Party Agreement,E120-0001,Municipal Right of Way,Registered,3,1980
30,PTN LT 3 PL 84568,84569,7889-0182,3rd Party Agreement,E110-0012,Municipal Right of Way,Registered,3,1990
31,OVER Rem 19 PL 21494 LTS 54-55 PL 57206,,2054-002,Restrictive Covenant,E110-0002,Municipal Right of Way,Registered,0,1976
32,PTN LTS 3 & 4 PL LMP6662 & LT 2 PL 10256,LMP6664,7891-0190,3rd Party Agreement,E110-0020,Municipal Right of Way,Registered,1.8,1992
33,PTN LT 3 PL EPP22935,EPP22937,7807-0101-00,3rd Party Agreement,E080-0077,Municipal Right of Way,Registered,VAR,2014
34,PTN LOT 3 PL BCP4079,BCP40880,7807-0251-00,3rd Party Agreement,E080-0073,Municipal Right of Way,Registered,VAR,2009
35,PTN LTS 1 & 19 PL 83240 (PL LMP11424),83241,7888-0359,3rd Party Agreement,E070-0036,Municipal Right of Way,Registered,1.8,1989
36,PTN LTS 1 & 2 PL BCP46933,BCP46934,7805-0290-00,3rd Party Agreement,E070-0060,Municipal Right of Way,Registered,4.5,2010
37,"LT 29 PL 76012 (LTS 5-7, 11-18 PL 83240)",,7889-0351,Restrictive Covenant,E070-0018,Municipal Right of Way,Registered,0,1987
38,PTN LT 27 PL 80880,80881,7887-0721,3rd Party Agreement,E070-0012,Municipal Right of Way,Registered,3,1989
39,PTN LT 29 PL 80880,80881,7887-0721,3rd Party Agreement,E070-0012,Municipal Right of Way,Registered,3,1989
40,"PTN LT 1,2,3 PL 86739",PL86740,7889-0004,3rd Party Agreement,E070-0042,Municipal Right of Way,Registered,3,1990
41,PTN LTS 1 & 2 PL 81417,81418,7887-5240,3rd Party Agreement,E070-0014,Municipal Right of Way,Registered,0,1989
42,"PTN LTS 34, 36-39 PL 78572",78573,7887-4140,3rd Party Agreement,E070-0010,Municipal Right of Way,Registered,0,1988
43,PTN LT 9 LMP2728,LMP2730,7888-0474,3rd Party Agreement,E070-0047,Municipal Right of Way,Registered,3,1991
44,L 1 - 4 & L 10 PLBCP18051,BCP18052,7803-0412,3rd Party Agreement,E070-0055,Municipal Right of Way,Registered,VAR,2005
45,PTN LTS 4 & 5 PL LMP38525,LMP38526,7896-0281,3rd Party Agreement,E060-0084,Municipal Right of Way,Registered,0,1998
46,PTN LTS 11-14 PL 86966,86967,7889-0370,Restrictive Covenant,E060-0026,Municipal Right of Way,Registered,0,1990
47,PTN N 1.8m LT 11 PL 85045,,7888-0221,3rd Party Agreement,E060-0035,Municipal Right of Way,Registered,1.8,1990
48,PTN LT 21 PL LMP12763,LMP12765,6092-0578,Restrictive Covenant,E060-0051,Municipal Right of Way,Registered,0,1993
49,PTN LT 20 PL LMP12763,LMP12765,6092-0578,Restrictive Covenant,E060-0050,Municipal Right of Way,Registered,8.809,1993
50,PTN LT 3 PL BCP6187,BCP6189,7803-0117,3rd Party Agreement,E060-0102,Municipal Right of Way,Registered,1.8,2003
51,PTN LTS 11 & 12 PL LMP12763,LMP12764,7892-0578,3rd Party Agreement,E060-0057,Municipal Right of Way,Registered,3,1993
52,PTN LT 1 PL LMP27291,LMP27292,7892-0174,3rd Party Agreement,E060-0068,Municipal Right of Way,Registered,3,1996
53,PTN LTS 1 & 2 PL 78992,78993,7885-2772,3rd Party Agreement,E060-0008,Municipal Right of Way,Registered,1.8,1988
54,PTN LTS 14 & 15 PL 78051,78052,7887-2570,3rd Party Agreement,E060-0005,Municipal Right of Way,Registered,1.8,1988
55,PTN LT1 PL BCP41833,BCP41835,7808-0255-00,3rd Party Agreement,E050-0071,Municipal Right of Way,Registered,VAR,2009
56,PTN LTS 11 & 12 PL 86811,86812,7889-0393,3rd Party Agreement,E050-0034,Municipal Right of Way,Registered,0,1990
57,PTN LTS 410 & 411 PL 60967,60968,A258,3rd Party Agreement,E050-0005,Municipal Right of Way,Registered,1.5,1981
58,"PTN LTS 365,366,368 & 377 PL 61020",62719,A249,3rd Party Agreement,E050-0008,Municipal Right of Way,Registered,1.5,1981
59,PTN LT 11 PL 84677,84678,7889-0084,Restrictive Covenant,E050-0028,Municipal Right of Way,Registered,3,1990
60,OVER LT 13 PL 84677,,7889-0084,Restrictive Covenant,E050-0027,Municipal Right of Way,Registered,0,1990
61,PTN LTS 1 & 2 PL LMP14761,LMP14763,7892-0428,3rd Party Agreement,E050-0040,Municipal Right of Way,Registered,3,1994
62,PTN L 2 & 3 PLLMP19651,LMP19653,93-0147,Restrictive Covenant,E050-0044,Municipal Right of Way,Registered,VAR,1997
63,PTN LT 1 PL LMP8874,BCP28551,7802-0271-00,3rd Party Agreement,E040-0022,Municipal Right of Way,Registered,5.0,2007
64,PTN LTS 1 & 2 PL 76992,76993,7887-2512,3rd Party Agreement,E030-0007,Municipal Right of Way,Registered,1.8,1988
65,PTN LT 2 PL LMP50725,LMP50727,7800-0268,3rd Party Agreement,E030-0026,Municipal Right of Way,Registered,1.8,2001
66,PTN LT 4 PL 82785,82786,7888-0671,3rd Party Agreement,E010-0001,Municipal Right of Way,Registered,3,1989
67,PTN LT 4 PL LMP44313,LMP44314,7898-0244,3rd Party Agreement,E010-0003,Municipal Right of Way,Registered,5,1999
68,"PTN LT C PL69522, LT 2 PL6880 (LMP27431)",LMP24933,7893-0309,3rd Party Agreement,E010-0002,Municipal Right of Way,Registered,11,1995
69,PTN LT A PL BCP16849,BCP16850,7803-0368-00,3rd Party Agreement,E131-0021,Municipal Right of Way,Registered,VAR,2005
