,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,20130729,Amended From Riparian Protection Area 22-45 u.p.a. (High Density),RES.R13-1723,20140909,,,,7911-0244-00,22-45 u.p.a. (High Density),20140909,East Clayton Extension West of 188 St,Approved,Neighbourhood Concept Plan,2005
1,, , ,,,,, ,Riparian Protection Area,20140909,East Clayton Extension West of 188 St,Approved,Neighbourhood Concept Plan,2005
2,, , ,,,,, ,Existing School,,East Clayton Extension West of 188 St,Approved,Neighbourhood Concept Plan,2005
3,, , ,,45,22,UPA, ,22-45 u.p.a. (High Density),,East Clayton Extension West of 188 St,Approved,Neighbourhood Concept Plan,2005
4,, , ,,,,, ,Storm Water Ponds,,East Clayton Extension West of 188 St,Approved,Neighbourhood Concept Plan,2005
5,, , ,,,,, ,Storm Water Pond (100 Year Flood Event),,East Clayton Extension West of 188 St,Approved,Neighbourhood Concept Plan,2005
6,, , ,,,,, ,Public Open Space/Park,,East Clayton Extension West of 188 St,Approved,Neighbourhood Concept Plan,2005
7,, , ,,,,, ,Special Setback Landscaping Buffers or Corridors,20140909,East Clayton Extension West of 188 St,Approved,Neighbourhood Concept Plan,2005
8,, , ,,,,, ,Special Setback Landscaping Buffers or Corridors,,East Clayton Extension West of 188 St,Approved,Neighbourhood Concept Plan,2005
9,20130729,Amended From Institutional 22-45 u.p.a. (High Density),RES.R13-1723,20140909,,,,7911-0244-00,22-45 u.p.a. (High Density),20140909,East Clayton Extension West of 188 St,Approved,Neighbourhood Concept Plan,2005
10,20130729,Amended From Institutional Riparian Protection Area,RES.R13-1723,20140909,,,,7911-0244-00,Riparian Protection Area,20140909,East Clayton Extension West of 188 St,Approved,Neighbourhood Concept Plan,2005
11,, , ,,,,, ,Institutional,20140909,East Clayton Extension West of 188 St,Approved,Neighbourhood Concept Plan,2005
12,20130729,Amended From Riparian Protection Area 22-45 u.p.a. (High Density),RES.R13-1723,20140909,,,,7911-0244-00,22-45 u.p.a. (High Density),20140909,East Clayton Extension West of 188 St,Approved,Neighbourhood Concept Plan,2005
