,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,, , ,,,,, ,Business Park,,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
1,, , ,,,,, ,Buffers/Natural Areas,20111025,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
2,20111017,Biofiltration (wetlands) to Business Park, ,20111025,,,, 08-0128-00,Business Park,20111025,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
3,, , ,,,,, ,Buffers/Natural Areas,,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
4,, , ,,,,, ,Business Park,,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
5,, , ,,,,, ,Business Park,20111025,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
6,, , ,,,,, ,Business Park,,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
7,, , ,,,,, ,Buffers/Natural Areas,,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
8,, , ,,,,, ,Buffers/Natural Areas,,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
9,, , ,,,,, ,Business Park,,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
10,, , ,,,,, ,Live & Work (or Future Business Park) *Preference is for Business Park*,20130206,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
11,, , ,,,,, ,Buffers/Natural Areas,,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
12,, , ,,,,, ,Buffers/Natural Areas,,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
13,, , ,,,,, ,Local Commercial,,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
14,, , ,,,,, ,Buffers/Natural Areas,,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
15,, , ,,,,, ,Park,,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
16,20111017,Remove 153 St, ,20111025,,,,08-0128-00,Business Park,20111025,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
17,, , ,,,,, ,Live & Work (or Future Business Park) *Preference is for Business Park*,20130206,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
18,, , ,,,,, ,Existing Church,,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
19,, , ,,,,, ,Business Park,,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
20,, , ,,,,, ,Live & Work (or Future Business Park) *Preference is for Business Park*,20130206,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
