,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,20020903,Rezone from RA to RM-15 and RF (B/L-12000),R03-1629,,,,,02-0167-00,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
1,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
2,, , ,,,,, ,Urban Residential,20141022,East Newton North,Approved,Neighbourhood Concept Plan,1996
3,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
4,, , ,,,,, ,School,,East Newton North,Approved,Neighbourhood Concept Plan,1996
5,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
6,, , ,,,,, ,Transitional Suburban,20130319,East Newton North,Approved,Neighbourhood Concept Plan,1996
7,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
8,, , ,,,,, ,Transitional Suburban,20161102,East Newton North,Approved,Neighbourhood Concept Plan,1996
9,20161024,Amended From Transitional Suburban to Urban Residential, ,20161102,,,,7915-0169-00,Urban Residential,20161102,East Newton North,Approved,Neighbourhood Concept Plan,1996
10,, , ,,,,, ,Urban Residential,20151103,East Newton North,Approved,Neighbourhood Concept Plan,1996
11,20040705,Rezone from RA to RF (B/L-12000); NCP from Proposed Suburban Transitional to Proposed Urban Residential,R05-2141,,,,,03-0427-00,Urban Residential,20141022,East Newton North,Approved,Neighbourhood Concept Plan,1996
12,, , ,,,,, ,Proposed Multiple Residential (Townhouses),,East Newton North,Approved,Neighbourhood Concept Plan,1996
13,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
14,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
15,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
16,, , ,,,,, ,Open Space/Park,,East Newton North,Approved,Neighbourhood Concept Plan,1996
17,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
18,, , ,,,,, ,Urban Residential,20130319,East Newton North,Approved,Neighbourhood Concept Plan,1996
19,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
20,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
21,20000725,Rezone from RA to CD & RF (B/L-12000); NCP from Townhouse to Compact Single Family & Single Family,R01-1440,,,,,99-0175-00,Urban Compact Housing,,East Newton North,Approved,Neighbourhood Concept Plan,1996
22,, , ,,,,, ,Urban Residential,20130315,East Newton North,Approved,Neighbourhood Concept Plan,1996
23,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
24,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
25,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
26,20040419,Rezone from RA to RF & RF-12 (B/L-12000); NCP from Urban residential & Residential Gross Density to Urban Compact Housing,R04-3338,,,,,03-0235-00,Urban Compact Housing,,East Newton North,Approved,Neighbourhood Concept Plan,1996
27,20021209,Rezone from RA to RF-12 & RF (B/L-12000); NCP from Urban Residential & Residential Gross Density to Urban Compact Housing,R03-3273,,,,,02-0261-00,Urban Compact Housing,,East Newton North,Approved,Neighbourhood Concept Plan,1996
28,, , ,,,,, ,Open Space/Park,,East Newton North,Approved,Neighbourhood Concept Plan,1996
29,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
30,, , ,,,,, ,Transitional Suburban,,East Newton North,Approved,Neighbourhood Concept Plan,1996
31,20030217,Rezone from A-1 to RF-12 & RF (B/L-12000); NCP from Urban Residential & Transitional Suburban to Urban Compact Housing & Urban Residential,R04-1083,,,,,01-0234-00,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
32,20090629,Amended from Transitional Suburban to Urban Residential, ,20160427,,,,7907-0298-00,Urban Residential,20160427,East Newton North,Approved,Neighbourhood Concept Plan,1996
33,20120723,Transitional Suburban to Urban Residential 7910-0204-00 Natalie Androsoff,RES.R12-1690,20120724,,,,7910-0204-00,Urban Residential,20121218,East Newton North,Approved,Neighbourhood Concept Plan,1996
34,20030929,Rezone from RA to RF (B/L-12000); NCP from Transitional Suburban & Urban Residential to Urban Residential,R04-1418,,,,,03-0178-00,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
35,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
36,, , ,,,,, ,Creek Preservation Area,,East Newton North,Approved,Neighbourhood Concept Plan,1996
37,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
38,20020903,Rezone from RA to RM-15 and RF (B/L-12000),R03-1629,,,,,02-0167-00,Proposed Multiple Residential (Townhouses),,East Newton North,Approved,Neighbourhood Concept Plan,1996
39,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
40,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
41,, , ,,,,, ,Urban Residential,20141022,East Newton North,Approved,Neighbourhood Concept Plan,1996
42,20020708,Rezone from RA to RF and RF-12 (B/L-12000); NCP from Urban Residential to Compact Housing,R03-1062,,,,,02-0065-00,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
43,, , ,,,,, ,Urban Residential,20141022,East Newton North,Approved,Neighbourhood Concept Plan,1996
44,, , ,,,,, ,Urban Residential,20141022,East Newton North,Approved,Neighbourhood Concept Plan,1996
45,20130909,Amended from Urban Residential to Urban Compact Housing,,20130911,,,,7912-0219-00,Urban Compact Housing,20130911,East Newton North,Approved,Neighbourhood Concept Plan,1996
46,, , ,,,,, ,Transitional Suburban,20141022,East Newton North,Approved,Neighbourhood Concept Plan,1996
47,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
48,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
49,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
50,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
51,20030217,Rezone from A-1 to RF-12 & RF (B/L-12000); NCP from Transitional Suburban & Creek Preservation to Urban Residential & Urban Compact Housing,R04-1080,,,,,02-0171-00,Urban Compact Housing,,East Newton North,Approved,Neighbourhood Concept Plan,1996
52,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
53,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
54,, , ,,,,, ,Open Space/Park,,East Newton North,Approved,Neighbourhood Concept Plan,1996
55,20040517,Rezone from RA to RF (B/L-12000); NCP from Existing Transitional Suburban to Urban Residential,R04-3478,,,,,03-0116-00,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
56,, , ,20161102,,,, ,Transitional Suburban,,East Newton North,Approved,Neighbourhood Concept Plan,1996
57,, , ,,,,, ,Transitional Suburban,20141022,East Newton North,Approved,Neighbourhood Concept Plan,1996
58,, , ,,,,, ,Existing Institution,,East Newton North,Approved,Neighbourhood Concept Plan,1996
59,20000725,Rezone from RA to CD & RF (B/L-12000); NCP from Townhouse to Compact Single Family & Single Family,R01-1440,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
60,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
61,, , ,,,,, ,Urban Residential,20130508,East Newton North,Approved,Neighbourhood Concept Plan,1996
62,, , ,,,,, ,Open Space/Park,,East Newton North,Approved,Neighbourhood Concept Plan,1996
63,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
64,20020708,Rezone from RA to RF and RF-12 (B/L-12000); NCP from Urban Residential to Compact Housing,R03-1062,,,,,02-0065-00,Urban Compact Housing,,East Newton North,Approved,Neighbourhood Concept Plan,1996
65,20030217,Rezone from A-1 to RF-12 & RF (B/L-12000); NCP from Transitional Suburban & Creek Preservation to Urban Residential & Urban Compact Housing,R04-1080,,,,,02-0171-00,Urban Residential,20130911,East Newton North,Approved,Neighbourhood Concept Plan,1996
66,20150727,Amended From Urban Residential to Urban Compact Housing, ,20150805,,,,7914-0305-00,Urban Compact Housing,20151103,East Newton North,Approved,Neighbourhood Concept Plan,1996
67,, , ,,,,, ,Transitional Suburban,20160427,East Newton North,Approved,Neighbourhood Concept Plan,1996
68,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
69,, , ,,,,, ,Transitional Suburban,,East Newton North,Approved,Neighbourhood Concept Plan,1996
70,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
71,, , ,,,,, ,Urban Residential,20130508,East Newton North,Approved,Neighbourhood Concept Plan,1996
72,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
73,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
74,, , ,,,,, ,Creek Preservation Area,,East Newton North,Approved,Neighbourhood Concept Plan,1996
75,, , ,,,,, ,Urban Residential,20141022,East Newton North,Approved,Neighbourhood Concept Plan,1996
76,, , ,,,,, ,Creek Preservation Area,,East Newton North,Approved,Neighbourhood Concept Plan,1996
77,20030217,Rezone from A-1 to RF-12 & RF (B/L-12000); NCP from Urban Residential & Transitional Suburban to Urban Compact Housing & Urban Residential,R04-1083,,,,,01-0234-00,Urban Compact Housing,20130911,East Newton North,Approved,Neighbourhood Concept Plan,1996
78,, , ,,,,, ,Urban Compact Housing,,East Newton North,Approved,Neighbourhood Concept Plan,1996
79,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
80,, , ,,,,, ,Transitional Suburban,,East Newton North,Approved,Neighbourhood Concept Plan,1996
81,, , ,,,,, ,Urban Residential,,East Newton North,Approved,Neighbourhood Concept Plan,1996
82,, , ,,,,, ,Transitional Suburban,,East Newton North,Approved,Neighbourhood Concept Plan,1996
83,, , ,,,,, ,Proposed Wet Detention Pond,,East Newton North,Approved,Neighbourhood Concept Plan,1996
