,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,20160627,Amended From Townhouses (max. 15 u.p.a.) to Single Family Small Lots,,,,,,7914-0178-00,Single Family Small Lots,20160802,East Newton South,Approved,Neighbourhood Concept Plan,1997
1,20010618,From Townhouse to Low Density Compact Housing,R02-1099,,10,,,01-0135-00,Low Density Compact Housing (max. 10 u.p.a.),,East Newton South,Approved,Neighbourhood Concept Plan,1997
2,20021007,From Townhouse to Low Density Compact Housing (Detention Pond),R03-2072,,,,,02-0172-00,Parks & Open Space,,East Newton South,Approved,Neighbourhood Concept Plan,1997
3,20060424,Rezone from RA to PA-1 (B/L-12000); NCP from Townhouse (15 upa) to Institutional,R06-959,,,,,01-0337-00,Institutional,,East Newton South,Approved,Neighbourhood Concept Plan,1997
4,, , ,,,,, ,Urban Single Family Residential,,East Newton South,Approved,Neighbourhood Concept Plan,1997
5,, , ,,,,, ,Urban Single Family Residential,,East Newton South,Approved,Neighbourhood Concept Plan,1997
6,, , ,,,,, ,Urban Single Family Residential,20121211,East Newton South,Approved,Neighbourhood Concept Plan,1997
7,, , ,,,,, ,Urban Single Family Residential,,East Newton South,Approved,Neighbourhood Concept Plan,1997
8,, , ,,,,, ,Urban Single Family Residential,,East Newton South,Approved,Neighbourhood Concept Plan,1997
9,, , ,,,,, ,Parks & Open Space,20140730,East Newton South,Approved,Neighbourhood Concept Plan,1997
10,, , ,,,,, ,Urban Single Family Residential,,East Newton South,Approved,Neighbourhood Concept Plan,1997
11,, , ,,,,, ,Urban Single Family Residential,,East Newton South,Approved,Neighbourhood Concept Plan,1997
12,,,,,,,,,Urban Single Family Residential,,East Newton South,Approved,Neighbourhood Concept Plan,1997
13,, , ,,,,, ,Urban Single Family Residential,20140721,East Newton South,Approved,Neighbourhood Concept Plan,1997
14,20030721,Rezone from RA to RF (B/L-12000),R03-1773,,,,,03-0065-00,Urban Single Family Residential,,East Newton South,Approved,Neighbourhood Concept Plan,1997
15,, , ,,,,, ,Urban Single Family Residential,,East Newton South,Approved,Neighbourhood Concept Plan,1997
16,, , ,,,,, ,Urban Single Family Residential,,East Newton South,Approved,Neighbourhood Concept Plan,1997
