,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,,,,20120529,,,,,Floodplain,20120529,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
1,,, ,,,,,,Buffer,,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
2,,, ,,,,,,Ice Rink,,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
3,,, ,,,,,,Proposed Business Park,,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
4,,, ,,,,,,Existing Business Park,,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
5,,, ,,,,,,Existing Business Park,,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
6,,, ,,,,,,Suburban Residential (1/2 acre),,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
7,,, ,20111115,,,,,Buffer,20111115,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
8,,,,20120529,,,,,Internal Access Connection,20120529,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
9,,, ,,,,,,Existing Business Park,,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
10,,, ,,,,,,Suburban Residential (1/2 acre),,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
11,,, ,,,,,,Residential Style Business Park,,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
12,,, ,,,,,,Emergency/Pedestrian Access,,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
13,,,,20120529,,,,,Floodplain,20120529,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
14,,, ,,,,,,Gas Station,,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
15,,, ,,,,,,Proposed Business Park,20111115,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
16,,,,20120529,,,,,Internal Access Connection,20120529,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
17,,,,20120529,,,,,Internal Access Connection,20120529,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
18,,,,20120529,,,,,Internal Access Connection,20120529,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
19,,, ,,,,,,Proposed Business Park,,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
20,,, ,,,,,,Park,,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
