,COMMENTS,ECOLOGICAL_SIGNIFICANCE,HECTARES,ID,NAME,TYPE
0,n/a,48,3.32385345,4503,n/a,n/a
1,n/a,36,0.29639284,5744,n/a,n/a
2,n/a,46,1.38496606,5757,n/a,n/a
3,n/a,42,0.38811016,7533,n/a,n/a
4,n/a,52,0.50432197,7910,n/a,n/a
5,n/a,43,7.89475934,1656,n/a,n/a
6,n/a,46,0.86509802,3994,n/a,n/a
7,n/a,46,1.32004963,4571,n/a,n/a
8,n/a,36,0.38301723,3999,n/a,n/a
9,n/a,40,0.41197125,4753,n/a,n/a
10,n/a,48,1.15238009,5644,n/a,n/a
11,n/a,38,1.21150613,6621,n/a,n/a
12,n/a,34,0.45187978,5768,n/a,n/a
13,n/a,38,3.55737112,7471,n/a,n/a
14,n/a,36,1.75539526,8008,n/a,n/a
15,n/a,36,0.31616411,8048,n/a,n/a
16,n/a,38,1.91071998,8159,n/a,n/a
17,n/a,42,0.64688315,8130,n/a,n/a
18,n/a,40,2.17204208,8089,n/a,n/a
19,n/a,38,2.7800801,8153,n/a,n/a
20,n/a,38,0.9579373600000001,1966,n/a,n/a
21,n/a,42,0.55581896,2075,n/a,n/a
22,n/a,36,0.85515869,2084,n/a,n/a
23,n/a,38,0.4453892,1565,n/a,n/a
24,n/a,44,2.60346572,1963,n/a,n/a
25,n/a,36,0.30829403,3859,n/a,n/a
26,n/a,48,1.17179217,3881,n/a,n/a
27,n/a,43,3.7948346,3876,n/a,n/a
28,n/a,36,1.24560984,4065,n/a,n/a
29,n/a,46,0.55352353,4300,n/a,n/a
30,n/a,48,0.30262406000000003,3990,n/a,n/a
31,n/a,46,1.55352238,4071,n/a,n/a
32,n/a,48,2.43303399,0,n/a,n/a
33,n/a,42,0.60605861,5857,n/a,n/a
34,n/a,40,0.33918271,7657,n/a,n/a
35,n/a,40,0.7872992400000001,7028,n/a,n/a
36,n/a,32,3.03999827,8027,n/a,n/a
37,n/a,39,1.70515371,7911,n/a,n/a
38,n/a,36,0.91942175,8155,n/a,n/a
39,n/a,38,2.71951325,8182,n/a,n/a
40,n/a,36,0.27070882,1265,n/a,n/a
41,n/a,42,1.76937764,2238,n/a,n/a
42,n/a,50,3.18591748,1925,n/a,n/a
43,n/a,42,0.26008974,3288,n/a,n/a
44,n/a,38,1.5785909,3782,n/a,n/a
45,n/a,56,2.98617264,3719,n/a,n/a
46,n/a,48,0.56742825,3670,n/a,n/a
47,n/a,52,0.31168819000000003,3158,n/a,n/a
48,n/a,36,1.30453034,4965,n/a,n/a
49,n/a,36,0.77032894,5531,n/a,n/a
50,n/a,59,3.15363193,8079,n/a,n/a
51,n/a,46,2.9238795,8101,n/a,n/a
52,n/a,46,2.41467996,1349,n/a,n/a
53,n/a,38,0.66816887,2268,n/a,n/a
54,n/a,50,1.65131146,5932,n/a,n/a
55,n/a,46,1.72471146,4732,n/a,n/a
56,n/a,40,1.45426522,7676,n/a,n/a
57,n/a,38,1.0828998300000001,7229,n/a,n/a
58,n/a,40,0.60649925,7048,n/a,n/a
59,n/a,50,1.1755699800000001,8006,n/a,n/a
60,n/a,52,2.52271473,722,n/a,n/a
61,n/a,55,1.48764176,517,n/a,n/a
62,n/a,40,1.61720347,1498,n/a,n/a
63,n/a,36,1.04736511,1318,n/a,n/a
64,n/a,42,0.33929409,891,n/a,n/a
65,n/a,34,3.6147287,1374,n/a,n/a
66,n/a,42,0.9128134800000001,973,n/a,n/a
67,n/a,38,3.51997028,4734,n/a,n/a
68,n/a,42,4.71227299,6849,n/a,n/a
69,n/a,44,1.12772708,7552,n/a,n/a
70,n/a,44,0.50539519,7425,n/a,n/a
71,n/a,42,2.10072332,7948,n/a,n/a
72,n/a,38,0.68923497,7893,n/a,n/a
73,n/a,40,0.46458971,149,n/a,n/a
74,n/a,53,3.96875862,180,n/a,n/a
75,n/a,52,1.17172905,664,n/a,n/a
76,n/a,46,0.55517814,2098,n/a,n/a
77,n/a,36,2.27492574,4048,n/a,n/a
78,n/a,38,1.32569083,7654,n/a,n/a
79,n/a,40,0.62409668,6957,n/a,n/a
80,n/a,47,1.32906755,6882,n/a,n/a
81,n/a,42,0.50013154,7026,n/a,n/a
82,n/a,42,1.82451685,1856,n/a,n/a
83,n/a,60,1.29953064,2876,n/a,n/a
84,n/a,42,0.75123044,3018,n/a,n/a
85,n/a,38,0.26236513,3192,n/a,n/a
86,n/a,34,1.29105242,4423,n/a,n/a
87,n/a,41,4.9504706800000005,4812,n/a,n/a
88,n/a,38,0.49446353,6556,n/a,n/a
89,n/a,42,0.34555704,6651,n/a,n/a
90,n/a,38,0.77772094,5948,n/a,n/a
91,n/a,40,0.79971811,7155,n/a,n/a
92,n/a,51,6.6701651,7331,n/a,n/a
93,n/a,36,0.47546263,3611,n/a,n/a
94,n/a,48,0.32940584,4258,n/a,n/a
95,n/a,34,0.34825364000000003,5256,n/a,n/a
96,n/a,37,2.51161765,6164,n/a,n/a
97,n/a,44,0.29712169,6142,n/a,n/a
98,n/a,39,4.68980074,7274,n/a,n/a
99,n/a,46,1.22428787,7638,n/a,n/a
100,n/a,46,5.4666968,7872,n/a,n/a
101,n/a,48,0.31340454,8035,n/a,n/a
102,n/a,34,0.96221139,8141,n/a,n/a
103,n/a,49,2.85524356,1151,n/a,n/a
104,n/a,38,0.48522139000000003,1149,n/a,n/a
105,n/a,36,0.2715936,1599,n/a,n/a
106,n/a,38,1.00496839,2035,n/a,n/a
107,n/a,42,2.49975159,1658,n/a,n/a
108,n/a,44,1.00719033,3877,n/a,n/a
109,n/a,40,2.00186855,4237,n/a,n/a
110,n/a,36,0.3484724,4407,n/a,n/a
111,n/a,36,0.53499134,4726,n/a,n/a
112,n/a,36,0.30486449,4400,n/a,n/a
113,n/a,38,0.47434302,4064,n/a,n/a
114,n/a,48,0.37928373,4713,n/a,n/a
115,n/a,44,0.83468213,4628,n/a,n/a
116,n/a,44,0.45985444000000003,5389,n/a,n/a
117,n/a,38,0.37317932,5006,n/a,n/a
118,n/a,48,0.53683932,5182,n/a,n/a
119,n/a,46,0.46165643,5477,n/a,n/a
120,n/a,52,0.90479412,6729,n/a,n/a
121,n/a,34,1.04071913,5882,n/a,n/a
122,n/a,38,0.9159170400000001,7296,n/a,n/a
123,n/a,40,1.57917901,7355,n/a,n/a
124,n/a,36,3.96214482,8037,n/a,n/a
125,n/a,44,0.51795865,7967,n/a,n/a
126,n/a,32,0.76756716,8117,n/a,n/a
127,n/a,36,0.5990313700000001,1122,n/a,n/a
128,n/a,44,0.74463997,1530,n/a,n/a
129,n/a,48,0.61541166,2045,n/a,n/a
130,n/a,38,0.29553838,1721,n/a,n/a
131,n/a,32,0.44461833,2251,n/a,n/a
132,n/a,44,0.5181856300000001,2611,n/a,n/a
133,n/a,46,2.7167797,4226,n/a,n/a
134,n/a,44,2.72334486,4255,n/a,n/a
135,n/a,40,1.21010132,6645,n/a,n/a
136,n/a,34,0.28688215,8078,n/a,n/a
137,n/a,34,0.39263332,8064,n/a,n/a
138,n/a,32,0.50067313,8183,n/a,n/a
139,n/a,42,1.36838403,1296,n/a,n/a
140,n/a,34,0.49447451000000003,1981,n/a,n/a
141,n/a,34,0.8163715,1820,n/a,n/a
142,n/a,46,0.65736264,1516,n/a,n/a
143,n/a,56,0.32006775,3186,n/a,n/a
144,n/a,38,0.49616629,4397,n/a,n/a
145,n/a,46,0.76951379,4199,n/a,n/a
146,n/a,38,0.57022586,5740,n/a,n/a
147,n/a,38,1.4250589599999999,7072,n/a,n/a
148,n/a,36,0.8205063100000001,7645,n/a,n/a
149,n/a,34,0.40489833000000003,7832,n/a,n/a
150,n/a,54,5.27744991,524,n/a,n/a
151,n/a,32,1.80212198,1057,n/a,n/a
152,n/a,50,1.3374008800000001,861,n/a,n/a
153,n/a,48,2.72244808,1983,n/a,n/a
154,n/a,42,0.98184268,2264,n/a,n/a
155,n/a,40,1.19682013,2130,n/a,n/a
156,n/a,40,1.33475568,1510,n/a,n/a
157,n/a,36,1.04592823,1591,n/a,n/a
158,n/a,52,1.1398831600000001,2800,n/a,n/a
159,n/a,34,0.96697216,6580,n/a,n/a
160,n/a,42,0.2779854,6859,n/a,n/a
161,n/a,46,0.31380651,7962,n/a,n/a
162,n/a,46,0.45383015,8115,n/a,n/a
163,n/a,40,0.39718964,718,n/a,n/a
164,n/a,36,6.19757208,1372,n/a,n/a
165,n/a,53,1.68891079,872,n/a,n/a
166,n/a,48,0.29388935,893,n/a,n/a
167,n/a,44,1.12157428,6201,n/a,n/a
168,n/a,42,2.2841862,7060,n/a,n/a
169,n/a,40,1.45860432,7442,n/a,n/a
170,n/a,34,2.19302206,7653,n/a,n/a
171,n/a,38,0.37708495000000003,7499,n/a,n/a
172,n/a,48,0.69162452,766,n/a,n/a
173,n/a,38,2.36033095,518,n/a,n/a
174,n/a,34,0.95046682,3831,n/a,n/a
175,n/a,38,2.88120895,5576,n/a,n/a
176,n/a,38,1.03089846,5265,n/a,n/a
177,n/a,42,1.22291084,7195,n/a,n/a
178,n/a,36,0.75015547,7422,n/a,n/a
179,n/a,40,0.62128022,1598,n/a,n/a
180,n/a,52,0.49579165000000003,1716,n/a,n/a
181,n/a,38,0.69434902,5320,n/a,n/a
182,n/a,40,2.15498783,7432,n/a,n/a
183,n/a,46,0.38016349,6108,n/a,n/a
184,n/a,38,0.32619471,7782,n/a,n/a
185,n/a,36,1.6674919300000002,1239,n/a,n/a
186,n/a,36,0.6838489600000001,1619,n/a,n/a
187,n/a,36,0.50057731,4724,n/a,n/a
188,n/a,41,3.3002621,5110,n/a,n/a
189,n/a,36,2.32740295,5131,n/a,n/a
190,n/a,40,0.47313615000000003,5069,n/a,n/a
191,n/a,36,0.70500264,6592,n/a,n/a
192,n/a,36,0.38989236,5838,n/a,n/a
193,n/a,40,1.44851561,6176,n/a,n/a
194,n/a,48,7.8319718,7813,n/a,n/a
195,n/a,38,0.91909639,8054,n/a,n/a
196,n/a,50,0.50619176,7881,n/a,n/a
197,n/a,40,4.5550816,8012,n/a,n/a
198,n/a,32,0.5845385200000001,1186,n/a,n/a
199,n/a,36,1.3950772900000001,834,n/a,n/a
200,n/a,41,1.9153474,864,n/a,n/a
201,n/a,50,5.26120829,1596,n/a,n/a
202,n/a,44,1.61974175,1535,n/a,n/a
203,n/a,32,2.91677638,3878,n/a,n/a
204,n/a,32,1.3644583,3946,n/a,n/a
205,n/a,48,1.14793385,4062,n/a,n/a
206,n/a,36,0.99501793,5156,n/a,n/a
207,n/a,50,0.76683424,5601,n/a,n/a
208,n/a,36,0.71839281,7464,n/a,n/a
209,n/a,36,0.39249128,8010,n/a,n/a
210,n/a,36,2.92578721,8116,n/a,n/a
211,n/a,42,1.39195829,8158,n/a,n/a
212,n/a,36,0.39502835000000003,1584,n/a,n/a
213,n/a,40,3.5439693,1890,n/a,n/a
214,n/a,32,2.15127765,2242,n/a,n/a
215,n/a,46,1.5896420199999999,4146,n/a,n/a
216,n/a,48,0.40810268,4144,n/a,n/a
217,n/a,34,3.45361772,4186,n/a,n/a
218,n/a,42,0.36848711,4020,n/a,n/a
219,n/a,38,1.15549447,5968,n/a,n/a
220,n/a,36,0.69679797,6220,n/a,n/a
221,n/a,40,0.40006264,7374,n/a,n/a
222,n/a,40,0.46833549,6980,n/a,n/a
223,n/a,34,0.27908614,7971,n/a,n/a
224,n/a,36,0.84403574,8000,n/a,n/a
225,n/a,32,2.67345506,7999,n/a,n/a
226,n/a,36,0.40117467,8086,n/a,n/a
227,n/a,34,0.79131352,0,n/a,n/a
228,n/a,36,1.9726360600000001,2216,n/a,n/a
229,n/a,38,0.34881222,2060,n/a,n/a
230,n/a,38,0.53124828,2161,n/a,n/a
231,n/a,44,2.85138574,2137,n/a,n/a
232,n/a,42,0.60702861,2623,n/a,n/a
233,n/a,48,0.37035739,3998,n/a,n/a
234,n/a,42,1.5017053200000001,4839,n/a,n/a
235,n/a,42,1.31624441,6128,n/a,n/a
236,n/a,46,0.60435058,6120,n/a,n/a
237,n/a,30,0.34231874,7135,n/a,n/a
238,n/a,40,0.37846057,7939,n/a,n/a
239,n/a,44,2.36593155,633,n/a,n/a
240,n/a,38,0.31143589,667,n/a,n/a
241,n/a,38,0.83742669,456,n/a,n/a
242,n/a,48,0.45125378,702,n/a,n/a
243,n/a,44,2.59241105,1980,n/a,n/a
244,n/a,48,0.65747886,3685,n/a,n/a
245,n/a,34,0.4792596,6146,n/a,n/a
246,n/a,36,1.12633252,6137,n/a,n/a
247,n/a,44,7.87380055,7433,n/a,n/a
248,n/a,36,0.8545848500000001,7754,n/a,n/a
249,n/a,34,0.47841272,8068,n/a,n/a
250,n/a,40,5.46432252,1319,n/a,n/a
251,n/a,38,3.56915861,1226,n/a,n/a
252,n/a,48,0.5656678900000001,1661,n/a,n/a
253,n/a,63,6.80887418,2111,n/a,n/a
254,n/a,48,0.31453084000000003,1532,n/a,n/a
255,n/a,47,7.16152778,2068,n/a,n/a
256,n/a,46,0.6272061600000001,5259,n/a,n/a
257,n/a,32,1.2403950400000001,7842,n/a,n/a
258,n/a,34,0.37963359,7874,n/a,n/a
259,n/a,48,0.34291632,69,n/a,n/a
260,n/a,40,5.64879595,121,n/a,n/a
261,n/a,48,4.79003608,613,n/a,n/a
262,n/a,48,0.36460964,763,n/a,n/a
263,n/a,56,0.60671856,733,n/a,n/a
264,n/a,34,2.44722334,1240,n/a,n/a
265,n/a,43,6.3187387600000005,2296,n/a,n/a
266,n/a,46,1.31386942,2087,n/a,n/a
267,n/a,42,6.07388282,2642,n/a,n/a
268,n/a,40,1.28698683,5698,n/a,n/a
269,n/a,36,1.15936383,7401,n/a,n/a
270,n/a,34,3.63017895,5507,n/a,n/a
271,n/a,42,1.31999357,7426,n/a,n/a
272,n/a,38,0.83712635,7452,n/a,n/a
273,n/a,42,0.28727097,7185,n/a,n/a
274,n/a,63,7.14910292,7287,n/a,n/a
275,n/a,38,2.07933563,0,n/a,n/a
276,n/a,51,7.36237356,1393,n/a,n/a
277,n/a,47,2.02133782,1657,n/a,n/a
278,n/a,42,0.51179466,1761,n/a,n/a
279,n/a,36,1.55292135,4728,n/a,n/a
280,n/a,47,1.36313256,7436,n/a,n/a
281,n/a,44,0.59506852,6133,n/a,n/a
282,n/a,38,0.28491546,6714,n/a,n/a
283,n/a,38,0.64082898,7322,n/a,n/a
284,n/a,42,0.61668363,7278,n/a,n/a
285,n/a,42,1.38784406,1723,n/a,n/a
286,n/a,32,0.77693839,4110,n/a,n/a
287,n/a,38,0.2825093,3898,n/a,n/a
288,n/a,38,0.53322339,5221,n/a,n/a
289,n/a,36,0.54130372,5480,n/a,n/a
290,n/a,38,0.7452936800000001,5007,n/a,n/a
291,n/a,34,0.31273047,6606,n/a,n/a
292,n/a,36,0.39227391,7855,n/a,n/a
293,n/a,48,0.39943531,8005,n/a,n/a
294,n/a,40,0.83907336,8016,n/a,n/a
295,n/a,38,1.04908006,8151,n/a,n/a
296,n/a,36,0.8754252,1256,n/a,n/a
297,n/a,36,0.88765423,1045,n/a,n/a
298,n/a,36,0.59958141,1070,n/a,n/a
299,n/a,36,0.63744213,1093,n/a,n/a
300,n/a,36,0.67388357,1131,n/a,n/a
301,n/a,51,3.52493018,1038,n/a,n/a
302,n/a,57,7.03687424,1588,n/a,n/a
303,n/a,44,0.55742347,1488,n/a,n/a
304,n/a,48,0.27831045,2112,n/a,n/a
305,n/a,42,0.28561331,3638,n/a,n/a
306,n/a,34,1.05411699,4542,n/a,n/a
307,n/a,36,0.33438548,4496,n/a,n/a
308,n/a,46,0.91476566,4410,n/a,n/a
309,n/a,38,2.86954699,4867,n/a,n/a
310,n/a,46,0.52131908,4309,n/a,n/a
311,n/a,52,1.1765443,4059,n/a,n/a
312,n/a,36,1.5665205,4505,n/a,n/a
313,n/a,46,0.93404007,4057,n/a,n/a
314,n/a,50,1.15621122,4766,n/a,n/a
315,n/a,48,0.3282102,5190,n/a,n/a
316,n/a,46,1.29579245,5033,n/a,n/a
317,n/a,36,5.28463808,6656,n/a,n/a
318,n/a,34,0.25495674,6464,n/a,n/a
319,n/a,38,0.43824913,7622,n/a,n/a
320,n/a,38,5.41018059,7306,n/a,n/a
321,n/a,43,5.06301589,8146,n/a,n/a
322,n/a,41,1.54630301,983,n/a,n/a
323,n/a,36,1.01943439,1107,n/a,n/a
324,n/a,39,1.39004722,1056,n/a,n/a
325,n/a,36,0.71959804,2079,n/a,n/a
326,n/a,42,0.6086353800000001,4463,n/a,n/a
327,n/a,36,0.60776535,3941,n/a,n/a
328,n/a,48,2.32774921,4566,n/a,n/a
329,n/a,44,2.70578544,4412,n/a,n/a
330,n/a,36,0.27835787,4308,n/a,n/a
331,n/a,40,0.91669489,4073,n/a,n/a
332,n/a,38,0.94699428,5666,n/a,n/a
333,n/a,40,0.68753024,6471,n/a,n/a
334,n/a,34,0.96527852,1323,n/a,n/a
335,n/a,42,1.3003823300000001,2101,n/a,n/a
336,n/a,32,0.67985579,1507,n/a,n/a
337,n/a,38,1.04174591,1659,n/a,n/a
338,n/a,38,1.13194687,3353,n/a,n/a
339,n/a,42,0.34695466,3794,n/a,n/a
340,n/a,22,0.8332591300000001,0,n/a,n/a
341,n/a,34,3.33092943,4377,n/a,n/a
342,n/a,48,0.33114518,4201,n/a,n/a
343,n/a,36,1.7386457,6144,n/a,n/a
344,n/a,36,0.27942475,7936,n/a,n/a
345,n/a,36,3.4615949,8030,n/a,n/a
346,n/a,36,0.89828031,8063,n/a,n/a
347,n/a,50,3.12555342,715,n/a,n/a
348,n/a,36,0.50261259,507,n/a,n/a
349,n/a,46,0.46491938,767,n/a,n/a
350,n/a,49,3.16246677,533,n/a,n/a
351,n/a,38,0.3714987,1432,n/a,n/a
352,n/a,48,1.09398627,3129,n/a,n/a
353,n/a,38,2.72162948,1632,n/a,n/a
354,n/a,40,0.49329182,2235,n/a,n/a
355,n/a,34,2.28451058,6753,n/a,n/a
356,n/a,36,1.36130902,6004,n/a,n/a
357,n/a,47,5.2849571,6491,n/a,n/a
358,n/a,49,1.10546096,8015,n/a,n/a
359,n/a,46,1.7508781500000001,8026,n/a,n/a
360,n/a,42,0.44427324,8110,n/a,n/a
361,n/a,42,1.7492957,413,n/a,n/a
362,n/a,44,6.57678954,848,n/a,n/a
363,n/a,46,0.34399897,621,n/a,n/a
364,n/a,55,3.06876912,1662,n/a,n/a
365,n/a,46,1.10015074,1614,n/a,n/a
366,n/a,38,0.3270052,4516,n/a,n/a
367,n/a,40,0.9589760700000001,4733,n/a,n/a
368,n/a,34,0.7130560300000001,6174,n/a,n/a
369,n/a,38,0.2785718,6154,n/a,n/a
370,n/a,49,5.14221859,6245,n/a,n/a
371,n/a,46,0.93425353,6185,n/a,n/a
372,n/a,47,4.3066815,6867,n/a,n/a
373,n/a,45,1.80789817,7515,n/a,n/a
