,CRE_DATE,HALL_NUMBER,MOD_DATE,RESPONSE_ZONE
0,,Hall02,,SD01
1,,Hall01,,40B
2,,Hall02,,9A
3,,Hall12,,130B
4,,Hall12,,120B
5,,Hall11,,60AD
6,,Hall01,,40D
7,,Hall01,,30AA
8,,Hall02,,20D
9,,Hall12,,101C
10,,Hall02,,1C
11,,Hall12,,121A
12,,Hall12,,111D
13,,Hall17,,91C
14,,Hall10,,61D
15,,Hall02,20180209,11AC
16,,Hall02,20180209,21AB
17,,Hall12,,101AD
18,,Hall09,,82BC
19,,Hall01,,32C
20,,Hall13,,113C
21,,Hall09,,53C
22,,Hall06,,33AB
23,,Hall04,,13AB
24,,Hall17,,103D
25,,Hall17,,93A
26,,Hall09,,63D
27,,Hall09,,63AB
28,,Hall09,,53BD
29,,Hall06,,53A
30,,Hall06,,33D
31,,Hall04,,13AD
32,,Hall06,,23D
33,,Hall13,,124C
34,,Hall17,,94C
35,,Hall04,,4B
36,,Hall13,,145B
37,,Hall13,,124AB
38,,Hall13,,124AA
39,,Hall08,,84A
40,,Hall09,,64D
41,,Hall09,,64A
42,,Hall04,,14AB
43,,Hall13,,135A
44,,Hall14,,125A
45,,Hall14,,125D
46,,Hall14,,115D
47,,Hall08,,85A
48,,Hall09,,65C
49,,Hall18,,45A
50,,Hall05,,5B
51,,Hall05,,5D
52,,Hall14,,115AA
53,,Hall18,,56A
54,,Hall05,,16C
55,,Hall05,,26B
56,,Hall05,,6B
57,,Hall14,,106AD
58,,Hall14,,106AB
59,,Hall08,,96D
60,,Hall08,,96A
61,,Hall08,,86D
62,,Hall08,,76D
63,,Hall08,,76AD
64,,Hall18,,56AB
65,,Hall18,,46A
66,,Hall18,,46AD
67,,Hall05,,6D
68,,Hall14,,137B
69,,Hall14,,127B
70,,Hall14,,117B
71,,Hall08,,97C
72,,Hall08,,77A
73,,Hall05,,17A
74,,Hall05,,7C
75,,Hall14,,107A
76,,Hall15,,77AA
77,,Hall15,,67AA
78,,Hall15,,57BA
79,,Hall05,,47A
80,,Hall18,,47D
81,,Hall05,,38B
82,,Hall14,,148D
83,,Hall15,,98A
84,,Hall15,,88D
85,,Hall05,,38C
86,,Hall05,,28AC
87,,Hall05,,28AA
88,,Hall14,,149D
89,,Hall14,,129B
90,,Hall14,,129C
91,,Hall14,,119A
92,,Hall14,,99C
93,,Hall14,,109A
94,,Hall15,,89D
95,,Hall15,,89B
96,,Hall15,,69C
97,,Hall15,,59A
98,,Hall15,,49B
