,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,,,,20160205,,,,,HABITAT CORRIDOR,20160205,Fleetwood Enclave,Approved,Neighbourhood Concept Plan,2013
1,,,,20130320,4,,UPA,,LOW DENSITY CLUSTER 4 U.P.A,20160205,Fleetwood Enclave,Approved,Neighbourhood Concept Plan,2013
2,,,,20130320,4,,UPA,,1/4 ACRE GROSS DENSITY 4 U.P.A.,20171212,Fleetwood Enclave,Approved,Neighbourhood Concept Plan,2013
3,,,,20130320,,,,,EXISTING PARKLAND BUFFER,20130320,Fleetwood Enclave,Approved,Neighbourhood Concept Plan,2013
4,,,,20130320,4,,UPA,,1/4 ACRE GROSS DENSITY 4 U.P.A.,20171212,Fleetwood Enclave,Approved,Neighbourhood Concept Plan,2013
5,,,,20170518,,,,,HABITAT CORRIDOR,20130320,Fleetwood Enclave,Approved,Neighbourhood Concept Plan,2013
6,,,,20130320,5,,UPA,,LOW-MED DENSITY CLUSTER 5 U.P.A,20160205,Fleetwood Enclave,Approved,Neighbourhood Concept Plan,2013
7,,,,20130320,2,,UPA,,EXISTING SUBURBAN CLUSTER 2 U.P.A.,20130320,Fleetwood Enclave,Approved,Neighbourhood Concept Plan,2013
8,,,,20130320,,,,,PROPOSED GREEN ROAD (SPECIAL STANDARD),20171212,Fleetwood Enclave,Approved,Neighbourhood Concept Plan,2013
9,,,,20130320,4,,UPA,,LOW DENSITY CLUSTER 4 U.P.A,20130320,Fleetwood Enclave,Approved,Neighbourhood Concept Plan,2013
10,,,,20130320,,,,,HABITAT CORRIDOR,20170518,Fleetwood Enclave,Approved,Neighbourhood Concept Plan,2013
11,,,,20130320,4,,UPA,,1/4 ACRE GROSS DENSITY 4 U.P.A.,20130320,Fleetwood Enclave,Approved,Neighbourhood Concept Plan,2013
12,,,,20130320,,,,,PROPOSED ROAD COLLECTOR,20130320,Fleetwood Enclave,Approved,Neighbourhood Concept Plan,2013
13,,,,20130320,4,,UPA,,LOW DENSITY CLUSTER 4 U.P.A,20130320,Fleetwood Enclave,Approved,Neighbourhood Concept Plan,2013
