,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,,, ,20160802,,,,,Single Family Urban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
1,,, ,20160802,,,,,Low Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
2,,, ,,,,,,Highway Commercial,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
3,,, ,20160802,,,,,Low Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
4,,, ,,,,,,Single Family Urban,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
5,,, ,20160802,,,,,Single Family Urban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
6,,, ,20160802,,,,,Single Family Urban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
7,,, ,20160802,,,,,Low Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
8,,, ,,,,,,Buffer Within Private Land,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
9,,, ,20160802,,,,,Apartment and Medium Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
10,,, ,,,,,,Low Density Townhouses,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
11,,, ,,,,,,Highway Commercial,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
12,,, ,20160802,1.5,,FAR,,Commercial 1.5 FAR,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
13,,, ,20160802,,,,,Parks & Linear Corridors,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
14,,, ,20160802,2.5,,FAR,,Mixed Use 2.5 FAR 6 Storey Maximum,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
15,,, ,20160802,2.5,,FAR,,Mixed Use 2.5 FAR 6 Storey Maximum,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
16,,, ,,,,,,Community Commercial,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
17,,, ,20160802,,,,,Institutional,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
18,,, ,20160802,2.5,,FAR,,Mixed Use 2.5 FAR 6 Storey Maximum,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
19,,, ,20160802,,,,,4 Storey Maximum,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
20,,, ,20160802,1.5,,FAR,,Apartment 1.5 FAR 4 Storey Maximum,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
21,,, ,20160802,,,,,Parks & Linear Corridors,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
22,,, ,,,,,,Parks & Linear Corridors,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
23,,, ,20160802,2.5,,FAR,,Mixed Use 2.5 FAR 6 Storey Maximum,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
24,,, ,,,,,,Low Density Townhouses,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
25,,, ,,,,,,Single Family Urban,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
26,,Highway Commercial TO Medium Density Townhouses,R11-1441,20160802,,,,,Medium Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
27,,, ,20160802,,,,,Apartment and Medium Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
28,20030414,,R03-2584,20160802,,,,,Single Family Urban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
29,,, ,20160802,,,,,Parks & Linear Corridors,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
30,,, ,20160802,,,,,Medium Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
31,,, ,20160802,,,,,Single Family Urban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
32,,, ,20160602,,,,,Parks & Linear Corridors,20160602,Fleetwood Town Centre,Approved,Town Centre Plan,2000
33,,, ,20150805,,,,,Single Family Urban,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
34,,, ,20150805,,,,,Medium Density Townhouses,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
35,,, ,20150805,,,,,Buffer Within Private Land,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
36,,, ,20160802,,,,,Medium Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
37,,, ,,,,,,Single Family Urban,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
38,,, ,20160802,,,,,Parks & Linear Corridors,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
39,,, ,,,,,,Parks & Linear Corridors,20130131,Fleetwood Town Centre,Approved,Town Centre Plan,2000
40,,, ,20160802,,,,,Single Family Urban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
41,,, ,,,,,,Single Family Urban,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
42,,, ,20130318,,,,,Single Family Urban,20130318,Fleetwood Town Centre,Approved,Town Centre Plan,2000
43,,, ,,,,,,Single Family Urban,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
44,,, ,20160802,,,,,Single Family Urban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
45,,, ,20160802,,,,,Single Family Urban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
46,,, ,,,,,,Single Family Urban,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
47,,, ,20160802,,,,,Single Family Urban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
48,,, ,20160802,,,,,Low Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
49,,, ,,,,,,Single Family Urban,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
50,,, ,,,,,,Medium Density Townhouses,20130705,Fleetwood Town Centre,Approved,Town Centre Plan,2000
51,,, ,20160802,,,,,Apartment and Medium Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
52,,, ,20160802,,,,,Buffer Within Private Land,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
53,,, ,,,,,,Buffer Within Private Land,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
54,,, ,,,,,,Institutional,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
55,,, ,20160802,,,,,Institutional,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
56,,, ,,,,,,Low Density Townhouses,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
57,20031201,,R04-395,,,,,,Apartment and Medium Density Townhouses,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
58,,, ,,,,,,Institutional,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
59,,, ,20160802,,,,,Apartment and Medium Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
60,,, ,,,,,,Apartment and Medium Density Townhouses,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
61,,, ,,,,,,Apartment and Medium Density Townhouses,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
62,,, ,20160802,,,,,Commercial Frontage Required,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
63,,, ,20160802,,,,,Commercial Frontage Required,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
64,,, ,20160802,,,,,Commercial Frontage Required,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
65,,, ,20160802,,,,,Buffer Within Private Land,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
66,,, ,20160802,,,,,Commercial Frontage Required,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
67,,, ,,,,,,Single Family Urban,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
68,,, ,20160802,,,,,Single Family Urban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
69,,, ,20160802,1.5,,FAR,,Commercial 1.5 FAR,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
70,,, ,,,,,,Single Family Urban,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
71,,, ,20160802,,,,,Medium Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
72,,, ,20160802,,,,,Buffer Within Private Land,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
73,,, ,20160802,,,,,Medium Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
74,,, ,20160802,,,,,Single Family Urban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
75,,, ,,,,,,Multiuse Corridor/Landscape Buffer,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
76,20150727,Amended See Corporate Report L004,,20160802,,,,6520-20,Medium Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
77,,, ,,,,,,Parks & Linear Corridors,20130318,Fleetwood Town Centre,Approved,Town Centre Plan,2000
78,,, ,20160802,,,,,Single Family Urban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
79,,, ,,,,,,Industrial,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
80,,, ,20160802,1.5,,FAR,,Commercial 1.5 FAR,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
81,,, ,,,,,,Single Family Urban,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
82,,, ,20160802,,,,,Single Family Urban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
83,,, ,,,,,,Single Family Urban,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
84,,, ,20160802,,,,,Single Family Urban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
85,,, ,,,,,,Single Family Urban,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
86,,, ,,,,,,Single Family Urban,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
87,,, ,20131113,,,,,Single Family Urban,20131113,Fleetwood Town Centre,Approved,Town Centre Plan,2000
88,,, ,20160802,,,,,Single Family Suburban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
89,,, ,,,,,,Parks & Linear Corridors,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
90,,, ,,,,,,Parks & Linear Corridors,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
91,,, ,,,,,,Single Family Urban,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
92,,, ,20160802,,,,,Single Family Urban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
93,,, ,20160802,,,,,Single Family Urban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
94,,, ,20160802,1.5,,FAR,,Commercial 1.5 FAR,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
95,,, ,,,,,,Multiuse Corridor/Landscape Buffer,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
96,,, ,,,,,,Buffer Within Private Land,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
97,,, ,,,,,,Low Density Townhouses,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
98,,, ,20160802,,,,,Low Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
99,,, ,20160802,,,,,Low Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
100,,, ,,,,,,Highway Commercial,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
101,,, ,20160802,,,,,Buffer Within Private Land,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
102,,, ,,,,,,Single Family Urban,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
103,,, ,,,,,,Low Density Townhouses,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
104,,, ,20160802,,,,,Low Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
105,,, ,20160802,,,,,Low Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
106,,, ,20160802,,,,,Low Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
107,,, ,20160802,,,,,Commercial Frontage Required,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
108,,, ,,,,,,Community Commercial,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
109,,, ,20160802,,,,,Commercial Frontage Required,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
110,,, ,,,,,,Parks & Linear Corridors,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
111,,, ,20160802,,,,,Commercial Frontage Required,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
112,,, ,,,,,,Highway Commercial,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
113,,, ,,,,,,Low Density Townhouses,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
114,,, ,20160802,,,,,Single Family Urban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
115,20030414,,R03-2584,,,,,,Single Family Urban,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
116,,, ,20160802,,,,,Medium Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
117,,, ,,,,,,Medium Density Townhouses,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
118,,, ,,,,,,Medium Density Townhouses,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
119,,, ,,,,,,Medium Density Townhouses,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
120,,, ,20160802,,,,,Medium Density Townhouses,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
121,20150727,Amended See Corporate Report L004, ,20150805,,,,6520-20,Single Family Urban,20150805,Fleetwood Town Centre,Approved,Town Centre Plan,2000
122,,, ,20160802,,,,,Single Family Suburban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
123,,, ,20150805,,,,,Single Family Urban,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
124,,, ,20160802,,,,,Parks & Linear Corridors,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
125,,, ,,,,,,Single Family Urban,20140514,Fleetwood Town Centre,Approved,Town Centre Plan,2000
126,,, ,,,,,,Single Family Urban,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
127,,, ,20160802,,,,,Single Family Urban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
128,,, ,,,,,,Single Family Urban,20130705,Fleetwood Town Centre,Approved,Town Centre Plan,2000
129,,, ,20160802,,,,,Single Family Urban,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
130,,, ,20160802,,,,,Buffer Within Private Land,,Fleetwood Town Centre,Stage 1 Approval,Town Centre Plan,
131,,, ,,,,,,Manufactured Homes,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
132,,, ,,,,,,Medium Density Townhouses,,Fleetwood Town Centre,Approved,Town Centre Plan,2000
