,BIKE_INFRASTRUCTURE_TYPE,COMMENTS,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,FACILITYID,HABITAT,INSERVICE_COST,INSERVICE_DATE,LENGTH,LOCATION,MATERIAL,OPERATOR,PROJECT_NO,ROUTE_TYPE2,STATUS,TREES_PLANTED,WIDTH,YR
0,Off-Street Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Colebrook Greenway,Greenway,1001402592,,,,,,Gravel,Engineering,,Multi-use Pathway,In Service,No,,2009
1,Boulevard Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Colebrook Greenway,Greenway,1001402490,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
2,,Part of the Trans Canada Trail,Multi-use,Newton Greenway,Greenway,1001402800,,,,,,Other,Parks,,Multi-use Pathway,Proposed,,,
3,,Part of the Trans Canada Trail,Multi-use,Colebrook Greenway,Greenway,1001403281,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
4,,,Multi-use,Riverside Greenway,Greenway,1001402865,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
5,Boulevard Separated Multi-Use Pathway,,Multi-use,Scott Greenway,Greenway,1001950809,,,,,,Asphalt,Engineering,1799-2230-00,Multi-use Pathway,In Service,No,,2001
6,Boulevard Separated Multi-Use Pathway,,Multi-use,Scott Greenway,Greenway,1001950806,,,,,,Asphalt,Engineering,1799-2230-00,Multi-use Pathway,In Service,No,,2001
7,,,Multi-use,King George Greenway,Greenway,1001402844,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
8,,,Multi-use,Colebrook Greenway,Greenway,1001402945,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
9,Off-Street Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Newton Greenway,Greenway,1001402521,,,,,,Asphalt,Parks,,Multi-use Pathway,In Service,,,2009
10,,Previous duplicate FACILITYID 1001402922,Multi-use,Interurban Greenway,Greenway,1001563801,,,,0,,Other,Engineering,,Multi-use Pathway,Proposed,,,
11,,Part of the Trans Canada Trail,Multi-use,Newton Greenway,Greenway,1001402936,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
12,Boulevard Separated Multi-Use Pathway,,Multi-use,BC Parkway,Greenway,1001859470,,,,,,Concrete,Engineering,3805-6070-00,Multi-use Pathway,In Service,No,,2009
13,Cycling-Permitted Sidewalk,,Multi-use,BC Parkway,Greenway,1001402198,,,,,,Concrete,Engineering,,Bike Route,In Service,No,,2009
14,Boulevard Multi-Use Pathway,,Multi-use,BC Parkway,Greenway,1001402311,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
15,Off-Street Multi-Use Pathway,,Multi-use,Nicomekl Greenway,Greenway,1001402216,,,,,,Gravel,Engineering,,Multi-use Pathway,In Service,No,,2009
16,Boulevard Multi-Use Pathway,,Multi-use,Pioneer Greenway,Greenway,1001402396,,,,,,Asphalt,Engineering,7805-0402-00,Multi-use Pathway,In Service,No,,2009
17,,,Multi-use,Nicomekl Greenway,Greenway,1001402847,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
18,Off-Street Multi-Use Pathway,,Multi-use,Pioneer Greenway,Greenway,1001402571,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
19,, ,Multi-use,Panorama Greenway,Greenway,1001419122,,,,,,,Engineering,,Multi-use Pathway,Proposed,,,
20,Off-Street Multi-Use Pathway,,Multi-use,Panorama Greenway,Greenway,1001951907,,,,,,Asphalt,Engineering,3816-6340-00,Multi-use Pathway,In Service,,,2017
21,, ,Multi-use,Newton Greenway,Greenway,1001721902,,,,,,Other,Engineering,,Multi-use Pathway,,,,
22,Off-Street Multi-Use Pathway,(lbob new) ,Multi-use,,Greenway,1001484940,,0,,,from south parking lot on 140 St to P28,Asphalt,Parks,,Multi-use Pathway,In Service,No,,2009
23,,,Multi-use,Quibble Creek Greenway,Greenway,1001699405,,,,25,,Other,,,Pedestrian Bridge,In Service,,,1997
24,,,Multi-use,Quibble Creek Greenway,Greenway,1001402819,,,,,,Asphalt,Engineering,,Multi-use Pathway,Proposed,No,,2009
25,Off-Street Multi-Use Pathway,,Multi-use,BC Parkway,Greenway,1001402514,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,,,
26,Off-Street Multi-Use Pathway,,Multi-use,Quibble Creek Greenway,Greenway,1001859271,,,,,,Asphalt,Engineering,3805-6070-00,Multi-use Pathway,In Service,,,2007
27,Off-Street Multi-Use Pathway,,Multi-use,Quibble Creek Greenway,Greenway,1001402471,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,,,
28,Off-Street Multi-Use Pathway,,Multi-use,Quibble Creek Greenway,Greenway,1001859364,,,,,,Asphalt,Parks,3805-6050-00,Multi-use Pathway,In Service,,,2007
29,Off-Street Multi-Use Pathway,,Multi-use,Bon Accord Greenway,Greenway,1001401997,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,,,
30,Off-Street Multi-Use Pathway,,Multi-use,Quibble Creek Greenway,Greenway,1001840382,,,,,,Asphalt,Engineering,3809-6100-00,Multi-use Pathway,In Service,,,2015
31,Off-Street Multi-Use Pathway,,Multi-use,Hawthorne Greenway,Greenway,1001422903,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
32,Bike Lanes, ,Multi-use,Bon Accord Greenway,Greenway,1001881014,,,,,,Other,Engineering,,Bike Route,In Service,,,
33,,,Multi-use,Hawthorne Greenway,Greenway,1001940777,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
34,Boulevard Separated Multi-Use Pathway,,Multi-use,Hawthorne Greenway,Greenway,1001753846,,,,,,Asphalt,Engineering,7812-0158-00,Multi-use Pathway,In Service,,,2016
35,Off-Street Multi-Use Pathway,,Multi-use,Port Mann Greenway,Greenway,1001732796,,,,,,,,MOTH Gateway E1,Multi-use Pathway,In Service,,,2015
36,Off-Street Multi-Use Pathway, ,Multi-use,Semiahmoo Trail,Greenway,1001402977,,,,,,Gravel,Engineering,,Multi-use Pathway,In Service,,,
37,,Previous duplicate FACILITYID 1001404828,Multi-use,Sunnyside Greenway,Greenway,1001563795,,,,0,,Other,Engineering,,Multi-use Pathway,Proposed,,,
38,Boulevard Multi-Use Pathway,,Multi-use,Rosemary Greenway,Greenway,1001723774,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
39,Boulevard Multi-Use Pathway, ,Multi-use,Wills Brook Greenway,Greenway,1001419313,,,,,,Asphalt,Engineering,7811-0062-00,Multi-use Pathway,In Service,,,2014
