,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,,, ,,,,,,Business Park/Light Industrial,20150330,Highway 99 Corridor,Approved,Local Area Plan,2004
1,,, ,,,,,,Commercial,,Highway 99 Corridor,Approved,Local Area Plan,2004
2,,, ,,,,,,Commercial,20150330,Highway 99 Corridor,Approved,Local Area Plan,2004
3,,, ,20150331,,,,,Commercial/Business Park,20150331,Highway 99 Corridor,Approved,Local Area Plan,2004
4,,, ,,,,,,Buffers,20150330,Highway 99 Corridor,Approved,Local Area Plan,2004
5,,, ,,,,,,Buffers,,Highway 99 Corridor,Approved,Local Area Plan,2004
6,,, ,,,,,,Business Park/Light Industrial,20150330,Highway 99 Corridor,Approved,Local Area Plan,2004
7,,, ,,,,,,Commercial,20150330,Highway 99 Corridor,Approved,Local Area Plan,2004
8,,, ,,,,,,Commercial/Business Park,,Highway 99 Corridor,Approved,Local Area Plan,2004
9,,, ,,,,,,Buffers,20150331,Highway 99 Corridor,Approved,Local Area Plan,2004
10,,, ,,,,,,Buffers,,Highway 99 Corridor,Approved,Local Area Plan,2004
11,,, ,,,,,,Commercial/Business Park,20150331,Highway 99 Corridor,Approved,Local Area Plan,2004
12,,, ,20150331,,,,,Business Park,20150331,Highway 99 Corridor,Approved,Local Area Plan,2004
13,,, ,,,,,,Commercial,20150330,Highway 99 Corridor,Approved,Local Area Plan,2004
14,,, ,,,,,,Business Park/Light Industrial,20150330,Highway 99 Corridor,Approved,Local Area Plan,2004
15,,, ,,,,,,Buffers,,Highway 99 Corridor,Approved,Local Area Plan,2004
16,,, ,,,,,,Habitat Preservation Area,20150331,Highway 99 Corridor,Approved,Local Area Plan,2004
17,,, ,20150330,,,,,Buffers,20150330,Highway 99 Corridor,Approved,Local Area Plan,2004
18,,, ,,,,,,Commercial/Business Park,,Highway 99 Corridor,Approved,Local Area Plan,2004
19,,, ,,,,,,Habitat Preservation Area,20150330,Highway 99 Corridor,Approved,Local Area Plan,2004
20,,, ,,,,,,Commercial,20150330,Highway 99 Corridor,Approved,Local Area Plan,2004
21,,, ,,,,,,Business Park,20130508,Highway 99 Corridor,Approved,Local Area Plan,2004
22,,, ,,,,,,Habitat Preservation Area,20150331,Highway 99 Corridor,Approved,Local Area Plan,2004
23,,, ,20150331,,,,,Business Park,20150331,Highway 99 Corridor,Approved,Local Area Plan,2004
24,,, ,,,,,,Habitat Preservation Area,20150330,Highway 99 Corridor,Approved,Local Area Plan,2004
25,,, ,20150330,,,,,Business Park/Light Industrial,20150330,Highway 99 Corridor,Approved,Local Area Plan,2004
26,,, ,,,,,,Commercial/Business Park,,Highway 99 Corridor,Approved,Local Area Plan,2004
27,,, ,,,,,,Business Park,20150331,Highway 99 Corridor,Approved,Local Area Plan,2004
28,,, ,20150331,,,,,Commercial/Business Park,20150331,Highway 99 Corridor,Approved,Local Area Plan,2004
29,,, ,,,,,,Buffers,,Highway 99 Corridor,Approved,Local Area Plan,2004
30,,, ,,,,,,Buffers,20150330,Highway 99 Corridor,Approved,Local Area Plan,2004
31,,, ,20150331,,,,,Habitat Preservation Area,20150331,Highway 99 Corridor,Approved,Local Area Plan,2004
32,,, ,,,,,,Habitat Preservation Area,20150331,Highway 99 Corridor,Approved,Local Area Plan,2004
33,,, ,,,,,,Mixed Commercial Residential,20150331,Highway 99 Corridor,Approved,Local Area Plan,2004
34,,, ,,,,,,Habitat Preservation Area,,Highway 99 Corridor,Approved,Local Area Plan,2004
35,,, ,,,,,,Habitat Preservation Area,,Highway 99 Corridor,Approved,Local Area Plan,2004
36,,, ,,,,,,Buffers,20150331,Highway 99 Corridor,Approved,Local Area Plan,2004
37,,, ,,,,,,Commercial,20150330,Highway 99 Corridor,Approved,Local Area Plan,2004
38,,, ,,,,,,Business Park/Light Industrial,,Highway 99 Corridor,Approved,Local Area Plan,2004
39,,, ,,,,,,Buffers,,Highway 99 Corridor,Approved,Local Area Plan,2004
40,,, ,,,,,,Buffers,,Highway 99 Corridor,Approved,Local Area Plan,2004
41,,, ,20150330,,,,,Buffers,20150330,Highway 99 Corridor,Approved,Local Area Plan,2004
