,SITE_NAME,TREE_SPECIES,TREE_STATUS,SIGNIFICANT_TREE_NO,HERITAGE_TREE_NO,HERITAGE_PLAQUE_NO,OWNER,CRE_DATE,MOD_DATE,Latitude,Longitude
0,Green Timbers RCMP E Division,European Ash,Operating,288,197,Group 9,Federal,,20110318,49.179344,-122.829397
1,Green Timbers RCMP E Division,Sugar Maple,Operating,289,198,Group 9,Federal,,20110318,49.179388,-122.829352
2,Green Timbers RCMP E Division,European Ash,Operating,290,199,Group 9,Federal,,20110318,49.179439,-122.829300
3,Green Timbers RCMP E Division,American Elm,Operating,291,200,Group 9,Federal,,20110318,49.179529,-122.829222
4,Green Timbers RCMP E Division,Red Maple,Operating,292,201,Group 9,Federal,,20110318,49.179673,-122.829076
5,Green Timbers RCMP E Division,London Plane,Operating,293,202,Group 9,Federal,,20110318,49.179898,-122.828870
6,Green Timbers RCMP E Division,Sugar Maple,Operating,294,203,Group 9,Federal,,20110318,49.179971,-122.828814
7,Surrey Nature Centre at Green Timbers,Dawn Redwood,Operating,264,173,Group 9,City of Surrey,,20110318,49.178776,-122.830244
8,King George Blvd - 2569,English Oak,Operating,351,Yes,,City of Surrey,20100224,20110318,49.048368,-122.797335
9,King George Blvd - 2571,English Oak,Operating,353,Yes,,City of Surrey,20100224,20110318,49.048569,-122.797593
10,King George Blvd - 2591,English Oak,Operating,354,Yes,,City of Surrey,20100224,20110318,49.048781,-122.797834
11,King George Blvd - 2641,English Oak,Operating,355,Yes,,City of Surrey,20100224,20110318,49.049621,-122.798883
12,King George Blvd - 2645,English Oak,Operating,356,Yes,,City of Surrey,20100224,20110318,49.049778,-122.799074
13,King George Blvd - 2649,English Oak,Operating,357,Yes,,City of Surrey,20100224,20110318,49.049934,-122.799274
14,King George Blvd - 2651,English Oak,Operating,359,Yes,,City of Surrey,20100224,20110318,49.050130,-122.799431
15,King George Blvd - 2655,English Oak,Operating,360,Yes,,City of Surrey,20100224,20110318,49.050370,-122.799739
16,King George Blvd - 2675,English Oak,Operating,363,Yes,,City of Surrey,20100224,20110318,49.050947,-122.800527
17,King George Blvd - 2428,English Oak,Operating,336,Yes,,City of Surrey,20100224,20110318,49.046121,-122.793991
18,King George Blvd - 2430,English Oak,Operating,337,Yes,,City of Surrey,20100224,20110318,49.046363,-122.794280
19,King George Blvd - 2460,English Oak,Operating,339,Yes,,City of Surrey,20100224,20110318,49.046803,-122.794775
