,CRE_DATE,LUC_TEXT,MOD_DATE
0,,L.U.C. 76,20160115
1,,L.U.C. 126,20160115
2,,L.U.C. 175,20160115
3,,L.U.C. 257,20171221
4,,L.U.C. 290,20160115
5,,L.U.C. 342,20160115
6,,L.U.C. 342,20160115
7,,L.U.C. 342,20160115
8,,L.U.C. 342,20160115
9,,L.U.C. 371,20160115
10,,L.U.C. 371,20160115
11,,L.U.C. 371,20160115
12,,L.U.C. 371,20160115
13,,L.U.C. 371,20160115
14,,L.U.C. 371,20160115
15,,L.U.C. 371,20160115
16,,L.U.C. 371,20160115
17,,L.U.C. 371,20160115
18,,L.U.C. 382,20180116
19,,L.U.C. 464,20180423
20,,L.U.C. 475,20160115
21,,L.U.C. 499,20160115
22,,L.U.C. 581,20160115
23,,L.U.C. 584,20160115
24,,L.U.C. 587,20171221
25,,L.U.C. 595,20180423
26,,L.U.C. 6,20160115
27,,L.U.C. 76,20160115
28,,L.U.C. 84,20160115
29,,L.U.C. 144,20180423
30,,L.U.C. 591,20160115
31,,L.U.C. 175,20160302
32,,L.U.C. 594,20160802
33,20170622,L.U.C. 171,20171211
34,20170711,L.U.C. 476,20171221
35,20170711,L.U.C. 336,20171211
36,20170808,L.U.C. 390,20170808
37,20170808,L.U.C. 465,20171211
38,20170808,L.U.C. 264,20171211
39,20170809,L.U.C. 220,20171221
40,,L.U.C. 290,20170811
41,20170808,L.U.C. 407,20171211
42,20170808,L.U.C. 421,20171221
43,,L.U.C. 291,20171221
44,20170810,L.U.C. 363,20171221
45,,L.U.C. 420,20180618
