,CRE_DATE,MOD_DATE,PLANID,PLAN_NO,PLAN_TYPE,PLAN_TYPE2,STATUS,YR
0,20080408,20080408,10595,EC-113-231,4,Right of Way,Early Copy,2008
1,20080408,20080408,10563,EC-055-148,4,Right of Way,Early Copy,2008
2,20080408,20080612,10495,BCP31545,4,Right of Way,Registered,2007
3,20080408,20080623,10456,EC-073-350,2,Explanatory,Early Copy,2008
4,20080408,20080408,10428,EC-010-194,4,Right of Way,Early Copy,2008
5,20080408,20080408,10432,EC-010-197,4,Right of Way,Early Copy,2008
6,20080408,20080408,10431,EC-010-196,4,Right of Way,Early Copy,2008
7,20120213,20150310,34689,BCP50055,4,Right of Way,Registered,2012
8,20070314,20080414,19454,BCS01320,9,Strata,Registered,2006
9,20080414,20080414,255,BCP13749,4,Right of Way,Registered,2004
10,20080414,20080414,9600,BCP17007,4,Right of Way,Registered,2004
11,20080414,20080414,10100,BCP26267,4,Right of Way,Registered,2006
12,20080414,20080414,9715,BCP23516,4,Right of Way,Registered,2006
13,20080627,20110404,21999,EPP00558,3,Reference Plan,Registered,2008
14,20080630,20080630,21994,EPP00329,3,Reference Plan,Registered,2008
15,20120206,20150310,34660,BCP50023,4,Right of Way,Registered,2011
16,20080630,20080630,21993,EPP00328,3,Reference Plan,Registered,2008
17,20120213,20150310,34696,BCP50015,4,Right of Way,Registered,2012
18,20120104,20150310,34644,BCP49980,4,Right of Way,Registered,2011
19,20150203,20150310,37124,EPS02078-01,9,Strata,Registered,2015
20,20110914,20110914,34436,EC-022-381,2,Explanatory,Early Copy,2011
21,20110914,20111024,34440,EPP14299,4,Right of Way,Registered,2011
22,20150206,20150310,37090,EPP48134,3,Reference Plan,Registered,2015
23,20150310,20150310,37205,EPP49381,3,Reference Plan,Registered,2015
24,20070828,20150310,10839,BCP30423,4,Right of Way,Registered,2007
25,20101026,20101213,33814,BCS00675-02,9,Strata,Registered,2010
26,20110105,20110105,33689,EPP05625,3,Reference Plan,Registered,2010
27,20110118,20110118,33996,EPP00200,3,Reference Plan,Registered,2010
28,20110105,20110105,33690,EPP05627,3,Reference Plan,Registered,2010
29,20101026,20101026,33816,BCP45799,3,Reference Plan,Registered,2010
30,20101026,20101026,33819,BCP46040,2,Explanatory,Registered,2010
31,20110118,20110118,33995,BCP47119,2,Explanatory,Registered,2011
32,20101026,20101026,33817,BCP45992,3,Reference Plan,Registered,2010
33,20110118,20110118,33899,EPP00201,3,Reference Plan,Registered,2010
34,20110118,20110118,33998,EPP00203,3,Reference Plan,Registered,2010
35,20110118,20110118,33999,EPP00204,3,Reference Plan,Registered,2010
36,20110118,20110118,34000,EPP00244,3,Reference Plan,Registered,2010
37,20110118,20110118,34004,EPP00332,3,Reference Plan,Registered,2010
38,20110118,20110118,34005,EPP00334,3,Reference Plan,Registered,2010
39,20080402,20080402,21922,BCP34862,2,Explanatory,Registered,2008
40,20100921,20100921,33733,BCP45876,4,Right of Way,Registered,2010
41,20040415,20110412,3113,BCP10170,3,Reference Plan,Registered,2004
42,20040415,20110412,3114,BCP10171,3,Reference Plan,Registered,2004
43,20110412,20110412,9941,BCP25872,3,Reference Plan,Registered,2006
44,20060222,20110412,9250,BCP21780,3,Reference Plan,Registered,2006
45,20100930,20101209,33779,BCP46681,3,Reference Plan,Registered,2010
46,20101029,20101126,33822,BCP46585,6,Subdivision,Registered,2010
47,20101029,20101029,33841,EPP01528,3,Reference Plan,Registered,2010
48,20101029,20101029,33848,EPP08820,3,Reference Plan,Registered,2010
49,20080108,20080108,11146,BCP31599,3,Reference Plan,Registered,2007
50,20080108,20080108,11144,BCP31597,2,Explanatory,Registered,2007
51,20080108,20080108,11351,BCP31138,2,Explanatory,Registered,2007
52,20071210,20071210,11343,BCP29749,3,Reference Plan,Registered,2007
53,20071105,20071105,10278,BCP26826,4,Right of Way,Registered,2006
54,20071128,20071128,11074,BCP32260,2,Explanatory,Registered,2007
55,20071106,20071108,11111,BCP30760,3,Reference Plan,Registered,2007
56,20090730,20090730,22900,BCP41401,4,Right of Way,Registered,2009
57,20071105,20071105,10281,BCP27168,4,Right of Way,Registered,2006
58,20071105,20071105,10282,BCP27167,4,Right of Way,Registered,2006
59,20071106,20071106,11228,BCP23420,4,Right of Way,Registered,2006
60,20101102,20101102,33859,BCP46099,2,Explanatory,Registered,2010
61,20091102,20091102,23062,BCP42548,4,Right of Way,Registered,2009
62,20091102,20100113,23066,BCP43139,2,Explanatory,Registered,2009
63,20091102,20091117,23064,EPP04724,2,Explanatory,Registered,2009
64,20091102,20091102,23047,BCP42232,3,Reference Plan,Registered,2009
65,20091102,20091102,23048,BCP42358,3,Reference Plan,Registered,2009
66,20091102,20091102,23063,BCP42570,2,Explanatory,Registered,2009
67,20090213,20090213,22620,BCP39820,4,Right of Way,Registered,2009
68,20090213,20090305,11149,BCP39982,3,Reference Plan,Registered,2009
69,20090213,20090305,22633,BCP40003,3,Reference Plan,Registered,2009
70,20090213,20090213,22644,BCP39750,3,Reference Plan,Registered,2009
71,20090213,20090213,22337,BCP39749,3,Reference Plan,Registered,2009
