,CONTAINER_TYPE,CONTAINER_TYPE2,FACILITYID,DESCRIPTION,LEGACYID,CONTAINER_NO,SURFACE_TREATMENT,SERVICE_LEVEL,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,HOUSE_NO,ROAD_CODE,MAP_PAGE,STATUS_PARKS,STATUS_DATE,PARK_OWNERSHIP,MAINTENANCE_RESPONSIBILITY,OPERATIONAL_RESPONSIBILITY,WORK_ASSIGNMENT,INSERVICE_COST,INSERVICE_DATE,YRS_LIFE_EXPECTANCY,WARRANTY_PROVIDER,VENDOR,MAKE,MODEL,SERIAL_NO,BARCODE,PARK_LEGACY_ID,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
0,1,Large Barrel,1001895626,"Litter Bin; Princess Margaret Park, 7044 128 St",,505,,3,In Service,,,Surrey,,Seasonal,,,,OPERATING,,,Parks,Parks,,,,,,,,,,,,"Princess Margaret Park, 7044 128 St",,,,,,,,20161028,20161028,49.131100,-122.864581
1,1,Large Barrel,1001895627,"Litter Bin; Princess Margaret Park, 7044 128 St",,506,,3,In Service,,,Surrey,,Seasonal,,,,OPERATING,,,Parks,Parks,,,,,,,,,,,,"Princess Margaret Park, 7044 128 St",,,,,,,,20161028,20161028,49.131316,-122.864853
2,1,Large Barrel,1001895738,"Litter Bin; South Surrey Athletic Park, 1925 148 St",,581,,1,In Service,,,Surrey,,Year Long,,,,OPERATING,,,Parks,Parks,,,,,,,,,,,,"South Surrey Athletic Park, 1925 148 St",,,,,,,,20161031,20161107,49.041395,-122.814205
3,1,Large Barrel,1001895737,"Litter Bin; South Surrey Athletic Park, 1925 148 St",,580,,1,In Service,,,Surrey,,Year Long,,,,OPERATING,,,Parks,Parks,,,,,,,,,,,,"South Surrey Athletic Park, 1925 148 St",,,,,,,,20161031,20161107,49.041801,-122.814197
4,1,Large Barrel,1001895733,"Litter Bin; South Surrey Athletic Park, 1925 148 St",,576,,1,In Service,,,Surrey,,Year Long,,,,OPERATING,,,Parks,Parks,,,,,,,,,,,,"South Surrey Athletic Park, 1925 148 St",,,,,,,,20161031,20161107,49.040786,-122.817924
5,1,Large Barrel,1001895731,"Litter Bin; South Surrey Athletic Park, 1925 148 St",,575,,1,In Service,,,Surrey,,Year Long,,,,OPERATING,,,Parks,Parks,,,,,,,,,,,,"South Surrey Athletic Park, 1925 148 St",,,,,,,,20161031,20161107,49.041275,-122.816447
6,1,Large Barrel,1001895730,"Litter Bin; South Surrey Athletic Park, 1925 148 St",,574,,1,In Service,,,Surrey,,Year Long,,,,OPERATING,,,Parks,Parks,,,,,,,,,,,,"South Surrey Athletic Park, 1925 148 St",,,,,,,,20161031,20161107,49.040837,-122.816440
7,1,Large Barrel,1001895726,"Litter Bin; South Surrey Athletic Park, 1925 148 St",,572,,1,In Service,,,Surrey,,Year Long,,,,OPERATING,,,Parks,Parks,,,,,,,,,,,,"South Surrey Athletic Park, 1925 148 St",,,,,,,,20161031,20161107,49.040284,-122.815380
8,1,Large Barrel,1001895725,"Litter Bin; South Surrey Athletic Park, 1925 148 St",,571,,1,In Service,,,Surrey,,Year Long,,,,OPERATING,,,Parks,Parks,,,,,,,,,,,,"South Surrey Athletic Park, 1925 148 St",,,,,,,,20161031,20161107,49.040354,-122.815863
9,1,Large Barrel,1001895724,"Litter Bin; South Surrey Athletic Park, 1925 148 St",,570,,1,In Service,,,Surrey,,Year Long,,,,OPERATING,,,Parks,Parks,,,,,,,,,,,,"South Surrey Athletic Park, 1925 148 St",,,,,,,,20161031,20161107,49.039800,-122.815538
