,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,FENCING_TYPE,GIS_ENTRY_STAGE,HOUSE_NO,INSERVICE_COST,LEGACYID,LIFECYCLE_COST,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MATERIAL,MEDIAN_TYPE,MEDIAN_TYPE2,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OWNER,PARK_LEGACY_ID,PARK_OWNERSHIP,PLANTED,PROJECT_NO,ROAD_CODE,SERIAL_NO,STATUS,STATUS_DATE,STATUS_PARKS,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YR,YRS_LIFE_EXPECTANCY,YTD_COST
0,,,,,20090106,,1001077073,,Initial AB,,,,,,Engineering,,,Grass,1,Island,,20090303,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1,,,,,20081215,,1001075417,,Initial AB,,,,,,Engineering,,,Grass,0,Central,,20090303,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
2,,,,,20081215,,1001075452,,Initial AB,,,,,,Engineering,,,Grass,1,Island,,20090316,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
3,,,,,20090202,,1001079832,,Initial AB,,,,,,Engineering,,,Asphalt,0,Central,,20090202,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
4,,,,,20081219,,1001076216,,Initial AB,,,,,,Engineering,,,Grass,0,Central,,20090302,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
5,,,,,20110217,,1001189581,,Final AB,,,,,,Engineering,,,Asphalt,0,Central,,20110217,,,Engineering,Provincial,,,No,MOTH 71101-1004,,,In Service,,,,,,,2009,,
6,,,,,20090129,,1001079508,,Initial AB,,,,,,Engineering,,,Grass,1,Island,,20090129,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
7,,,,,20090210,,1001081207,,Initial AB,,,,,,Engineering,,,Pavers,1,Island,,20110923,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
8,,,,,20090127,,1001079143,,Initial AB,,,,,,Engineering,,,Grass,1,Island,,20090306,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
9,,,,,20091203,,1001142505,,Final AB,,,,,,Engineering,,,Concrete,0,Central,,20091203,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
