,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,,,,,,,,,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
1,, , ,,,,, ,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
2,, , ,,,,, ,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
3,20090727,From Townhouse/Cluster (8-15 u.p.a.) to Commercial,R09-1368,,,,, ,Commercial,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
4,, , ,,,,, ,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
5,, , ,,,,, ,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
6,,,,,,,,,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
7,,,,,,,,,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
8,, , ,,,,, ,School,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
9,, , ,,,,, ,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
10,20010108,Rezone from RS to CD (B/L-12000); NCP from Townhouse/Cluster to Single Family Residential,R02-1699,,,,,00-0190-00,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
11,, , ,,,,, ,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
12,, , ,,,,, ,Open Space,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
13,, , ,,15,8,UPA, ,Townhouse/Cluster (8-15 u.p.a.),,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
14,,,,,,,,,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
15,, , ,,,,, ,Institutional,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
16,20040510,"Rezone from P-D, RS & RA to RM-30 (B/L-12000); NCP from  Townhouse/Cluster(8-15 upa) to Townhouse (30 upa)",R04-1220,,30,30,UPA,02-0304-00,Townhouse/Cluster (30 u.p.a.),20130605,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
17,, , ,,,,, ,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
18,20130527,Amended From Townhouse/Cluster (8-15 u.p.a.) to Townhouse/Cluster (30 u.p.a.), ,20130605,30,30,UPA,7908-0200-00,Townhouse/Cluster (30 u.p.a.),20130605,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
19,, , ,,,,, ,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
20,,,,,,,,,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
21,,,,,,,,,Open Space,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
22,, , ,,15,8,UPA, ,Townhouse/Cluster (8-15 u.p.a.),,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
23,20040719,Rezone from RA to RF-12 (B/L-12000); NCP from Townhouse/Cluster (8-15 upa) to Single Family Residential,R04-1947,,,,,03-0044-00,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
24,, , ,,,,, ,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
25,, , ,,15,8,UPA, ,Townhouse/Cluster (8-15 u.p.a.),,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
26,, , ,,15,8,UPA, ,Townhouse/Cluster (8-15 u.p.a.),20130605,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
27,, , ,,,,, ,Open Space,20130605,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
28,, , ,,,,, ,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
29,, , ,,,,, ,Open Space,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
30,, , ,,,,, ,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
31,, , ,,,,, ,Institutional,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
32,, , ,,,,, ,Open Space,20130411,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
33,, , ,,,,, ,Open Space,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
34,, , ,,,,, ,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
35,, , ,,,,, ,Open Space,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
36,, , ,,,,, ,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
37,, , ,,,,, ,Open Space,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
38,,,,,,,,,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
39,,,,,,,,,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
40,20040726,Rezone from P-D & RS to CD (B/L-12000); NCP from Townhouse/Cluster to Commercial,R04-2159,,,,,00-0245-00,Commercial,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
41,, , ,,,,, ,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
42,, , ,,,,, ,Single Family Residential,20130411,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
43,, , ,,,,, ,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
44,20040719,Rezone from RA to RF-12 (B/L-12000); NCP from Townhouse/Cluster (8-15 upa) to Single Family Residential,R05-787,,,,,04-0352-00,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
45,, , ,,,,, ,Single Family Residential,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
46,, , ,,,,, ,Commercial,,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
