,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,, , ,,,,, ,Creek Area,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
1,,,,,,,,,Small Lots,20130114,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
2,, , ,,,,, ,Creek Area,20130730,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
3,20041101,From Single Family Residential to Single Family Small Lots,R02-0358-00,,,,,02-0358-00,Small Lots,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
4,20140512,Amended From Existing Homes to Small Lots, ,20140708,,,,7913-0184-00,Small Lots,20140708,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
5,20120402,Amendment Single Family Residential to Small Lots,RES.R12-689,,,,,7911-0163-00,Small Lots,20130508,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
6,, , ,,,,, ,Open Space/Linear Park/Buffer,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
7,, , ,,,,, ,Open Space/Linear Park/Buffer,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
8,20041101,From Townhouses (10-12 upa) to Townhouses (15 upa),R02-0358-00,,15,,UPA,02-0358-00,Townhouse (15 u.p.a.),,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
9,, , ,,6,,UPA, ,Small Lots,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
10,, , ,,15,,UPA, ,Townhouse (15 u.p.a.),,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
11,, , ,20140721,,,, ,Single Family Residential,20140721,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
12,, , ,,9,,UPA, ,Townhouse (9 u.p.a.),,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
13,, , ,,,,, ,Existing Homes,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
14,20000529,Amended ALR Boundary,R96-1510,,,,,95-0111-00,Creek Area,20130114,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
15,,,,20130114,2,,UPA,,Half Acre Cluster (2 u.p.a.),20130114,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
16,,,,,2,,UPA,,Half Acre Cluster (2 u.p.a.),20130114,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
17,,,,20130114,,,,,Small Lots,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
18,, , ,,,,, ,Single Family Residential,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
19,20041101,From Single Family Residential to Single Family Cluster (6upa),R02-0358-00,,6,,UPA,02-0358-00,Single Family Cluster (6 u.p.a.),20130114,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
20,,,,,,,,,Small Lots,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
21,, , ,,,,, ,Open Space/Linear Park/Buffer,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
22,, , ,,,,, ,Elementary School,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
23,20000905,From Townhouse to Small Lots,R01-1435,,,,,00-0028-00,Small Lots,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
24,20110912,From Townhouse Cluster (10-12 upa) to Open Space/Linear Park Buffer,R11-1539,20110914,,,,10-0195-00,Open Space/Linear Park/Buffer,20111012,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
25,, , ,,,,, ,Open Space/Linear Park/Buffer,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
26,20140512,Amended From Existing Homes to Small Lots, ,20140708,,,,7913-0184-00,Small Lots,20140708,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
27,, , ,,,,, ,Open Space/Linear Park/Buffer,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
28,, , ,,,,, ,Open Space/Linear Park/Buffer,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
29,, , ,,,,, ,Open Space/Linear Park/Buffer,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
30,20050307,Rezone from RF & RA TO RF-12 & RF(B/L-12000); NCP from Single Family Residential to Small Lots,R05-1831,,,,,04-0126-00,Small Lots,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
31,20120402,Amendment Single Family Residential to Small Lots,RES.R12-716,,,,,7911-0249-00 ,Small Lots,20130226,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
