,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,, , ,,,,, ,Elementary School,20140528,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
1,20110912,From Single Detached (4-6 upa) to Single Detached (7 upa),R11-1544,20110914,7,,UPA,10-0020-00,Single Detached (7 u.p.a.),20150805,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
2,20110912,From Single Detached (4-6 upa) to Environmental Area,R11-1544,20111025,,,,10-0020-00,Proposed Open Space/Linear Open Space,20111025,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
3,, , ,,8,6,UPA, ,Cluster Housing (6-8 u.p.a.),20130411,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
4,20110912,From Single Detached (4-6 upa) to Single Detached (7 upa),R11-1544,20110914,7,,UPA,10-0020-00,Single Detached (7 u.p.a.),20150805,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
5,, , ,,8,6,UPA, ,Cluster Housing (6-8 u.p.a.),20130411,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
6,, , ,20110914,3,2,UPA, ,Larger Transition Lots (2-3 u.p.a.),20110914,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
7,, , ,,,,, ,Proposed Open Space/Linear Open Space,20170420,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
8,, , ,,,,, ,Proposed One Acre Residential Gross Density (RA-G),,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
9,, , ,,,,, ,Proposed One Acre Residential Gross Density (RA-G),,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
10,, , ,,,,, ,Existing One Acre & Half Acre Lots,,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
11,, , ,,,,, ,Existing Open Space,,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
12,,Amended From Cluster Housing (6-8 u.p.a.) to Single Family Small Lots, ,20140528,9,0,UPA, ,Single Family Small Lots,20140528,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
13,, , ,,,,, ,Existing Cemetery,,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
14,20140526,Amended From Cluster Housing (6-8 u.p.a.) to Environmental Area, ,,,,UPA,11-0269-00,Environmental Area,20160331,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
15,20110912,From Single Detached (4-6 upa) to Single Detached (7 upa),R11-1544,20110914,7,,UPA,10-0020-00,Single Detached (7 u.p.a.),20111012,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
16,20150727,Amended See 7912-0208-00,,20150805,,,,7912-0208-00,Single Family Small Lots,20150805,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
17,, , ,20110914,3,2,UPA, ,Larger Transition Lots (2-3 u.p.a.),20110914,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
18,, , ,,,,, ,Proposed One Acre Residential (RA),,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
19,,Amended From Proposed One Acre Residential (RA) to Larger Transition Lots (2-3 u.p.a.), ,,3,2,UPA,7915-0183-00,Larger Transition Lots (2-3 u.p.a.),20170705,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
20,,Amendment,,20180206,,,,,XIb,20180306,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
21,, , ,,2,,UPA, ,Single Detached (2 u.p.a.),20150805,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
22,20140301,Amended From Single Detached (2 u.p.a.) to Proposed Detention/Sedimentation Ponds, ,20140603,,,,12-0244-00,Proposed Detention/Sedimentation Ponds,20140603,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
23,, , ,,,,, ,Proposed One Acre Residential (RA),,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
24,, , ,,,,, ,Proposed One Acre Residential (RA),,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
25,, , ,,,,, ,Proposed One Acre Residential Gross Density (RA-G),,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
26,,,,,,,,,Elementary School,,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
27,, , ,,,,, ,Proposed One Acre Residential Gross Density (RA-G),,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
28,, , ,,8,6,UPA, ,Cluster Housing (6-8 u.p.a.),20161006,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
29,20150112,Amendment From Cluster Housing (6-8 u.p.a.) to Townhouse 15 upa max, ,20150116,15,15,UPA,7911-0255-00,Townhouse 15 upa max,20150116,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
30,20110912,From Single Detached (4-6 upa) to Single Detached (7 upa),R11-1544,20110914,7,,UPA,10-0020-00,Single Detached (7 u.p.a.),20111012,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
31,20110912,From Single Detached (4-6 upa) to Single Detached (7 upa),R11-1544,20110914,7,,UPA,10-0020-00,Single Detached (7 u.p.a.),20111012,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
32,20110912,From Single Detached (4-6 upa) to Environmental Area,R11-1544,20111012,,,,10-0020-00,Environmental Area,20150805,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
33,, , ,,,,, ,Landscaped Buffer,,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
34,, , ,20170420,,,, ,Proposed Open Space/Linear Open Space,20170420,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
35,, , ,20171212,,,, ,Existing One Acre & Half Acre Lots,20171212,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
