,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
1,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
2,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
3,,,,20120124,15,10,UPA,,Small Lot Single Family w/wo Coach House (10-15 upa),20180308,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
4,20140310,,,20140422,30,15,UPA,79012-0244-00,Townhouse (15-30 upa),20160331,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
5,,,,20160205,10,2,UPA,,Large Lot Duplex or Large Lot Single Family (2-10 upa),20160205,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
6,,,,20120124,30,15,UPA,,Townhouse (15-30 upa),20140422,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
7,20170508,Amended From Small Lot Single Family w/wo Coach House (10-15 upa) to Large Lot Duplex or Large Lot Single Family (2-10 upa),,20160309,10,2,UPA,7914-0118-00,Large Lot Duplex or Large Lot Single Family (2-10 upa),20170519,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
8,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
9,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
10,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
11,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
12,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
13,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
14,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
15,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
16,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
17,,,,20120124,,,,,Tree Cluster,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
