,ANCILLARYROLE,ENABLED,DEVICE_TYPE,DEVICE_TYPE2,FACILITYID,LEGACYID,NODE_NO,DEVICE_CLASSIFICATION,DEVICE_SIZE,MATERIAL,CONCRETE_PLACEMENT,REINFORCED,STATUS,RIM_ELEVATION,OUTFLOW_ELEVATION,MOUNTING,YR,OWNER,PROJECT_NO,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,SALMON_TRACKS_INSTALLDATE,SALMON_TRACKS_STYLE,SALMON_TRACKS_GROUP,PRK_LID_TYPE,MAP_PAGE,SERVICE_LEVEL,PRK_LID_APRON,INSERVICE_COST,MODEL,WORK_ASSIGNMENT,OPERATING_LOCATION_TYPE,DESCRIPTION,PARK_LEGACY_ID,REFERENCE_NO,INSERVICE_DATE,HOUSE_NO,PRK_MANUAL_CLEANOUT_REQ,BARCODE,OPERATIONAL_RESPONSIBILITY,STATUS_PARKS,STRUCTURES_INSPECTION_ROUTE,STATUS_DATE,MAINTENANCE_RESPONSIBILITY,ROAD_CODE,VENDOR,YRS_LIFE_EXPECTANCY,PARK_OWNERSHIP,WARRANTY_PROVIDER,OPERATING_LOCATION,SERIAL_NO,MAKE,PRK_PT_LOCATION,Latitude,Longitude
0,,1,16,Standard Catch Basin,1001761554,,,,,,,,,,,,,,,"In the park, Drainage Point ref 4",,,,,,,,,20130930,,,,,019,,,0,,,,"Catch Basin; Royal Heights Park, 9780 Crown Cres",0735-000003181,4,,09780,,,Parks,OPERATING,,19000101,Parks,21460,,,,,"Royal Heights Park, 9780 Crown Cres",,,Passive Grass,49.180967,-122.906715
1,,1,16,Standard Catch Basin,1001759770,,,,,,,,,,,,,,,"In the park, Drainage Point ref 1",,,,,,,,,20130930,,,,,070,,,0,,,,"Catch Basin; 70D - Greenbelt, 12054 57A Ave",0735-000001976,1,,12054,,,Parks,OPERATING,,19000101,Parks,05750,,,,,"70D - Greenbelt, 12054 57A Ave",,,Passive Grass,49.106797,-122.889300
2,,1,16,Standard Catch Basin,1001761460,,,,,,,,,,,,,,,"In the park, Drainage Point ref 7",,,,,,,,,20130930,,,,Slotted,009,,,0,,,,"Catch Basin; Tannery Park, 10761 Dyke Rd",0735-000003638,7,19000101,10761,,,Parks,OPERATING,,19000101,Parks,21690,,,,,"Tannery Park, 10761 Dyke Rd",,,Passive Grass,49.198466,-122.899780
3,,1,16,Standard Catch Basin,1001759608,,,,,,,,,,,,,,,"In the park, Drainage Point ref 11",,,,,,,,,20130930,,,,Slotted,110,,,0,,,,"Catch Basin; Crescent Beach, 12160 Beecher St",0735-000000713,11,,12160,,,Parks,OPERATING,,19000101,Parks,02780,,,,,"Crescent Beach, 12160 Beecher St",,,Passive Grass,49.053272,-122.885802
4,,1,16,Standard Catch Basin,1001759244,,,,,,,,,,,,,,,"In the park, Drainage Point ref 20",,,,,,,,,20130930,,,,Slotted,110,,,0,,,,"Catch Basin; Crescent Beach, 12160 Beecher St",0735-000000722,20,,12160,,,Parks,OPERATING,,19000101,Parks,02780,,,,,"Crescent Beach, 12160 Beecher St",,,Pathway - Gravel,49.050657,-122.884685
5,,1,16,Standard Catch Basin,1001760770,,,,,,,,,,,,,,,"In the park, Drainage Point ref 2",,,,,,,,,20130930,,,,Slotted,110,,,0,,,,"Catch Basin; Bayview Park, 2590 - Bayview St",0735-000001269,2,,02590,,,Parks,OPERATING,,19000101,Parks,12312,,,,,"Bayview Park, 2590 Bayview St",,,Forest,49.049801,-122.881605
6,,1,16,Standard Catch Basin,1001761650,,,,,,,,,,,,,,,"In the park, Drainage Point ref 2",,,,,,,,,20130930,,,,D-grate,070,,,0,,,,"Catch Basin; 70C - Greenbelt, 12368 - 56 Ave",0735-000001015,2,,12368,,,Parks,OPERATING,,19000101,Parks,05600,,,,,"70C - Greenbelt, 12368 56 Ave",,,Passive Grass,49.105423,-122.880866
7,,1,16,Standard Catch Basin,1001760810,,,,,,,,,,,,,,,"In the park, Drainage Point ref 5",,,,,,,,,20130930,,,,,070,,,0,,,,"Catch Basin; Boundary Park, 6058 Boundary Dr West",0735-000002240,5,,06058,,,Parks,OPERATING,,19000101,Parks,12155,,,,,"Boundary Park, 6058 Boundary Dr West",,,Passive Grass,49.112447,-122.885478
8,,1,16,Standard Catch Basin,1001761047,,,,,,,,,,,,,,,"In the park, Drainage Point ref 28",,,,,,,,,20130930,,,,,070,,,0,,,,"Catch Basin; Boundary Park, 6058 Boundary Dr West",0735-000002263,28,,06058,,,Parks,OPERATING,,19000101,Parks,12155,,,,,"Boundary Park, 6058 Boundary Dr West",,,Passive Grass,49.114409,-122.881695
9,,1,16,Standard Catch Basin,1001761807,,,,,,,,,,,,,,,"In the park, Drainage Point ref 2",,,,,,,,,20130930,,,,,060,,,0,,,,"Catch Basin; Tamanawis Park, 12515 64 Ave",0735-000003448,2,,12515,,,Parks,OPERATING,,19000101,Parks,06400,,,,,"Tamanawis Park, 12515 64 Ave",,,Pathway - Paved,49.120330,-122.876752
10,,1,16,Standard Catch Basin,1001760821,,,,,,,,,,,,,,,"In the park, Drainage Point ref 9",,,,,,,,,20130930,,,,,060,,,0,,,,"Catch Basin; Cougar Creek Park, 6889 123 St",0735-000002476,9,,06889,,,Parks,OPERATING,,19000101,Parks,12300,,,,,"Cougar Creek Park, 6889 123 St",,,Sportsfield,49.129817,-122.884000
11,,1,16,Standard Catch Basin,1001760820,,,,,,,,,,,,,,,"In the park, Drainage Point ref 8",,,,,,,,,20130930,,,,,060,,,0,,,,"Catch Basin; Cougar Creek Park, 6889 123 St",0735-000002475,8,,06889,,,Parks,OPERATING,,19000101,Parks,12300,,,,,"Cougar Creek Park, 6889 123 St",,,Sportsfield,49.129793,-122.883528
12,,1,16,Standard Catch Basin,1001760816,,,,,,,,,,,,,,,"In the park, Drainage Point ref 4",,,,,,,,,20130930,,,,,060,,,0,,,,"Catch Basin; Cougar Creek Park, 6889 123 St",0735-000002471,4,,06889,,,Parks,OPERATING,,19000101,Parks,12300,,,,,"Cougar Creek Park, 6889 123 St",,,Sportsfield,49.128795,-122.883516
13,,1,16,Standard Catch Basin,1001761218,,,,,,,,,,,,,,,"In the park, Drainage Point ref 8",,,,,,,,,20130930,,,,,060,,,0,,,,"Catch Basin; Beaver Creek Park, 12270 66 Ave",0735-000002188,8,,12270,,,Parks,OPERATING,,19000101,Parks,06600,,,,,"Beaver Creek Park, 12270 66 Ave",,,Passive Grass,49.121578,-122.882484
14,,1,16,Standard Catch Basin,1001761213,,,,,,,,,,,,,,,"In the park, Drainage Point ref 3",,,,,,,,,20130930,,,,,060,,,0,,,,"Catch Basin; Beaver Creek Park, 12270 66 Ave",0735-000002183,3,,12270,,,Parks,OPERATING,,19000101,Parks,06600,,,,,"Beaver Creek Park, 12270 66 Ave",,,Passive Grass,49.122216,-122.882445
15,,1,16,Standard Catch Basin,1001761214,,,,,,,,,,,,,,,"In the park, Drainage Point ref 4",,,,,,,,,20130930,,,,,060,,,0,,,,"Catch Basin; Beaver Creek Park, 12270 66 Ave",0735-000002184,4,,12270,,,Parks,OPERATING,,19000101,Parks,06600,,,,,"Beaver Creek Park, 12270 66 Ave",,,Passive Grass,49.122212,-122.881991
16,,1,16,Standard Catch Basin,1001762019,,,,,,,,,,,,,,,"In the park, Drainage Point ref 3",,,,,,,,,20130930,,,,Solid,060,,,0,,,,"Catch Basin; 60E - Utility ROW, 12485 69 A Ave",0735-000003996,3,,12485,,,Parks,OPERATING,,19000101,Parks,06950,,,,,"60E - Utility ROW, 12485 69a Ave",,,Passive Grass,49.129829,-122.875314
17,,1,16,Standard Catch Basin,1001759349,,,,,,,,,,,,,,,"In the park, Drainage Point ref 6",,,,,,,,,20130930,,,,,060,,,0,,,,"Catch Basin; Kabaddi Park, 7017 122 St",0735-000002867,6,,07017,,,Parks,OPERATING,,19000101,Parks,12200,,,,,"Kabaddi Park, 7017 122 St",,,Sportsfield,49.130991,-122.887414
