,BARCODE,BED_SOIL_TYPE,BED_TYPE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HORT_MAINTENANCE_ROUTE,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_FACILITY_TYPE,PARK_NAME,PARK_OWNERSHIP,REFERENCE_NO,ROAD_CODE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
0,,,Mixed,,,,20140902,"Horticulture Bed; Median, 160 St - 24 Ave to 26 Ave",1001781270,Contract,02400,,20140601,,on median,Parks,,114,,,"Median, 160 St - 24 Ave to 26 Ave",Median,Parks,,Median - 160 St - 24 to 26,,114-13,16000,,,OPERATING,,,,,,,
1,,,,,,,20150505,Horticulture Bed; Median - 32 Ave - 189 St to 190 St,1001879234,Contract,18900,,20150505,,Along 32 Ave from 189 St to 190 St,Parks,,108,,,"Median, 32 Ave - 189 Ave to 190 Ave",Median,Parks,,Median - 32 Ave - 189 to 190 St,,108-02,03200,,,OPERATING,,,,,,,
2,,,,,,,20150505,Horticulture Bed; Median - 32 Ave - 190 St to 192 St,1001879217,Contract,18900,,20150505,,Along 32 Ave from 190 St to 192 St,Parks,,108,,,"Median, 32 Ave - 190 Ave to 192 Ave",Median,Parks,,Median - 32 Ave - 190 to 192 St,,108-03,03200,,,OPERATING,,,,,,,
3,,,Mixed,,,,20150603,"Horticulture Bed; Bill Reid Millennium Amphitheatre Grounds, 17728 64 Ave",1001879224,Area 7,17728,,20150603,,Throughout grounds,Parks,,077,,,"Bill Reid Millennium Amphitheatre Grounds, 17728 64 Ave",Park,Parks,,Bill Reid Millennium Amphitheatre Grounds,,077-36,06400,,,OPERATING,,,,,,,
4,,,,,,,20150604,"Horticulture Bed; Chantrell Park, 2198 139a St",1001879229,Area 10,02198,,20150604,,NE corner of park addition,Parks,,122,,,"Chantrell Park, 2254 Chantrell Park Dr",Park,Parks,,Chantrell Park,,122-31,13950,,,OPERATING,,,,,,,
5,,,Woody - C, ,,,20150604,"Horticulture Bed; Blvd, 13993 22 Ave",1001436668,Area 9,13993,0,20150604,0708-000000287,South-East corner of lot,Parks,,122,,20121016,Blvd - 13993 22 Ave,Boulevard,Parks,,Blvd - 13993 22 Ave,,122-30,02200,,,OPERATING,,,,,,,
6,,,Woody - C, ,,,,"Horticulture Bed; Blvd, 140 St - 22 Ave to 23a Ave - W side",1001436668,Area 10,02200,0,,0708-000000287,Along entire blvd,Parks,,122,,20121016,"Blvd, 140 St - 22 Ave to 23a Ave - W side",Boulevard,Parks,,Blvd - 140 St - W side - 22 to 23a,,122-07,14000,,,OPERATING,,,,,,,
7,,,Woody, ,,,,"Horticulture Bed; Blvd, KGBlvd & 128 - NE Corner",1001436863,Contract,12800,0,,0708-000000747,Along blvd,Parks,,001,,20121016,"Blvd, KGBlvd & 128 - NE Corner",Boulevard,Parks,,Blvd - KGBlvd & 128 St - NE corner,,001-07,13601,,,OPERATING,,,,,,,
8,,,Woody, ,,,20080221,"Horticulture Bed; Blvd, KGBlvd - N side - Onramp to Scott Rd Northbound",1001437151,Contract,12501,0,,0708-000001208,on blvd,Parks,,010,,20121016,"Blvd, KGBlvd - N side - Onramp to Scott Rd Northbound",Boulevard,Parks,,Blvd - KGBlvd - N side - Onramp to Scott Rd N,,010-04,13601,,,OPERATING,20080221160400,,,,,,
9,,,Mixed,,,,20170405,"Horticulture Bed; 115M - Greenbelt, 16434 32 Ave",1001925880,Area 9,16434,,20170405,,SE corner of site,Parks,,115,,20170405,"115M - Greenbelt, 16434 32 Ave",Park,Parks,,115M - Greenbelt,,115-03,03200,,,OPERATING,,,,,,,
10,,,Mixed,,,,20170405,"Horticulture bed; Bonaccord Creek Park, 14365 108 Ave",1001925914,Area 2,14365,,20170405,,on 144 St,Parks,,013,,20170405,"Bonaccord Creek Park, 14365 108 Ave",Park,Parks,,"Bonaccord Creek Park, 14365 108 Ave",,013-11,10800,,,OPERATING,,,,,,,
11,,,Woody - C, ,,,,"Horticulture Bed; Island, 6038 187 St",1001437069,Area 9,06038,0,,0708-000000166,Entire Bed,Parks,,078,,20121016,Island - 6038 187 St,Island,Parks,,Island - 6038 187 St,,078-11,18700,,,OPERATING,,,,,,,
12,,,Woody - C, ,,,,"Horticulture Bed; Island, 6032 187a St",1001437070,Area 9,06032,0,,0708-000000163,Entire island,Parks,,078,,20121016,Island - 6032 187a St,Island,Parks,,Island - 6032 187a St,,078-12,18750,,,OPERATING,,,,,,,
13,,,Woody - C, ,,,,"Horticulture Bed; Island, 6136 187 St",1001437071,Area 9,06136,0,,0708-000000170,Entire Island,Parks,,078,,20121016,Island - 6136 187 St,Island,Parks,,Island - 6136 187 St,,078-13,18700,,,OPERATING,,,,,,,
14,,,Woody - C, ,,,,"Horticulture Bed; Island, 18650 61a Ave",1001437072,Area 9,18650,0,,0708-000000149,Entire island,Parks,,078,,20121016,Island - 18650 61a Ave,Island,Parks,,Island - 18650 61a Ave,,078-14,06150,,,OPERATING,,,,,,,
15,,,Woody - C, ,,,,"Horticulture Bed; Island, 6165 185a St",1001437073,Area 9,06165,0,,0708-000000172,Entire Island,Parks,,078,,20121016,Island - 6165 185a St,Island,Parks,,Island - 6165 185a St,,078-15,08550,,,OPERATING,,,,,,,
16,,,Woody - C, ,,,,"Horticulture Bed; Island, 6279 187 St",1001437074,Area 9,06279,0,,0708-000000179,Entire Island,Parks,,078,,20121016,Island - 6279 187 St,Island,Parks,,Island - 6279 187 St,,078-16,18700,,,OPERATING,,,,,,,
17,,,Woody - C, ,,,,"Horticulture Bed; Island, 6226 187b St",1001437075,Area 9,06226,0,,0708-000000176,Entire Island,Parks,,078,,20121016,Island - 6226 187b St,Island,Parks,,Island - 6226 187b St,,078-17,18770,,,OPERATING,,,,,,,
18,,,Woody - C, ,,,,"Horticulture Bed; Island, 6088 195a St",1001437076,Area 9,06088,0,,0708-000000188,Entire Island,Parks,,079,,20121016,Island - 6088 195a St,Island,Parks,,Island - 6088 195a St,,079-01,19550,,,OPERATING,,,,,,,
19,,,Woody - C, ,,,,"Horticulture Bed; Walkway, 5563 183a to 55 Ave",1001437078,Area 7,05563,0,,0708-000000485,In walkway fron 183a St to 55 Ave,Parks,,087,,20121016,Walkway - 5563 183a St,Walkway,Parks,,Walkway - 5563 183a St,,087-01,18350,,,OPERATING,,,,,,,
20,,,Woody - C, ,,,,"Horticulture Bed; Blvd, 8 Ave - 164a St to 165a St - N side",1001437081,Area 9,16450,0,,0708-000000331,Along blvd,Parks,,135,,20121016,"Blvd, 8 Ave - 164a St to 165a St - N side",Boulevard,Parks,,Blvd - 8 Ave - 164a to 165a - N side,,135-01,00800,,,OPERATING,,,,,,,
