,FACILITYID,DESCRIPTION,LOCATION,PARK_NAME,LIGHT_NO,PARK_LIGHT_TYPE,NUMBER_OF_LIGHTS,HEIGHT_M,BULB_TYPE,BULB_WATTAGE,LIGHT_AMPERAGE,CANDLE_POWER,LIGHT_ACTIVATION_TYPE,SWITCH_CONTROL_LOCATION,LIGHTING_STANDARD_TYPE,BASE_TYPE,SERVICE_LEVEL,COMMENTS,HOUSE_NO,ROAD_CODE,MAP_PAGE,STATUS,STATUS_DATE,PARK_OWNERSHIP,MAINTENANCE_RESPONSIBILITY,OPERATIONAL_RESPONSIBILITY,WORK_ASSIGNMENT,INSERVICE_DATE,INSERVICE_COST,CONDITION,CONDITIONDATE,YRS_LIFE_EXPECTANCY,WARRANTYDATE,WARRANTY_PROVIDER,VENDOR,MAKE,MODEL,SERIAL_NO,BARCODE,LEGACYID,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,STRUCTURES_INSPECTION_ROUTE,CRE_DATE,MOD_DATE,Latitude,Longitude
0,1001438404,"Field Light; South Surrey Athletic Park, 1925 148 St","In the park, Light ref 187",South Surrey Athletic Park,187,Field,,,,,,,,,,,,,01925,14800,123,OPERATING,20051005104900,,Parks,Parks,,20050930,0,,,,,,,,,,,0724-000001935,"South Surrey Athletic Park, 1925 148 St",Park,,,,49.037004,-122.817394
1,1001438405,"Field Light; South Surrey Athletic Park, 1925 148 St","In the park, Light ref 188",South Surrey Athletic Park,188,Field,,,,,,,,,,,,,01925,14800,123,OPERATING,20051005104900,,Parks,Parks,,20050930,0,,,,,,,,,,,0724-000001936,"South Surrey Athletic Park, 1925 148 St",Park,,,,49.037514,-122.818036
2,1001438406,"Field Light; South Surrey Athletic Park, 1925 148 St","In the park, Light ref 189",South Surrey Athletic Park,189,Field,,,,,,,,,,,,,01925,14800,123,OPERATING,20051005104900,,Parks,Parks,,20050930,0,,,,,,,,,,,0724-000001937,"South Surrey Athletic Park, 1925 148 St",Park,,,,49.038062,-122.817254
3,1001438407,"Path Light; Bear Creek Park, 13750 88 Ave","In the park, Light ref 86",Bear Creek Park,86,Path,,,,,,,,,,,,,13750,08800,042,OPERATING,20060711154800,,Parks,Parks,,20060701,0,,,,,,,,,,,0724-000001942,"Bear Creek Park, 13750 88 Ave",Park,,,,49.160611,-122.844427
4,1001438408,"Path Light; Bear Creek Park, 13750 88 Ave","In the park, Light ref 87",Bear Creek Park,87,Path,,,,,,,,,,,,,13750,08800,042,OPERATING,20060711154800,,Parks,Parks,,20060701,0,,,,,,,,,,,0724-000001943,"Bear Creek Park, 13750 88 Ave",Park,,,,49.160882,-122.843874
5,1001438546,"Path Light; Holland Park, 13428 Old Yale Road","In the park, Light ref 73",Holland Park,73,Path,,,,,,,,,,,,,13428,80103,021,OPERATING,20090811134200,,Parks,Parks,,20071005,0,,,,,,,,,,,0724-000002096,"Holland Park, 13428 Old Yale Road",Park,,20081023,20081023,49.183503,-122.847357
6,1001438547,"Path Light; Holland Park, 13428 Old Yale Road","In the park, Light ref 74",Holland Park,74,Path,,,,,,,,,,,,,13428,80103,021,OPERATING,20090811134200,,Parks,Parks,,20071005,0,,,,,,,,,,,0724-000002097,"Holland Park, 13428 Old Yale Road",Park,,20081023,20081023,49.183593,-122.847691
7,1001438548,"Path Light; Holland Park, 13428 Old Yale Road","In the park, Light ref 75",Holland Park,75,Path,,,,,,,,,,,,,13428,80103,021,OPERATING,20090811134300,,Parks,Parks,,20071005,0,,,,,,,,,,,0724-000002098,"Holland Park, 13428 Old Yale Road",Park,,20081023,20081023,49.183692,-122.847681
8,1001438549,"Path Light; Holland Park, 13428 Old Yale Road","In the park, Light ref 76",Holland Park,76,Path,,,,,,,,,,,,,13428,80103,021,OPERATING,20090811134300,,Parks,Parks,,20071005,0,,,,,,,,,,,0724-000002099,"Holland Park, 13428 Old Yale Road",Park,,20081023,20081023,49.183779,-122.847649
9,1001438550,"Path Light; Holland Park, 13428 Old Yale Road","In the park, Light ref 77",Holland Park,77,Path,,,,,,,,,,,,,13428,80103,021,OPERATING,20090811134300,,Parks,Parks,,20071005,0,,,,,,,,,,,0724-000002100,"Holland Park, 13428 Old Yale Road",Park,,20081023,20081023,49.183838,-122.847598
10,1001438551,"Path Light; Holland Park, 13428 Old Yale Road","In the park, Light ref 78",Holland Park,78,Path,,,,,,,,,,,,,13428,80103,021,OPERATING,20090811134300,,Parks,Parks,,20071005,0,,,,,,,,,,,0724-000002101,"Holland Park, 13428 Old Yale Road",Park,,20081023,20081023,49.183900,-122.847597
11,1001438552,"Path Light; Holland Park, 13428 Old Yale Road","In the park, Light ref 79",Holland Park,79,Path,,,,,,,,,,,,,13428,80103,021,OPERATING,20090811134400,,Parks,Parks,,20071005,0,,,,,,,,,,,0724-000002102,"Holland Park, 13428 Old Yale Road",Park,,20081023,20081023,49.183895,-122.847875
12,1001438553,"Path Light; Holland Park, 13428 Old Yale Road","In the park, Light ref 80",Holland Park,80,Path,,,,,,,,,,,,,13428,80103,021,OPERATING,20090811134400,,Parks,Parks,,20071005,0,,,,,,,,,,,0724-000002103,"Holland Park, 13428 Old Yale Road",Park,,20081023,20081023,49.183658,-122.847943
13,1001438554,"Path Light; Holland Park, 13428 Old Yale Road","In the park, Light ref 81",Holland Park,81,Path,,,,,,,,,,,,,13428,80103,021,OPERATING,20090811134400,,Parks,Parks,,20071005,0,,,,,,,,,,,0724-000002104,"Holland Park, 13428 Old Yale Road",Park,,20081023,20081023,49.183706,-122.848115
14,1001438178,"Building Exterior Light; Bear Creek Park, 13750 88 Ave","In the park, Light ref 80",Bear Creek Park,80,Building Exterior,,,,,,,,,,,,,13750,08800,042,OPERATING,20040812112500,,Parks,Parks,,19990429,0,,,,,,,,,,,0724-000001116,"Bear Creek Park, 13750 88 Ave",Park,,,,49.161302,-122.835408
