,ADJACENT_LAND_USE_RATING,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DEDICATED_URBAN_FOREST,DESCRIPTION,ESA_RANKING,EXPOSED_EDGE_LENGTH_M,FACILITYID,FOREST_AGE_CLASS,FOREST_TYPE,FRAGMENTATION_RATING,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,ISOLATION_RATING,LEGACYID,LOCATION,MAINTAINED_EDGE_LENGTH_M,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,NATURAL_AREA_TYPE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_NAME,PARK_OWNERSHIP,RIGHT_OF_WAY,RIPARIAN_AREA,ROAD_CODE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,TRAIL_PRESENT,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
0,1,,,,,,N,Forest; Walkway - 2730 133 St,2,182,1001439009,Mature,Deciduous,0,02730,0,20010313,2,0711-000001028,"Middle section, NE corner",,Parks,,111,,20170307,Forest-deciduous,Walkway - 2730 133 St,,Parks,Walkway - 2700 133 St,,N,N,13300,,,OPERATING,20040826140700,N,,,,,
1,3,,,,,,N,Forest; Walkway - 16450 110 Ave,2,452,1001439023,Young,Mixed,4,16450,0,20010313,4,0711-000001027,110 road ROW from 164a St to 165b St,,Parks,,015,,20170307,Forest-mixed,Walkway - 16450 110 Ave,,Parks,Walkway - 16450 110 Ave,,N,N,11000,,,OPERATING,20030312145300,Y,,,,,
2,2,,,,,,N,"Forest; Chimney Heights Park, 14677 74 Ave",1,295,1001438729,Mature,Mixed,0,14677,0,,2,0711-000000200,NW corner of park,,Parks,,053,,20130808,Forest-mixed,"Chimney Heights Park, 14677 74 Ave",Park,Parks,Chimney Heights Park,,N,N,07400,,,OPERATING,20011211075900,N,,,,,
3,1,,Riparian area.  Blackberry present along north bank. ,,,,N,"Forest; Robson Park, 12576 100 Ave",2,1280,1001438700,Mature,Deciduous,0,12576,0,,3,0711-000000547,Riparian area along stream,827,PARKS,,020,,20171204,Forest-deciduous,"Robson Park, 12576 100 Ave",Park,PARKS,Robson Park,,N,Y,01000,,,OPERATING,20040824111900,Y,,,,,
4,1,,,,,,N,"Forest; 112E - Greenbelt, 2647 144 St",1,202,1001439060,Mature,Mixed,0,02647,0,,3,0711-000000061,W. end,,PARKS,,112,,20121016,Forest-mixed,"112E - Greenbelt, 2647 144 St",Park,PARKS,112E - Greenbelt,,Y,N,14400,,,OPERATING,20040819133700,N,,,,,
5,4,,Scotch broom becoming a problem in the N. sections of deciduos forest; a lot of young deciduous trees close to lake; see map for an area where many young trees have been cut down.,,,,N,"Forest; Latimer Park, 2786 192 St",0,3989,1001439064,Mature,Mixed,1,02786,0,,3,0711-000000516,"The majority of the north area of the park, except the lake area.",,PARKS,,119,,20140116,Forest-mixed,"Latimer Park, 2786 192 St",Park,PARKS,Latimer Park,,Y,Y,19200,,,OPERATING,20040824101600,Y,,,,,
6,1,,Not entirely groundtruthed since there is a private residence on the lot.    ,,,,N,"Forest; 146C - Neighbourhood Park, 218 171 St",1,447,1001439066,Mature,Mixed,0,00218,0,,3,0711-000000176,Most of park,,PARKS,,146,,20121016,Forest-mixed,"146C - Neighbourhood Park, 218 171 St",Park,PARKS,146C - Neighbourhood Park,,N,Y,17100,,,OPERATING,20040820094400,N,,,,,
7,1,,See map for invasive spp. locations. ,,,,N,"Forest; 122D - Greenbelt, 1659 138A St",2,214,1001439072,Mature,Mixed,0,01659,0,,4,0711-000000214,All of park,,Parks,,122,,20121016,Forest-mixed,"122D - Greenbelt, 1659 138A St",Park,Parks,122D - Greenbelt,,N,N,13850,,,OPERATING,20020718080200,N,,,,,
8,3,,,,,20110602,N,"Forest; 1A - Greenbelt, 11231 133a St",0,283,1001439259,Mature,Mixed,0,11231,0,,2,0711-000001114,enture site,203,Parks,,001,,20161220,Forest-mixed,"1A - Greenbelt, 11231 133a St",Park,Parks,1A - Greenbelt,,N,Y,13350,,,OPERATING,20110602093200,N,,,,,
9,1,,"Himal. bl. bry., other invas's along 124 A St edge   ",,,,N,"Forest; 20B - Greenbelt, 10357 124A St",0,271,1001438988,Mature,Deciduous,0,10357,0,,4,0711-000000189,Whole lot,,PARKS,,020,,20161220,Forest-deciduous,"20B - Greenbelt, 10357 124A St",Park,PARKS,20B - Greenbelt,,N,N,12450,,,OPERATING,20040820101300,N,,,,,
10,1,,See map for invasive spp. locations; also a lot of Grand fir present. ,,,,N,"Forest; Fun Fun Park, 1472 128 St",0,916,1001439062,Mature,Mixed,3,01472,0,,4,0711-000000490,Most of park,120,PARKS,,131,,20180829,Forest-mixed,"Fun Fun Park, 1472 128 St",Park,PARKS,Fun Fun Park,,N,N,12800,,,OPERATING,20040824092500,Y,,,,,
11,3,,Some morning glory.  Thin strip of shrubs along w park boundary. ,,,,N,"Forest; J.R. Douglas Park, 10885 162B St",0,1113,1001438760,Mature,Coniferous,0,10885,0,,3,0711-000000505,Most of main E. area and part of linear W. section,,PARKS,,015,,20121016,Forest-coniferous,"J.R. Douglas Park, 10885 162B St",Park,PARKS,J.R. Douglas Park,,N,N,16270,,,OPERATING,20040824095700,Y,,,,,
12,2,,"Poor rating due to small stand size and poor understory; see map for refuse, etc. locat's ",,,,N,"Forest; Evershine Park, 12688 70 Ave",2,166,1001438776,Mature,Coniferous,2,12688,0,,2,0711-000000059,SE corner of park,,PARKS,,060,,20121016,Forest-coniferous,"Evershine Park, 12688 70 Ave",Park,PARKS,Evershine Park,,N,N,07000,,,OPERATING,,N,,,,,
13,2,,Major blackberry on N edge.   ,,,,N,"Forest; Coast Meridan Park, 8190 168 St",0,236,1001439018,Mature,Deciduous,0,08230,0,,3,0711-000000126,Whole lot,,Parks,,046,,20140110,Forest-deciduous,"Coast Meridan Park, 8190 168 St",Park,Parks,Coast Meridian Park,,N,Y,16800,,,OPERATING,20010815092100,N,,,,,
14,2,,Himal. bl. bry. thru. out forest; large piles of grass clip's along 165 A St ,,,,N,"Forest; 125B - Greenbelt, 1834 165A St",1,267,1001439030,Young,Deciduous,0,01834,0,,3,0711-000000004,Whole lot,,PARKS,,125,,20121016,Forest-deciduous,"125B - Greenbelt, 1834 165A St",Park,PARKS,125B - Greenbelt,,N,N,16550,,,OPERATING,20040820082500,N,,,,,
15,1,,,,,20110712,N,"Shrubland; 35B - Utility ROW, 16102 95A Ave",1,203,1001439270,,,0,16102,0,,1,0711-000001124,161 St end of site,119,Parks,,035,,20121016,Shrubland,"35B - Utility ROW, 16102 95A Ave",Park,Parks,35B - Utility ROW,,Y,Y,09550,,,OPERATING,20110712090300,N,,,,,
16,2,,,,,,N,"Forest; 105A - Greenbelt, 16169 36a Ave",0,504,1001439163,Mature,Deciduous,0,16169,0,20030801,2,0711-000000589,,,Parks,,105,,20121016,Forest-deciduous,"105A - Greenbelt, 16169 36a Ave",Park,Parks,105A - Greenbelt,,N,Y,03650,,,OPERATING,20070228115700,N,,,,,
17,3,,,,,20080212,N,"Forest; 73I - Greenbelt, 14506 58a Ave",0,258,1001439169,Young,Deciduous,2,14506,0,,2,0711-000001043,throughout site,,Parks,,073,,20121016,Forest-deciduous,"73I - Greenbelt, 14506 58a Ave",Park,Parks,73I - Greenbelt,,N,Y,05850,,,OPERATING,20080212133200,N,,,,,
18,3,,,,,20081209,N,"Forest; 63A - Neighbourhood Park, 14929 67 Ave",1,644,1001439182,Mature,Deciduous,4,14929,0,,3,0711-000001047,throughout site,,Parks,,063,,20121016,Forest-deciduous,"63A - Neighbourhood Park, 14929 67 Ave",Park,Parks,63A - Neighbourhood Park,,N,N,06700,,,OPERATING,20081209105400,Y,,,,,
19,2,,,,,20090316,N,"Forest; 4F - Community Park, 11265 156 St",0,3493,1001439193,Mature,Deciduous,0,11265,0,,2,0711-000001056,throughout site,309,Parks,,004,,20121016,Forest-deciduous,"4F - Community Park, 11265 156 St",Park,Parks,4F - Community Park,,Y,Y,15600,,,OPERATING,20090316114300,Y,,,,,
20,1,,See map for refuse and invasive spp. locations; Grouse sited in the park. ,,,,N,"Forest; 25A - Greenbelt, 16678 Parkview Pl",1,221,1001438893,Mature,Deciduous,0,16678,0,,4,0711-000000240,Large section of park.,,PARKS,,025,,20170117,Forest-deciduous,"25A - Greenbelt, 16678 Parkview Pl",Park,PARKS,25A - Greenbelt,,N,N,10310,,,OPERATING,20040820104300,N,,,,,
21,4,,,,,,N,"Forest; Port Kells Park, 19340 88 Ave",0,2423,1001438712,Mature,Deciduous,0,19340,0,,2,0711-000000536,Most of park,97,PARKS,,049,,20180119,Forest-deciduous,"Port Kells Park, 19340 88 Ave",Park,PARKS,Port Kells Park,,Y,Y,08800,,,OPERATING,20040824105600,Y,,,,,
22,4,,Major blackberry in area ,,,,N,"Shrubland; Port Kells Park, 19340 88 Ave",0,708,1001439121,,,0,19340,0,,2,0711-000000141,1,,PARKS,,049,,20180119,Shrubland,"Port Kells Park, 19340 88 Ave",Park,PARKS,Port Kells Park,,N,Y,08800,,,OPERATING,20010817091400,Y,,,,,
23,1,,"Wide gravel path leading from trail to back of 13910 25 A Ave, sod from backyard piled on shrubs; yd. wst., invas. sp. in various locat's (see map); large stand of Acacia lacking good understory    ",,,,N,"Forest; 112J - Greenbelt, 2521 139A St",1,644,1001438967,Mature,Deciduous,4,02521,0,,4,0711-000000067,Most of lot,,PARKS,,112,,20160112,Forest-deciduous,"112J - Greenbelt, 2521 139A St",Park,PARKS,112J - Greenbelt,,N,N,13950,,,OPERATING,20040819141100,Y,,,,,
24,3,,,,,20090916,N,"Forest; 42E - Greenbelt, 14029 80 Ave",0,238,1001439227,Mature,Mixed,0,14029,0,,3,0711-000001087,entire site,81,Parks,,042,,20121016,Forest-mixed,"42E - Greenbelt, 14029 80 Ave",Park,Parks,42E - Greenbelt,,Y,Y,08000,,,OPERATING,20090916080700,N,,,,,
25,1,,"Small yard waste pile, see map for location. ",,,,N,"Forest; 25D - Greenbelt, 16618 102 Ave",1,371,1001438895,Mature,Deciduous,0,16618,0,,3,0711-000000243,Most of park,,PARKS,,025,,20170117,Forest-deciduous,"25D - Greenbelt, 16618 102 Ave",Park,PARKS,25D - Greenbelt,,Y,Y,10200,,,OPERATING,20040820105500,N,,,,,
26,2,,See map for locations of in-stream shopping carts and invasive spp. ,,,,N,"Forest; 3B - Greenbelt, 11367 Roxburgh Rd",0,2067,1001438862,Mature,Mixed,0,11367,0,,3,0711-000000169,All of park,,Parks,,003,,20180119,Forest-mixed,"3B - Greenbelt, 11367 Roxburgh Rd",Park,Parks,3B - Greenbelt,,Y,Y,14825,,,OPERATING,20010830093500,N,,,,,
27,1,,Should build one new trail from main trail at the N. edge of the forest to the playground area to decrease the trampling in the forest. ,,,,N,"Forest; Woodland Park, 9095 158 St",2,597,1001438836,Mature,Mixed,0,09095,0,,3,0711-000000582,N. side of the park.,,PARKS,,034,,20170306,Forest-mixed,"Woodland Park, 9095 158 St",Park,PARKS,Woodland Park,,N,N,15800,,,OPERATING,20040824132100,Y,,,,,
28,1,,,,,20091006,N,"Forest; 138A - Greenbelt, 1189 188 St",0,478,1001439233,Mature,Mixed,0,01189,0,,0,0711-000001092,entire site,0,Parks,,138,,20121016,Forest-mixed,"138A - Greenbelt, 1189 188 St",Park,Parks,138A - Greenbelt,,N,Y,18800,,,OPERATING,20091006131000,N,,,,,
29,2,,Some cedar regen. ,,,,N,"Forest; Laronde Park, 1806 130 St",2,331,1001438721,Mature,Mixed,0,01806,0,,2,0711-000000515,Along S. edge,,PARKS,,121,,20121016,Forest-mixed,"Laronde Park, 1806 130 St",Park,PARKS,Laronde Park,,N,N,13000,,,OPERATING,20040824101400,N,,,,,
