,BARCODE,BOOKABLE,COMMENTS,COMMUNITY,CONDITION,CONDITIONDATE,COURT_TYPE,CRE_DATE,DESCRIPTION,FACILITYID,FIELD_TYPE,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LIGHTING_SYSTEM,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OUTDOOR_REC_FAC_TYPE,OUTDOOR_REC_FAC_TYPE2,PARK,PARK_FACILITY_TYPE,PARK_OWNERSHIP,PRIMARY_USE,REFERENCE_NO,ROAD_CODE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,STRUCTURES_INSPECTION_ROUTE,SURFACE_TREATMENT,SURFACE_TYPE,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
0,,,,Guildford,,,Skate Park,20150630,"Skate Park; Guildford Recreation Centre & Library Grounds, 15101 105 Ave",1001879039,,15101,,20150601,,,se corner of guildford recreation centre,Parks,,013,,,"Guildford Recreation Centre & Library Grounds, 15101 105 Ave",,Parks,2,Skate Park,Guildford Recreation Centre & Library Grounds,Skate Park,,Skateboard,2,10500,,,OPERATING,,,,Asphalt,,,,,,
1,,,,Cloverdale,,,Skate Park,20140616,"Skate Park; Cloverdale Youth Park, 6240 Highway 15",1001753355,,06240,,20140101,,,west side of park,Parks,,077,,20151021,"Cloverdale Youth Park, 6240 Highway 15",,Parks,2,Skate Park,Cloverdale Youth Park,Skate Park,,Skateboard,1,17601,,,OPERATING,,,,Asphalt,,,,,,
2,,N,,South Surrey,,,Games,,"Basketball Half Court; Summerhill Park (Tot-Lot), 13089 Summerhill Cres",1001439375,,13089,0,,0725-000000082,,Next To Playground Near Summerhill Cr.,PARKS,,121,,20121016,"Summerhill Park (Tot-Lot), 13089 Summerhill Cres",,PARKS,1,Courts,Summerhill Park,Court - Basketball/Hockey,,Basketball - Half,1,01710,,,OPERATING,,,,Other,Y,,,,,
3,,N,,South Surrey,,,Tennis,,"2 Tennis Courts; Bell Park, 1782 136 St",1001439376,,01782,0,,0725-000000008,,S.E. Corner of Park,PARKS,,122,,20141113,"Bell Park, 1782 136 St",,PARKS,1,Courts,Bell Park,Court - Tennis - Regulation,,Tennis,1-1,13600,,,OPERATING,,,,Asphalt,Y,,,,,
4,,,,Fleetwood,,,Tennis,,"2 Practice Tennis Half Courts & Wall #2; Maple Green Park, 8959 150 St",1001439319,,08959,0,20010613,0725-000000100,,"2 half tennis courts, west of full courts",Parks,,033,,20141113,"Maple Green Park, 8959 150 St",,Parks,1,Courts,Maple Green Park,Court - Tennis - Half,,Tennis - Half,2-1,15000,,,OPERATING,20020613095600,,,ASPHALT,Y,,,,,
5,,N,,Fleetwood,,,Games,,"Basketball Half Court #2; Maple Green Park, 8959 150 St",1001439320,,08959,0,,0725-000000074,,North side of west tennis court,PARKS,,033,,20121016,"Maple Green Park, 8959 150 St",,PARKS,1,Courts,Maple Green Park,Court - Basketball/Hockey,,Basketball - Half,2,15000,,,OPERATING,,,,Other,Y,,,,,
6,,,,Cloverdale,,,Games,20151021,"Sports Court; Cloverdale Youth Park, 6240 Highway 15",1001843466,,06240,,,1001753356,,South side of park,Parks,,077,,20151103,"Cloverdale Youth Park, 6240 Highway 15",,Parks,1,Courts,Cloverdale Youth Park,,,Basketball,1,17601,,,OPERATING,,,,Other,,,,,,
7,,,,Newton,,,Games,20160819,"Basketball Half Court #1; Newton Athletic Park, 7395 128 St",1001887822,,07395,,20160601,,,east of parking lot 2,Parks,,050,,20160819,"Newton Athletic Park, 7395 128 St",Park,Parks,1,Courts,Newton Athletic Park,Court - Basketball/Hockey,,Basketball - Half,1,12800,,,OPERATING,,,,Asphalt,,,,,,
8,,N,used to be a tennis court,Fleetwood,,,Games,,"Hockey Court #1; Maple Green Park, 8959 150 St",1001439321,,08959,0,,0725-000000127,,beside practice court,Parks,,033,,20121016,"Maple Green Park, 8959 150 St",,Parks,1,Courts,Maple Green Park,Court - Basketball/Hockey,,Hockey,1,15000,,,OPERATING,20041112080000,,,Asphalt,Y,,,,,
9,,N,,Guildford,,,Tennis,,"2 Tennis Courts #1; Fraser Heights Park, 10588 160 St",1001439312,,10588,0,,0725-000000013,,NW Corner of park on 108 Ave,PARKS,,015,,20141113,"Fraser Heights Park, 10588 160 St",,PARKS,1,Courts,Fraser Heights Park,Court - Tennis - Regulation,,Tennis,1-1,16000,,,OPERATING,,,,Asphalt,Y,,,,,
