,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,GRASS_CUTTING_ROUTE,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,IRRIGATED,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_NAME,PARK_OWNERSHIP,PASSIVE_TURF_TYPE,REFERENCE_NO,ROAD_CODE,SERIAL_NO,SERVICE_CLASSIFICATION,SERVICE_LEVEL,STATUS,STATUS_DATE,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WITHIN_DETENTION_POND,WITHIN_UTILITY_ROW,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
0,,,,,,"Passive Grass - Groomed; Morgan Heights Linear Park, 16151 25 Ave",1001440851,,16151,0,20100201,,0703-000001424,throughout site,Parks,,115,,20180816,"Morgan Heights Linear Park, 16151 25 Ave",Park,Parks,,,Groomed,115-05,02500,,,,OPERATING,20100818091400,,,,,,,
1,,,,,,"Passive Grass - Groomed; Fraser Heights Park, 10588 160 St",1001440706,,10588,0,,,0703-000000755,Surrounding pond at Fraserglen Dr and 104 Ave,PARKS,,015,,20160112,"Fraser Heights Park, 10588 160 St",Park,PARKS,,,Groomed,015-28,16000,,,,OPERATING,,,,,,,,
2,,,,,,"Passive Grass - Background; 78B - Utility ROW, 6030 184 St",1001440787,,06030,0,20080604,,0703-000001375,throughout site,Parks,,078,,20171208,"78B - Utility ROW, 6030 184 St",Park,Parks,,,Background,078-20,18400,,,,OPERATING,20080619094300,,,,,,,
3,,,,,20170808,"Passive Grass - Moderate; Morningside Park, 8229 150 St",1001942763,,08229,,20170809,,,along paths,Parks,,043,,20170809,"Morningside Park, 8229 150 St",Park,Parks,,,Moderate,043-18,15000,,,,OPERATING,,,,,,,,
4,,,,,,"Passive Grass - Background; Mud Bay Park, 13030 48 Ave",1001440919,,13030,0,,,0703-000001026,along entrance road (Railway Rd) and at 127a Ave edges,Parks,,091,,20171211,"Mud Bay Park, 13030 48 Ave",Park,Parks,,,Background,081-01,04800,,,,OPERATING,20120216114400,,,,,,,
5,,,,,,"Passive Grass - Background; 72D - Greenbelt, 5812 136 St",1001440920,,05812,0,,,0703-000001027,along Hwy 10 blvd east of 136 St,Parks,,072,,20171211,"72D - Greenbelt, 5812 136 St",Park,Parks,,,Background,072-05,13600,,,,OPERATING,20120216123600,,,,,,,
6,,,,,20160616,"Passive Grass - Background; 88D - Greenbelt, 18981 54 Ave",1001880927,,18981,0,20080604,,1001440788,throughout 18932 & 19004 Hwy 10 and 18981 54 Ave portion of site,Parks,,088,,20171211,"88D - Greenbelt, 18981 54 Ave",Park,Parks,,,Background,088-03,05400,,,,OPERATING,20080619100400,,,,,,,
7,,,,,,"Passive Grass - Background; 50B - Utility ROW (Newton Dog-Off-Leash Park), 12586 80 Ave",1001440731,,12586,0,,,0703-000000734,throughout site between paths and natural areas,PARKS,,050,,20180820,"50B - Utility ROW (Serpentine Dog-Off-Leash Park), 12586 80 Ave",Park,PARKS,,,Background,050-10,08000,,,,OPERATING,20060424143900,,,,,,,
8,,,,,,"Passive Grass - Background; Newton Cultural Centre Grounds, 13530 72 Ave",1001440921,,13530,0,,,0703-000001028,along railway right-of-way from 72 Ave to south end of grounds,Parks,,061,,20171211,"Newton Cultural Centre Grounds, 13530 72 Ave",Land,Parks,,,Background,061-02,07200,,,,OPERATING,20120216124400,,,,,,,
9,,,,,,"Passive Grass - Groomed; Buchamer Park, 2601 139a St",1001716684,,02601,,,,,,,,112,,20171211,"Buchamer Park, 2601 139a St",Park,,"Buchamer Park, 2601 139a St",,Groomed,112-16,13950,,,,OPERATING,,,,,,,,
10,,,,,20170106,"Passive Grass - Groomed; Beaver Creek Park, 12270 66 Ave",1001901560,,12270,0,,,1001440372,"edges of forest, trees, and site",PARKS,,060,,20171211,"Beaver Creek Park, 12270 66 Ave",Park,PARKS,,,Groomed,060-05,06600,,,,OPERATING,,,,,,,,
11,,,,,,"Passive Grass - Groomed; Clayton Dog-Off-Leash Park, 7011 188 St",1001440836,,07011,0,,,0703-000001395,throughout site,Parks,,068,,20171213,"Clayton Dog-Off-Leash Park, 7011 188 St",Park,Parks,,,Groomed,068-16,18800,,,,OPERATING,20090827075400,,,,,,,
12,,,,,20170606,"Passive Grass - Well Groomed; Guildford Recreation Centre & Library Grounds, 15101 105 Ave",1001934409,,15101,0,,,1001440432,throughout site,Parks,,013,,20170607,"Guildford Recreation Centre & Library Grounds, 15101 105 Ave",Land,Parks,,,Well Groomed,013-06,10500,,,,OPERATING,,,,,,,,
13,,,,,,"Passive Grass - Well Groomed; Blackie Spit, 3136 McBride Ave",1001440220,,03136,0,,,0703-000001207,Wickson Point,Parks,,110,,20170126,"Blackie Spit, 3136 McBride Ave",Park,Parks,,,Well Groomed,110-03,12163,,,,OPERATING,20020807105000,,,,,,,
14,,,,,,"Passive Grass - Groomed; Bill Reid Millennium Amphitheatre Grounds, 6386 176 St",1001440413,,06386,0,,,0703-000001146,"In the park, grass ref # 1",Parks,,077,,20161209,"Bill Reid Millennium Amphitheatre Grounds, 6386 176 St",Land,Unknown,,,Groomed,077-05,17600,,,,OPERATING,20010529112100,,,,,,,
15,,,,,20161129,"Passive Grass - Well Groomed; Hawthorne Park, 10503 - 144 St",1001898333,,10503,0,,,1001898324,throughout park,PARKS,,012,,20180117,"Hawthorne Park, 10503 144 St",Park,PARKS,,,Well Groomed,012-06,14400,,,,OPERATING,,,,,,,,
16,,,,,20151021,"Passive Grass - Groomed; Cloverdale Youth Park, 6240 Highway 15",1001843478,,06240,,20140101,,1001753800,throughout site,Parks,,077,,20161209,"Cloverdale Youth Park, 6240 Highway 15",Park,Parks,Cloverdale Youth Park,,Groomed,077-08,17601,,,,OPERATING,,,,,,,,
17,,,,,20170314,"Passive Grass - Well Groomed; Fleetwood Park, 15802 80 Ave",1001912907,,15802,0,,,1001440750,throughout park,PARKS,,054,,20170726,"Fleetwood Park, 15802 80 Ave",Park,PARKS,,,Well Groomed,054-02,08000,,,,OPERATING,,,,,,,,
18,,In House,,,20170314,"Passive Grass - Well Groomed; Hawthorne Park, 10503 - 144 St",1001912918,,10503,0,,,1001898333,Hawthorn Gardens,PARKS,,012,,20180117,"Hawthorne Park, 10503 144 St",Park,PARKS,,,Well Groomed,012-10,14400,,,,OPERATING,,,,,,,,
19,,,,,,"Passive Grass - Background; 43M - Greenbelt, 15046 - 85A Ave",1001440729,,15046,0,,,0703-000000729,throughout site,PARKS,,043,,20160115,"43M - Greenbelt, 15046 85A Ave",Park,PARKS,,,Background,043-12,08550,,,,OPERATING,20060424135400,,,,,,,
20,,,,,,"Passive Grass - Moderate; Charles Richardson Nature Reserve, 16934 88 Ave",1001440743,,16934,0,20060201,,0703-000000816,at 16890 87 Ave entrance to site,PARKS,,046,,,"Charles Richardson Nature Reserve, 16934 88 Ave",Park,PARKS,,,Moderate,046-04,08800,,,,OPERATING,20060621134200,,,,,,,
21,,,,,,"Passive Grass - Moderate; Charles Richardson Nature Reserve, 16934 88 Ave",1001440744,,16934,0,20060201,,0703-000000853,at 8728 170 St entrance to site,PARKS,,046,,,"Charles Richardson Nature Reserve, 16934 88 Ave",Park,PARKS,,,Moderate,046-05,08800,,,,OPERATING,20060621134500,,,,,,,
22,,,,,,"Passive Grass - Background; Maple Park, 14939 - 84 Ave",1001440730,,14939,0,,,0703-000000731,at 15055 84 Ave portion of site,PARKS,,043,,20160115,"Maple Park, 14939 84 Ave",Park,PARKS,,,Background,043-13,08400,,,,OPERATING,20060424135700,,,,,,,
23,,,,,,"Passive Grass - Background; Bothwell Park, 9435 168 St",1001716690,,09435,,,,0703-000001470,,,,035,,20160115,"Bothwell Park, 9435 168 St",Park,,Bothwell Park,,Background,035-18,16800,,,,OPERATING,,,,,,,,
24,,,,,,"Passive Grass - Well Groomed; Kennedy Park, 9058 - Holt Rd = 120A St",1001440435,,09058,0,,,0703-000000008,throughout site,PARKS,,030,,20180206,"Kennedy Park, 9058 Holt Rd",Park,PARKS,,,Groomed,030-10,12040,,,,OPERATING,,,,,,,,
