,BAFFLES_END1,BAFFLES_END2,BIKE_INFRASTRUCTURE_TYPE,BIKE_NETWORK,COMMENTS,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,DESCRIPTION,EQ_NO,FACILITYID,FENCING_SIDE1,FENCING_SIDE2,HABITAT,LEGACYID,LENGTH,LOCATION,MAINTENANCE_RESPONSIBILITY,MATERIAL,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OPERATOR,OWNER,PARK_OWNERSHIP,PRK_BRIDGE_SPECIAL_FEATURES,PRK_TRAIL_SERVICE_CLASS,PROJECT_NO,RAILINGS_MATERIAL1,RAILINGS_MATERIAL2,REFERENCE_NO,ROUTE_TYPE2,STATUS,TREES_PLANTED,USE_LEVEL,WIDTH,YR
0,,,,,wood handrails (lbob new) ,,,,"Bridge #1 - Aluminum; Elgin Estates Park, 3102 142 St",0707-000000255,1001486255,,,,,,off 30a Ave and 141 St,Parks,Other,"Elgin Estates Park, 3102 142 St",Park,Parks,,,,,,,,,1,Pedestrian Bridge,M,,,,
1,,,,,"5 Stairs; 1.2M Long, 1.6M wide & 1M high (lbob new) ",,,,"Bridge #3 - Wood; Elgin Estates Park, 14390 Crescent Rd",0707-000000239,1001486248,,,,,,crossing creek at 34 Ave & 144 St,Parks,Wooden,"Elgin Estates Park, 3102 142 St",Park,Parks,,,,,,,,,3,Pedestrian Bridge,M,,,,
2,,,,,,,,,"Bridge - Wood; Barbara Creek Park, 15053 34 Ave",,1001744443,,,,,,Over creek on path from 34 Ave to 34a Ave,Parks,Wooden,"103A - Greenbelt, 15053 34 Ave",Park,Parks,,Surrey,,,,,,,1,Pedestrian Bridge,In Service,,,,
3,,,,,arched with wood handrails (lbob new) ,,,,"Bridge #2 - Wood; Elgin Estates Park, 3102 142 St",0707-000000254,1001486254,,,,,,off 30 Ave and 141 St,Parks,Wooden,"Elgin Estates Park, 3102 142 St",Park,Parks,,,,,,,,,2,Pedestrian Bridge,M,,,,
4,,,,,(lbob new) ,,,,"Bridge #2 - Wood; Hyland Creek Park, 6542 - 138 St",0707-000000130,1001486210,,,,,,Over Creek Between E. & W. 66 Ave Ent.,Parks,Wooden,"Hyland Creek Park, 6542 - 138 St",,Parks,,,,,,,,,2,Pedestrian Bridge,M,,,,
5,,,,,(lbob new) ,,,,"P15 Path; Fleetwood Park, 15802 80 Ave",,1001485628,,,,,,along west edge of west parking lots,Parks,Asphalt,"Fleetwood Park, 15802 80 Ave",Park,Parks,Parks,Surrey,,,,,,,P15,General Access and Recreation,In Service,No,,1.5,2009
6,,,,,,,,,"Boardwalk #2; 131B - Greenbelt, 13391 14A Ave",,1001851869,,,,,2,along T3,Parks,Wooden,"131B - Greenbelt, 13391 14A Ave",Park,Parks,,Surrey,,,,,,,2,Walkway,In Service,,,,
7,,,,,,,,,"Bridge #1 - Wood; Crescent Park, 2585 132 St",,1001851803,,,,,,Along T33,Parks,Wooden,"Crescent Park, 2585 132 St",Park,Parks,Parks,,,,,,,,1,Pedestrian Bridge,In Service,,,2.2,
8,,,,,,,,,"Bridge # 3; Robson Park, 12576 100 Ave",,1001851813,,,,,,south of tennis courts,Parks,Concrete,"Robson Park, 12576 100 Ave",Park,Parks,,,,,,,,,3,Pedestrian Bridge,In Service,,,,
9,,,,,,,,,"Ornamental Bridge #11 - Wood; Bear Creek Park, 13750 88 Ave",,1001851818,,,,,4,Along P20,Parks,Wooden,"Bear Creek Park, 13750 88 Ave",Park,Parks,,,,,,,,,11,Pedestrian Bridge,In Service,,,,
