,BARCODE,COMMENTS,COMMUNITY,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK,PARK_OWNERSHIP,PLAYGROUND_SURFACE_TYPE,PLAYGROUND_TYPE,REF_NO,ROAD_CODE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,STRUCTURES_INSPECTION_ROUTE,TARGET_AGE_GROUP,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WINTERIZATION_REQUIRED,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
0,,,Cloverdale,,,,"Playground; Cloverdale Heights Park, 5880 Aberdeen St",1001440974,05880,0,,0704-000000086,N.W. Corner of Park,PARKS,,076,,,"Cloverdale Heights Park, 5880 Aberdeen St",Park,PARKS,Cloverdale Heights Park,,Sand,Traditional,1,16995,,,OPERATING,,,0 to 12 yrs,,,,N,,
1,,,Cloverdale,,,,"Playground; Clayton Park, 18513 70 Ave",1001440975,18513,0,,0704-000000085,N. Side Of Park,PARKS,,068,,,"Clayton Park, 18513 70 Ave",Park,PARKS,Clayton Park,,Sand,Traditional,1,07000,,,OPERATING,,,0 to 12 yrs,,,,N,,
2,,,Whalley,,,,"Playground #1; Bolivar Park, 13591 Crestview Dr",1001440978,13591,0,19990828,0704-000000081,@ 114 Ave & 136a St side of park,PARKS,,001,,,"Bolivar Park, 13591 Crestview Dr",Park,PARKS,Bolivar Park,,Sand,Traditional,1,11345,,,OPERATING,,,0 to 12 yrs,,,,N,,
3,,,Whalley,,,,"Playground; Betty Huff Park, 13105 - Huntley Ave",1001440979,13105,0,,0704-000000080,,PARKS,,031,,,"Betty Huff Park, 13105 Huntley Ave",Park,PARKS,Betty Huff Park,,,Traditional,1,09340,,,OPERATING,,,,,,,N,,
4,,,South Surrey,,,,"Playground; Bakerview Park, 1845 - 154 St",1001440981,01845,0,,0704-000000078,S.W. Corner of Park Off 18th Ave.,PARKS,,124,,20100218,"Bakerview Park, 1845 154 St",Park,PARKS,Bakerview Park,,Sand,Traditional,1,15400,,,OPERATING,,,0 to 12 yrs,,,,N,,
5,,,Newton,,,,"Playground #2; Hazelnut Meadows Community Park, 14069 68 Ave",1001440985,14069,0,,0704-000000072,East of parking lot,PARKS,,062,,,"Hazelnut Meadows Community Park, 14069 68 Ave",Park,PARKS,Hazelnut Meadows Community Park,,Sand,Traditional,2,06800,,,OPERATING,,,6 to 12 yrs,,,,N,,
6,,,Newton,,,,"Playground #1; Hazelnut Meadows Community Park, 14069 68 Ave",1001440986,14069,0,,0704-000000032,south of Parking Lot,PARKS,,062,,,"Hazelnut Meadows Community Park, 14069 68 Ave",Park,PARKS,Hazelnut Meadow Community Park,,Sand,Traditional,1,06800,,,OPERATING,,,6 to 12 yrs,,,,N,,
7,,,Newton,,,,"Playground; Bob Rutledge Park, 5424 - 148 St",1001440987,05424,0,19990217,0704-000000069,@ 148 St and 54 Ave entrance,PARKS,,083,,,"Bob Rutledge Park, 5448 148 St",Park,PARKS,Bob Rutledge Park,,Pea Gravel,Traditional,1,14800,,,OPERATING,,,0 to 5 yrs,,,,N,,
8,,,Fleetwood,,,20180612,"Playground; Walnut Park, 16175 80A Ave",1002064749,16175,,,,off 82 Ave entrance,Parks,,045,,20180612,"Walnut Park, 16175 80A Ave",Park,Parks,Walnut Park,,,Playground,1,08050,,,OPERATING,,,,,,,,,
9,,,South Surrey,,,,"Playground; Summerhill Park (Tot-Lot), 13089 Summerhill Cres",1001440989,13089,0,,0704-000000067,Central Area Of Site,PARKS,,121,,,"Summerhill Park (Tot-Lot), 13089 Summerhill Cres",Park,PARKS,Summerhill Park,,Sand,Traditional,1,01710,,,OPERATING,,,0 to 5 yrs,,,,N,,
