,STRUCTURE_TYPE,STRUCTURE_TYPE2,FACILITYID,DESCRIPTION,LOCATION,REFERENCE_NO,STRUCTURE_DETAIL_TYPE,SPECIAL_FEATURES,MATERIAL_TYPE,WIDTH_M,SEATING_TYPE,GIFT_DONATION,PLAQUE_DETAIL,BENCH_STYLE,CAPACITY,DIMENSION_M2,AUTOMATED,PUBLIC_ACCESS,COMPONENT_TYPE,SEATING_MATERIAL,FINISHES,ENCLOSED,HEATED,LIGHTING_SYSTEM,SURFACE_MATERIAL,SERVICE_LEVEL,WINTERIZED,BOOKABLE,QUANTITY,RECREATIONAL,LENGTH_M,COMMENTS,HOUSE_NO,ROAD_CODE,MAP_PAGE,STATUS,STATUS_DATE,PARK_OWNERSHIP,MAINTENANCE_RESPONSIBILITY,OPERATIONAL_RESPONSIBILITY,WORK_ASSIGNMENT,INSERVICE_DATE,INSERVICE_COST,CONDITION,CONDITIONDATE,YRS_LIFE_EXPECTANCY,WARRANTYDATE,WARRANTY_PROVIDER,VENDOR,MAKE,MODEL,SERIAL_NO,BARCODE,LEGACYID,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,STRUCTURES_INSPECTION_ROUTE,TO_CLASS_FOR_WEB,CRE_DATE,MOD_DATE,Latitude,Longitude
0,0,Benches and Bleachers,1001715162,"Potential Surrey Bench, Cost: $2,400.00",,10,,,,,Bench,Y,,Surrey,,,,,,,,,,,,,,,,,,,,,,POTENTIAL,,,,,,,,,,,,,,,,,,,"Fleetwood Park, 15802 80 Ave",,,,20131029,20131029,49.147118,-122.781499
1,0,Benches and Bleachers,1001715169,"Potential Surrey Bench, Cost: $2,400.00",,2,,,,,Bench,Y,,Surrey,,,,,,,,,,,,,,,,,,,,,,POTENTIAL,,,,,,,,,,,,,,,,,,,"Hawthorne Park, 10503 144 St",,,,20131029,20131029,49.193163,-122.826615
2,0,Benches and Bleachers,1001715170,"Potential Surrey Bench, Cost: $2,400.00",,3,,,,,Bench,Y,,Surrey,,,,,,,,,,,,,,,,,,,,,,POTENTIAL,,,,,,,,,,,,,,,,,,,"Hawthorne Park, 10503 144 St",,,,20131029,20131029,49.192987,-122.826100
3,0,Benches and Bleachers,1001715172,"Potential Surrey Bench, Cost: $2,400.00",,5,,,,,Bench,Y,,Surrey,,,,,,,,,,,,,,,,,,,,,,POTENTIAL,,,,,,,,,,,,,,,,,,,"Hawthorne Park, 10503 144 St",,,,20131029,20131029,49.192989,-122.825302
4,0,Benches and Bleachers,1001715147,"Potential Surrey Bench, Cost: $2,400.00",,3,,,,,Bench,Y,,Surrey,,,,,,,,,,,,,,,,,,,,,,POTENTIAL,,,,,,,,,,,,,,,,,,,"Fleetwood Park, 15802 80 Ave",,,,20131029,20131029,49.147696,-122.783244
5,0,Benches and Bleachers,1001715161,"Potential Surrey Bench, Cost: $2,400.00",,9,,,,,Bench,Y,,Surrey,,,,,,,,,,,,,,,,,,,,,,POTENTIAL,,,,,,,,,,,,,,,,,,,"Fleetwood Park, 15802 80 Ave",,,,20131029,20131029,49.147125,-122.781650
6,0,Benches and Bleachers,1001715145,"Potential Surrey Bench, Cost: $2,400.00",,1,,,,,Bench,Y,,Surrey,,,,,,,,,,,,,,,,,,,,,,POTENTIAL,,,,,,,,,,,,,,,,,,,"Fleetwood Park, 15802 80 Ave",,,,20131029,20131029,49.148014,-122.784129
7,0,Benches and Bleachers,1001715150,"Potential Surrey Bench, Cost: $2,400.00",,6,,,,,Bench,Y,,Surrey,,,,,,,,,,,,,,,,,,,,,,POTENTIAL,,,,,,,,,,,,,,,,,,,"Fleetwood Park, 15802 80 Ave",,,,20131029,20131029,49.147698,-122.782834
8,0,Benches and Bleachers,1001715151,"Potential Surrey Bench, Cost: $2,400.00",,7,,,,,Bench,Y,,Surrey,,,,,,,,,,,,,,,,,,,,,,POTENTIAL,,,,,,,,,,,,,,,,,,,"Fleetwood Park, 15802 80 Ave",,,,20131029,20131029,49.147688,-122.782757
9,0,Benches and Bleachers,1001715152,"Potential Surrey Bench, Cost: $2,400.00",,8,,,,,Bench,Y,,Surrey,,,,,,,,,,,,,,,,,,,,,,POTENTIAL,,,,,,,,,,,,,,,,,,,"Fleetwood Park, 15802 80 Ave",,,,20131029,20131029,49.147695,-122.782720
10,0,Benches and Bleachers,1001715164,"Potential Surrey Bench, Cost: $2,400.00",,12,,,,,Bench,Y,,Surrey,,,,,,,,,,,,,,,,,,,,,,POTENTIAL,,,,,,,,,,,,,,,,,,,"Fleetwood Park, 15802 80 Ave",,,,20131029,20131029,49.147083,-122.780277
11,0,Benches and Bleachers,1001715168,"Potential Surrey Bench, Cost: $2,400.00",,1,,,,,Bench,Y,,Surrey,,,,,,,,,,,,,,,,,,,,,,POTENTIAL,,,,,,,,,,,,,,,,,,,"Hawthorne Park, 10503 144 St",,,,20131029,20131029,49.193192,-122.826691
12,0,Benches and Bleachers,1001715146,"Potential Surrey Bench, Cost: $2,400.00",,2,,,,,Bench,Y,,Surrey,,,,,,,,,,,,,,,,,,,,,,POTENTIAL,,,,,,,,,,,,,,,,,,,"Fleetwood Park, 15802 80 Ave",,,,20131029,20131029,49.147708,-122.783340
