,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,NUMBER_OF_TREES,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_NAME,PARK_OWNERSHIP,ROAD_CODE,SCREEN_TREE_NO,SERIAL_NO,STAND_MAKEUP,STATUS,STATUS_DATE,TREE_GENUS,TREE_SPECIES,TREE_VARIETY,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
0,,Approx 27 stakes need to be removed. 4 cedars in the screen are in decline,,,,"Screen Trees; Kennedy Trail Park, 12237 82 Ave",1001441106,12237,0,20000831,0728-000000182,"In the park, Screen ref 1",Parks,,040,,20121016,27,"Kennedy Trail Park, 12237 82 Ave",Park,Parks,Kennedy Trail Park,,08200,1,,,OPERATING,20040826094200,Thuja,plicata,,,,,,
1,,Mixed conifer  Approx 10 stakes need to be removed. 1 cedar in screen is dead,,,,"Screen Trees; Hyland Creek Park, 6542 138 St",1001441107,06542,0,20000912,0728-000000177,"In the park, Screen ref 1",Parks,,062,,20121016,19,"Hyland Creek Park, 6542 138 St",Park,Parks,Hyland Creek Park,,13800,1,,,OPERATING,20040826093400,,,,,,,,
2,,,,,,"Screen Trees; Hyland Creek Park, 6542 138 St",1001441108,06542,0,20000912,0728-000000179,"In the park, Screen ref 3",Parks,,062,,,3,"Hyland Creek Park, 6542 138 St",Park,Parks,Hyland Creek Park,,13800,3,,,OPERATING,20040826093600,Thuja,plicata,,,,,,
3,,,,,,"Screen Trees; Hyland Creek Park, 6542 138 St",1001441109,06542,0,20000912,0728-000000180,"In the park, Screen ref 4",Parks,,062,,,12,"Hyland Creek Park, 6542 138 St",Park,Parks,Hyland Creek Park,,13800,4,,,OPERATING,20040826094000,Thuja,plicata,,,,,,
4,,,,,,"Screen Trees; M.J. Norris Park, 6539 129A St",1001441110,06539,0,20000914,0728-000000188,"In the park, Screen ref 1",Parks,,061,,,5,"M.J. Norris Park, 6539 129A St",Park,Parks,M.J. Norris Park,,12950,1,,,OPERATING,20040826094900,Thuja,occidentalis,,,,,,
5,,One cedar is dead. Blackberries and morning glory are overgrowing part of screen.,,,,"Screen Trees; Senator Reid Park, 6115 136 St",1001441111,06115,0,20000922,0728-000000232,"In the park, Screen ref 1",Parks,,071,,20121016,25,"Senator Reid Park, 6115 136 St",Park,Parks,Senator Reid Park,,13600,1,,,OPERATING,20040826132400,Thuja,plicata,,,,,,
6,,Mixed conifer,,,,"Screen Trees; Senator Reid Park, 6115 136 St",1001441112,06115,0,20000922,0728-000000233,"In the park, Screen ref 2",Parks,,071,,20121016,7,"Senator Reid Park, 6115 136 St",Park,Parks,Senator Reid Park,,13600,2,,,OPERATING,20040826132500,,,,,,,,
7,,,,,,"Screen Trees; Pioneer Park, 6572 133 St",1001441113,06572,0,20000915,0728-000000221,"In the park, Screen ref 1",Parks,,061,,,6,"Pioneer Park, 6572 133 St",Park,Parks,Pioneer Park,,13300,1,,,OPERATING,20040826103600,Thuja,plicata,,,,,,
8,,,,,,"Screen Trees; Pioneer Park, 6572 133 St",1001441114,06572,0,20000915,0728-000000222,"In the park, Screen ref 2",Parks,,061,,,6,"Pioneer Park, 6572 133 St",Park,Parks,Pioneer Park,,13300,2,,,OPERATING,20040826104700,Thuja,plicata,,,,,,
9,,,,,,"Screen Trees; Pioneer Park, 6572 133 St",1001441115,06572,0,20000915,0728-000000223,"In the park, Screen ref 3",Parks,,061,,,6,"Pioneer Park, 6572 133 St",Park,Parks,Pioneer Park,,13300,3,,,OPERATING,20040826104800,Thuja,plicata,,,,,,
10,,Mixed conifer/deciduous,,,,"Screen Trees; Boundary Park, 6058 Boundary Dr West",1001441116,06058,0,20000919,0728-000000082,"In the park, Screen ref 1",Parks,,070,,20121016,5,"Boundary Park, 6058 Boundary Dr West",Park,Parks,Boundary Park,,12155,1,,,OPERATING,20040825102300,,,,,,,,
11,,Mixed conifer,,,,"Screen Trees; Boundary Park, 6058 Boundary Dr West",1001441118,06058,0,20000919,0728-000000091,"In the park, Screen ref 3",Parks,,070,,20121016,11,"Boundary Park, 6058 Boundary Dr West",Park,Parks,Boundary Park,,12155,3,,,OPERATING,20040825104300,,,,,,,,
12,,Mixed conifer,,,,"Screen Trees; Boundary Park, 6058 Boundary Dr West",1001441119,06058,0,20000919,0728-000000092,"In the park, Screen ref 4",Parks,,070,,20121016,7,"Boundary Park, 6058 Boundary Dr West",Park,Parks,Boundary Park,,12155,4,,,OPERATING,20040825104600,,,,,,,,
13,,Mixed conifer  5 dead cedars need to be removed from the screen.,,,20160114,"Screen Trees; Newton Athletic Park, 7395 128 St",1001853683,07395,0,20000810,1001441254,"In the park, Screen ref 9",Parks,,050,,20160114,136,"Newton Athletic Park, 7395 128 St",Park,Parks,Newton Athletic Park,,12800,9,,,OPERATING,20040826101200,Thuja,plicata,,,,,,
14,,,,,,"Screen Trees; Boundary Park, 6058 Boundary Dr West",1001441120,06058,0,20000919,0728-000000093,"In the park, Screen ref 5",Parks,,070,,,5,"Boundary Park, 6058 Boundary Dr West",Park,Parks,Boundary Park,,12155,5,,,OPERATING,20040825104700,Thuja,plicata,,,,,,
15,,Mixed conifer,,,,"Screen Trees; Boundary Park, 6058 Boundary Dr West",1001441121,06058,0,20000919,0728-000000094,"In the park, Screen ref 6",Parks,,070,,20121016,8,"Boundary Park, 6058 Boundary Dr West",Park,Parks,Boundary Park,,12155,6,,,OPERATING,20040825104800,,,,,,,,
16,,Mixed conifer/deciduous,,,,"Screen Trees; Boundary Park, 6058 Boundary Dr West",1001441122,06058,0,20000919,0728-000000095,"In the park, Screen ref 7",Parks,,070,,20121016,10,"Boundary Park, 6058 Boundary Dr West",Park,Parks,Boundary Park,,12155,7,,,OPERATING,20040825104800,,,,,,,,
17,,Mixed conifer/deciduous,,,,"Screen Trees; Boundary Park, 6058 Boundary Dr West",1001441123,06058,0,20000919,0728-000000096,"In the park, Screen ref 8",Parks,,070,,20121016,9,"Boundary Park, 6058 Boundary Dr West",Park,Parks,Boundary Park,,12155,8,,,OPERATING,20040825104900,,,,,,,,
18,,,,,,"Screen Trees; Boundary Park, 6058 Boundary Dr West",1001441129,06058,0,20000919,0728-000000087,"In the park, Screen ref 14",Parks,,070,,,7,"Boundary Park, 6058 Boundary Dr West",Park,Parks,Boundary Park,,12155,14,,,OPERATING,20040825102900,Thuja,plicata,,,,,,
19,,Mixed coniferous/deciduous,,,,"Screen Trees; Boundary Park, 6058 Boundary Dr West",1001441130,06058,0,20000919,0728-000000088,"In the park, Screen ref 15",Parks,,070,,20121016,4,"Boundary Park, 6058 Boundary Dr West",Park,Parks,Boundary Park,,12155,15,,,OPERATING,20040825103000,,,,,,,,
20,,Mixed conifer,,,,"Screen Trees; Hazelnut Meadows Community Park, 14069 68 Ave",1001441131,14069,0,20000926,0728-000000170,"In the park, Screen ref 1",Parks,,062,,20121016,18,"Hazelnut Meadows Community Park, 14069 68 Ave",Park,Parks,Hazelnut Meadows Community Park,,06800,1,,,OPERATING,20040826091300,,,,,,,,
21,,,,,,"Screen Trees; Hazelnut Meadows Community Park, 14069 68 Ave",1001441133,14069,0,20000926,0728-000000172,"In the park, Screen ref 3",Parks,,062,,,10,"Hazelnut Meadows Community Park, 14069 68 Ave",Park,Parks,Hazelnut Meadows Community Park,,06800,3,,,OPERATING,20040826091600,Corylus,avellana,,,,,,
22,,,,,,"Screen Trees; 122A - Greenbelt, 13810 18a Ave",1001441250,13810,0,20010116,0728-000000009,"In the park, Screen ref 1",Parks,,122,,20180820,39,"122A - Greenbelt, 13810 18a Ave",Park,Parks,122A - Greenbelt,,01850,1,,,OPERATING,20040824141700,Pseudotsuga,menziesii,,,,,,
23,,,,,,"Screen Trees; Briarwood Park, 9735 156 St",1001441134,09735,0,20001020,0728-000000098,"In the park, Screen ref 1",Parks,,024,,,13,"Briarwood Park, 9735 156 St",Park,Parks,Briarwood Park,,15600,1,,,OPERATING,20040825105200,Thuja,plicata,,,,,,
